N	2gram	Medvedev_F	TeoriaLi
1	в качестве	2	33
2	в мире	4	26
3	не только	14	24
4	и в	54	24
5	в частности	4	23
6	состоит в	3	22
7	может быть	30	22
8	при этом	14	20
9	в том	17	20
10	тогда как	1	18
11	художественной деятельности	1	17
12	и не	34	17
13	а в	11	15
14	но и	18	14
15	а не	11	14
16	так и	24	14
17	в себе	4	14
18	такого рода	1	13
19	внутренней речи	1	13
20	но не	5	13
21	в этом	39	12
22	сводится к	6	12
23	произведение искусства	4	12
24	но в	9	12
25	в его	30	12
26	то же	16	12
27	своего рода	1	11
28	литературного произведения	6	11
29	том что	3	11
30	точки зрения	21	11
31	и его	27	11
32	что в	10	10
33	по отношению	4	10
34	как это	8	10
35	лишь в	15	10
36	отношению к	4	10
37	в душе	2	9
38	только в	6	9
39	в данном	2	9
40	с другой	8	9
41	не сводится	2	9
42	в искусстве	6	9
43	не в	16	9
44	в то	14	9
45	в своей	16	8
46	же время	13	8
47	как бы	10	8
48	по своей	1	8
49	не может	26	8
50	в самом	17	7
51	не столько	5	7
52	или иной	1	7
53	особого рода	1	7
54	в отличие	2	7
55	в своем	12	7
56	себя в	1	7
57	мы имеем	1	7
58	а также	1	7
59	отличие от	2	7
60	во второй	3	7
61	отношение к	4	7
62	место в	8	7
63	в области	6	7
64	в нем	25	7
65	другой стороны	5	6
66	в состав	1	6
67	более или	7	6
68	как и	18	6
69	не менее	12	6
70	приводит к	4	6
71	еще не	6	6
72	в основе	7	6
73	то что	14	6
74	со стороны	7	6
75	уже не	9	6
76	с его	12	6
77	в ее	10	6
78	с другими	11	6
79	или иначе	2	6
80	между ними	3	6
81	или менее	7	6
82	в русской	1	6
83	того или	6	6
84	тем самым	5	6
85	в первой	2	6
86	или иного	8	6
87	художественного сознания	1	5
88	художественного творчества	1	5
89	ни в	3	5
90	в виду	2	5
91	так или	1	5
92	как в	12	5
93	в художественном	5	5
94	роли в	4	5
95	а а	1	5
96	можно сказать	2	5
97	не является	3	5
98	того чтобы	4	5
99	для того	3	5
100	литературных произведений	5	5
