N	3gram	Bakhtin_KF	OGranits
1	с точки зрения	10	5
2	не может быть	11	4
3	по отношению к	22	3
4	в том что	2	2
5	того или иного	3	2
6	в зависимости от	1	2
7	не в ее	1	1
8	не было бы	3	1
9	в этот момент	1	1
10	на самом деле	3	1
11	и связанных с	1	1
12	все эти возможности	1	1
13	не в системе	1	1
14	и тот же	3	1
15	и как бы	1	1
16	включает в себя	2	1
17	здесь нет никакого	1	1
18	но в то	1	1
19	и эта интонация	1	1
20	но может быть	1	1
21	лишь в процессе	1	1
22	равно как и	1	1
23	между тем как	3	1
24	не может иметь	1	1
25	ничего общего не	2	1
26	в конечном счете	1	1
27	по себе а	1	1
28	это и не	1	1
29	на то что	1	1
30	для того чтобы	1	1
31	а не как	1	1
32	перевести его на	1	1
33	то или иное	2	1
34	может быть понята	1	1
35	один и тот	3	1
36	мы оказались бы	1	1
37	ту или иную	1	1
38	из него все	1	1
39	вообще ни одно	1	1
40	то же самое	1	1
41	но в сознании	1	1
42	к тому что	1	1
43	каждой данной области	1	1
44	тем не менее	2	1
45	и в его	1	1
46	нет и не	1	1
47	во всей полноте	1	1
48	в едином акте	1	1
49	в одном случае	1	1
50	бы по отношению	1	1
51	отношению к другим	1	1
52	его на язык	1	1
53	то же время	2	1
54	одно из проявлений	1	1
55	общего не имеет	1	1
56	не должно быть	1	1
57	в то же	2	1
58	само по себе	1	1
59	едва ли кто-нибудь	1	1
60	мы не можем	1	1
61	в себя как	1	1
62	может быть и	1	1
