N	4gram	Tiupa_Hudo	Myshleni
1	заключается в том что	1	43
2	одного и того же	3	17
3	состоит в том что	4	17
4	с этой точки зрения	2	16
5	одно и то же	3	12
6	в том числе и	2	10
7	с одной стороны и	1	10
8	в том что он	2	8
9	не что иное как	1	6
10	одним и тем же	1	6
11	одном и том же	1	6
12	точно так же как	1	6
13	в той мере в	1	5
14	а с другой стороны	1	5
15	приводит к тому что	2	5
16	той мере в какой	1	4
17	как более или менее	1	4
18	есть не что иное	1	4
19	на язык внешней речи	1	3
20	в связи с этим	1	3
21	мы имеем в виду	3	3
22	не содержит в себе	1	3
23	с логической точки зрения	1	3
24	в том что она	1	3
25	бы то ни было	2	3
26	в то же время	7	2
27	том что он не	1	2
28	той или иной мере	1	2
29	который в отличие от	1	2
30	в той или иной	2	2
31	в том случае если	1	2
32	даже в том случае	1	2
33	речи для себя и	1	2
34	мы имеем дело с	1	2
35	во всей своей полноте	1	2
36	и по отношению к	1	2
37	природу каждой из них	1	1
38	отличием внутренней речи от	1	1
39	в том отношении что	1	1
40	влитые в одно слово	1	1
41	едва ли не первым	1	1
42	в этом смысле можно	1	1
43	в преобладании смысла слова	1	1
44	по одним и тем	1	1
45	что в основе его	1	1
46	как раз в том	1	1
47	не сама по себе	1	1
48	в коем случае не	2	1
49	с точки зрения логики	1	1
50	преобладании смысла слова над	1	1
51	состоит как раз в	1	1
52	бы развернуть в целую	1	1
53	пришлось бы развернуть в	1	1
54	внутренней речи от внешней	1	1
55	и в самом деле	2	1
56	развернуть в целую панораму	1	1
57	вступает в противоречие с	1	1
58	с другой стороны изучение	1	1
59	себя смысл предыдущих и	1	1
60	в одном и том	1	1
61	вбирает в себя смысл	1	1
62	перевода этого значения на	1	1
63	раз в том что	1	1
64	последующих слов расширяя почти	1	1
65	перейдем к вопросу о	1	1
66	в себя смысл предыдущих	1	1
67	ни в коем случае	2	1
68	заключается в преобладании смысла	1	1
69	до того времени когда	1	1
70	и последующих слов расширяя	1	1
71	слов влитые в одно	1	1
72	речи пришлось бы развернуть	1	1
73	и в то же	2	1
74	слова над его значением	1	1
75	в целую панораму слов	2	1
76	язык внешней речи пришлось	1	1
77	на вопрос что такое	1	1
78	фонетической и семантической сторон	1	1
79	в русском языке обозначают	1	1
80	бы они ни были	1	1
81	безгранично рамки своего значения	1	1
82	оно состоит в том	1	1
83	по отношению к которому	1	1
84	расширяя почти безгранично рамки	1	1
85	и того же типа	1	1
86	в первую очередь по	1	1
87	здесь и теперь в	1	1
88	этого значения на язык	1	1
89	в одно слово смыслы	1	1
90	внешней речи пришлось бы	1	1
91	отношение человека к действительности	1	1
92	и те и другие	1	1
93	для перевода этого значения	1	1
94	предыдущих и последующих слов	1	1
95	как бы вбирает в	1	1
96	слов расширяя почти безгранично	1	1
97	так же точно и	1	1
98	во всей его сложности	1	1
99	тем не менее не	1	1
100	в самом общем виде	1	1
101	исходит из того что	1	1
102	смысл предыдущих и последующих	1	1
103	панораму слов влитые в	1	1
104	почти безгранично рамки своего	1	1
105	а по своей природе	1	1
106	значения на язык внешней	1	1
107	смысла слова над его	1	1
108	бы вбирает в себя	1	1
109	целую панораму слов влитые	1	1
