N	3gram	Medvedev_S	DiskursI
1	в том что	2	28
2	по отношению к	2	17
3	с одной стороны	1	14
4	то же время	1	10
5	в то же	1	8
6	в конечном счете	1	6
7	по крайней мере	1	6
8	то же самое	1	5
9	сказать и о	1	4
10	не в том	2	4
11	а с другой	1	4
12	в наше время	1	4
13	в строгом значении	1	4
14	далеко еще не	1	3
15	во всяком случае	1	3
16	и в то	1	2
17	что в них	1	2
18	а в том	1	2
19	в том и	1	2
20	только то что	1	2
21	в том именно	1	1
22	благодаря тому что	1	1
23	тем более не	1	1
24	о том как	1	1
25	дело не в	2	1
26	все это по	1	1
27	друг от друга	1	1
28	отношению к субъекту	1	1
29	не может не	1	1
30	в связи с	1	1
31	том именно и	1	1
32	и в этом	1	1
33	то что в	1	1
34	не место в	1	1
35	в противном случае	1	1
36	это как будто	1	1
37	и должно было	1	1
38	именно в том	1	1
39	выходит за пределы	1	1
40	это и есть	1	1
