N	4gram	Voloshinov	slovoVRo
1	во всех его моментах	1	5
2	с этой точки зрения	1	2
3	всех его моментах в	1	2
4	ни в чем не	3	2
5	во всех его многообразных	1	2
6	и связанных с ними	1	2
7	или во всяком случае	1	2
8	мы имеем в виду	1	1
9	если бы он был	1	1
10	и ни в чем	1	1
11	во всяком случае не	1	1
12	дело в том что	1	1
13	и в известной степени	1	1
14	в связи с этим	1	1
15	во всех областях идеологического	1	1
16	бы оно ни было	1	1
17	на своем месте и	1	1
18	бы то ни было	1	1
19	одну и ту же	1	1
20	так же как и	1	1
21	всех областях идеологического творчества	1	1
22	все снова и снова	1	1
