N	2gram	Savitsky_E	TeoriaLi
1	в качестве	14	33
2	в мире	2	26
3	не только	18	24
4	и в	37	24
5	в частности	5	23
6	то есть	6	22
7	состоит в	1	22
8	может быть	6	22
9	при этом	1	20
10	в том	11	20
11	тогда как	1	18
12	и не	14	17
13	а в	2	15
14	но и	14	14
15	а не	2	14
16	так и	10	14
17	в себе	9	14
18	представляет собой	3	13
19	в рамках	1	13
20	но не	5	13
21	в этом	12	12
22	сводится к	1	12
23	но в	14	12
24	в его	2	12
25	то же	15	12
26	том что	6	11
27	точки зрения	23	11
28	и его	1	11
29	что в	21	10
30	по отношению	1	10
31	как это	4	10
32	лишь в	1	10
33	только в	9	9
34	в данном	3	9
35	с другой	7	9
36	не сводится	1	9
37	не в	5	9
38	в то	16	9
39	в своей	8	8
40	же время	14	8
41	как бы	6	8
42	всего лишь	3	8
43	по своей	2	8
44	не может	9	8
45	в самом	4	7
46	в принципе	1	7
47	или иной	4	7
48	особого рода	1	7
49	в отличие	1	7
50	в своем	14	7
51	а также	7	7
52	отличие от	1	7
53	во второй	3	7
54	место в	3	7
55	в области	11	7
56	в нем	1	7
57	другой стороны	2	6
58	в состав	1	6
59	более или	1	6
60	как и	7	6
61	не менее	1	6
62	в основе	1	6
63	то что	6	6
64	со стороны	5	6
65	уже не	1	6
66	с его	1	6
67	в ее	8	6
68	с другими	2	6
69	или иначе	1	6
70	между ними	2	6
71	или менее	1	6
72	того или	4	6
73	тем самым	5	6
74	или иного	4	6
75	мыслится как	1	5
76	как в	3	5
77	можно сказать	4	5
78	не является	3	5
79	того чтобы	6	5
80	для того	6	5
81	иначе говоря	2	5
82	по преимуществу	2	5
83	данном случае	2	5
84	для него	1	5
85	того что	7	5
86	между тем	8	5
87	он не	2	5
88	и тем	3	5
89	в пределах	25	5
90	и о	1	5
91	могут быть	2	5
92	в отношении	32	4
93	не на	4	4
94	и сам	1	4
95	в этих	2	4
96	входит в	1	4
97	говорить о	1	4
98	отношении к	15	4
99	сказать что	4	4
100	в нашем	1	4
101	к тому	8	4
102	этого слова	1	4
103	никогда не	3	4
104	и того	2	4
105	хотя и	2	4
106	в их	11	4
107	мира и	3	4
108	по своему	7	4
109	в свою	3	4
110	и что	2	4
111	далеко не	2	4
112	того же	3	4
113	одного и	1	4
114	в силу	2	4
115	с ее	1	4
116	и ее	1	4
117	и к	3	3
118	во втором	2	3
119	в таком	3	3
120	для себя	1	3
121	с этой	6	3
122	даже в	4	3
123	для возникновения	1	3
124	если бы	2	3
125	все эти	1	3
126	а именно	2	3
127	именно в	4	3
128	например в	1	3
129	в жизни	1	3
130	в порядке	2	3
131	имеет место	2	3
132	в соответствии	1	3
133	культуры в	4	3
134	свою очередь	2	3
135	между собой	2	3
136	потому что	3	3
137	одной стороны	8	3
138	или иных	1	3
139	в одном	2	3
140	вслед за	6	3
141	не обязательно	1	3
142	известной степени	3	3
143	мог бы	2	3
144	во всей	2	3
145	от себя	1	3
146	и для	3	3
147	таким образом	2	3
148	и то	2	3
149	с одной	8	3
150	том числе	1	3
151	и потому	5	3
152	с точки	17	3
153	к которому	1	3
154	есть в	2	3
155	прежде всего	9	3
156	а на	1	3
157	и притом	4	3
158	связи с	1	3
159	или в	2	3
160	в связи	1	3
161	и как	2	3
162	в сторону	2	3
163	вовсе не	6	3
164	той или	4	3
165	во всех	6	3
166	не будет	3	3
167	к области	1	3
168	этом смысле	3	3
169	в этой	2	3
170	человеческой жизни	1	3
171	столь же	5	3
172	являет собой	1	3
173	и по	5	3
174	тех или	1	3
175	отнюдь не	9	3
176	как совокупность	4	3
177	в культуре	3	3
178	мира в	4	3
179	в той	5	2
180	поскольку не	1	2
181	мире и	1	2
182	и другие	1	2
183	обращены к	1	2
184	для всех	1	2
185	однако с	1	2
186	в сочетании	1	2
187	один из	1	2
188	таковы например	1	2
189	и на	6	2
190	если в	2	2
191	всех и	1	2
192	которая в	1	2
193	к числу	1	2
194	на этом	1	2
195	а затем	1	2
196	по себе	4	2
197	не могут	2	2
198	в них	3	2
199	оно не	1	2
200	и даже	6	2
201	этой точки	5	2
202	заключается в	2	2
203	с ними	1	2
204	вместе с	2	2
205	жизни в	3	2
206	ни для	1	2
207	в известном	3	2
208	в каком	4	2
209	о том	3	2
210	в аспекте	1	2
211	казалось бы	1	2
212	ними и	2	2
213	при условии	2	2
214	духовной жизни	2	2
215	к нему	2	2
216	в значительной	2	2
217	имеет в	2	2
218	и иных	1	2
219	на основе	2	2
220	времени в	1	2
221	речь идет	1	2
222	и это	1	2
223	значительной степени	1	2
224	существования в	3	2
225	и наоборот	1	2
226	из перечисленных	1	2
227	соответствии с	1	2
228	если мы	1	2
229	для понимания	2	2
230	который в	1	2
231	в противном	1	2
232	в мировой	1	2
233	в самой	1	2
234	чем это	1	2
235	для такого	1	2
236	жизни но	1	2
237	бы то	4	2
238	то в	4	2
239	но на	3	2
240	рода и	1	2
241	большей части	2	2
242	на вопрос	1	2
243	одной из	5	2
244	ни столь	2	2
245	несмотря на	4	2
246	но от	1	2
247	ни было	4	2
248	в формах	1	2
249	ее в	3	2
250	способность к	1	2
251	что и	3	2
252	у нас	1	2
253	или иную	3	2
254	тем в	3	2
255	в европейской	2	2
256	с их	1	2
257	к жизни	1	2
258	и некоторые	3	2
259	дело в	3	2
260	на себя	3	2
261	тому что	1	2
262	в какой	2	2
263	противном случае	1	2
264	только и	1	2
265	границ между	1	2
266	об этом	1	2
267	тем более	4	2
268	а для	1	2
269	могли бы	1	2
270	по большей	1	2
271	но как	2	2
272	единое целое	1	2
273	человеческого бытия	1	2
274	ту или	3	2
275	то ни	4	2
276	этом мире	1	2
277	в случае	2	2
278	быть и	1	2
279	и существенно	2	2
280	к такой	2	2
281	за пределы	1	2
282	перед лицом	1	2
283	это может	1	2
284	в большинстве	2	2
285	идет о	3	2
286	так же	9	2
287	числе и	1	2
288	на уровне	2	2
289	что может	1	2
290	известном смысле	3	2
291	и прежде	3	2
292	как будто	2	2
293	включает в	1	2
294	чтобы не	1	2
295	некоторые иные	1	2
296	культура есть	2	1
297	с которыми	1	1
298	является в	1	1
299	все что	1	1
300	каждой из	1	1
301	в бесконечно	1	1
302	также что	1	1
303	и категорий	1	1
304	в случаях	1	1
305	тех кто	1	1
306	дело с	1	1
307	в которую	1	1
308	можно назвать	1	1
309	а у	1	1
310	развития но	1	1
311	что это	2	1
312	которые лежат	1	1
313	с ним	1	1
314	тем как	1	1
315	какой бы	2	1
316	в другой	2	1
317	говорит о	3	1
318	те же	1	1
319	не как	1	1
320	и лучше	1	1
321	из того	2	1
322	и другими	1	1
323	в результате	3	1
324	развернуть в	1	1
325	быть может	1	1
326	с собой	1	1
327	в центре	1	1
328	как было	3	1
329	не случайна	1	1
330	чтобы в	1	1
331	с некоторыми	1	1
332	на свой	1	1
333	такими же	1	1
334	данная сфера	1	1
335	имеет значение	1	1
336	с ней	1	1
337	мысль о	1	1
338	одновременно с	1	1
339	значение в	1	1
340	тем что	3	1
341	именно о	1	1
342	из всего	1	1
343	и будет	1	1
344	то время	1	1
345	принадлежат к	1	1
346	с тем	3	1
347	стороны в	2	1
348	с такими	1	1
349	что по	1	1
350	все же	1	1
351	не имеет	4	1
352	отрекается от	1	1
353	как более	1	1
354	по признаку	3	1
355	о котором	1	1
356	поскольку он	2	1
357	друг от	2	1
358	будущее в	1	1
359	он мог	1	1
360	всем его	1	1
361	к какой	1	1
362	с этим	2	1
363	только одно	2	1
364	своем значении	1	1
365	можно в	2	1
366	на примере	1	1
367	непосредственно от	1	1
368	культуры не	2	1
369	в котором	2	1
370	осуществляется в	1	1
371	они обращены	1	1
372	зависит от	1	1
373	вопрос о	4	1
374	по своим	3	1
375	тех же	1	1
376	более чем	2	1
377	то и	1	1
378	связана с	1	1
379	заключающее в	1	1
380	и поэтому	2	1
381	не быть	1	1
382	во многих	4	1
383	а через	1	1
384	существенное значение	1	1
385	время в	3	1
386	слова и	1	1
387	положений и	1	1
388	что из	1	1
389	и теперь	2	1
390	жизни и	2	1
391	значение для	1	1
392	и наиболее	2	1
393	на основании	2	1
394	одно из	1	1
395	целый ряд	2	1
396	и до	1	1
397	к сфере	1	1
398	принадлежит не	1	1
399	и те	1	1
400	в совершенно	1	1
401	в истории	2	1
402	от своей	1	1
403	еще большей	1	1
404	бытия это	1	1
405	в прошлом	3	1
406	на которые	1	1
407	этого мира	1	1
408	на одну	2	1
409	к ним	3	1
410	случаи когда	1	1
411	мира имеет	1	1
412	в сфере	3	1
413	она может	1	1
414	него не	1	1
415	затем в	1	1
416	революции в	1	1
417	той же	1	1
418	в мировом	1	1
419	но именно	2	1
420	в одной	1	1
421	что все	2	1
422	то она	1	1
423	является весьма	1	1
424	том же	1	1
425	в сознании	1	1
426	а впоследствии	1	1
427	тот что	1	1
428	приобщения к	1	1
429	исходит из	1	1
430	одна из	1	1
431	всего к	2	1
432	но если	5	1
433	реальность и	1	1
434	которая способна	1	1
435	культуры и	2	1
436	что даже	1	1
437	культуры как	2	1
438	в отдельных	1	1
439	большей степени	1	1
440	они могут	1	1
441	пришлось бы	1	1
442	из них	3	1
443	тот же	1	1
444	друг другу	1	1
445	его можно	1	1
446	своего развития	1	1
447	в перспективе	4	1
448	культуры они	1	1
449	ближе к	1	1
450	представить себе	1	1
451	время для	1	1
452	что автор	1	1
453	именно к	2	1
454	в свое	1	1
455	или к	1	1
456	мы видим	2	1
457	в более	1	1
458	так как	7	1
459	она и	1	1
460	многих других	1	1
461	может не	1	1
462	различие между	1	1
463	только отдельные	1	1
464	но из	1	1
465	на язык	2	1
466	должно быть	1	1
467	чем на	2	1
468	и процесс	1	1
469	общение с	1	1
470	в состоянии	1	1
471	и иного	1	1
472	мире в	1	1
473	для нас	4	1
474	но был	1	1
475	в осознании	1	1
476	к определенному	1	1
477	иными словами	4	1
478	весь мир	1	1
479	наше внимание	2	1
480	в третьем	1	1
481	в русском	1	1
482	реальности это	1	1
483	тому же	1	1
484	но с	2	1
485	даже вовсе	1	1
486	не было	1	1
487	от друга	2	1
488	отказаться от	1	1
489	и более	2	1
490	что его	1	1
491	и где	1	1
492	же по	1	1
493	которое в	2	1
494	что не	1	1
495	по-разному в	1	1
496	прошлом и	1	1
497	или иная	1	1
498	но само	1	1
499	рынок и	2	1
500	с той	1	1
501	долгое время	2	1
502	также в	2	1
503	но по	2	1
504	на земле	1	1
505	большинстве случаев	3	1
506	всем своем	1	1
507	не есть	2	1
508	между прочим	7	1
509	рядом с	1	1
510	которая при	1	1
511	при таком	1	1
512	перед собой	1	1
513	ли не	1	1
514	от этого	5	1
515	и со	3	1
516	в такой	1	1
517	его жизни	1	1
518	в двух	1	1
519	на его	1	1
520	в каждой	1	1
