N	2gram	Tiupa_Narr	PoTuStor
1	может быть	25	17
2	и в	19	16
3	и пр	1	12
4	таким образом	1	9
5	в этом	17	9
6	прежде всего	4	9
7	мы можем	1	9
8	и только	2	9
9	совершенно не	2	8
10	точки зрения	10	8
11	и с	4	8
12	не может	10	8
13	и его	5	8
14	не только	32	7
15	сказать что	4	7
16	с его	6	7
17	и к	1	6
18	при этом	9	6
19	для него	2	6
20	самом деле	2	6
21	с точки	2	6
22	ни в	3	5
23	все эти	2	5
24	в чем	1	5
25	еще не	7	5
26	как бы	4	5
27	отношение к	2	5
28	нуждается в	5	5
29	в него	1	5
30	и на	3	4
31	в его	9	4
32	мысли и	1	4
33	так и	9	4
34	на самом	1	4
35	его в	2	4
36	и даже	3	4
37	и все	2	4
38	с ними	1	4
39	только в	4	4
40	и не	20	4
41	можно сказать	5	4
42	но и	23	4
43	хотя бы	4	4
44	и может	1	4
45	в этой	5	4
46	как мы	3	4
47	отнюдь не	5	4
48	в нем	4	4
49	с ее	3	4
50	в один	1	4
51	и ее	2	4
52	и наконец	1	4
53	но в	6	4
54	до сих	1	3
55	к себе	5	3
56	в том	18	3
57	те же	4	3
58	с другими	1	3
59	между ними	2	3
60	в конечном	3	3
61	их в	1	3
62	отношения к	2	3
63	этом смысле	1	3
64	и как	5	3
65	что в	3	3
66	том что	14	3
67	на этом	1	3
68	мира и	2	3
69	и оно	1	3
70	матери и	4	3
71	во всех	1	3
72	и потому	2	3
73	в основе	5	3
74	по крайней	1	3
75	как это	6	3
76	даже не	3	3
77	а в	11	3
78	то что	11	3
79	на две	1	3
80	и др	2	3
81	могут быть	3	3
82	и есть	2	3
83	сих пор	1	3
84	в общем	1	3
85	жизни и	3	3
86	в области	2	3
87	крайней мере	1	3
88	едва ли	1	3
89	в самом	1	2
90	в свое	1	2
91	что оно	1	2
92	на протяжении	6	2
93	они не	2	2
94	возникает в	1	2
95	мы не	1	2
96	с этой	1	2
97	ни было	3	2
98	что это	3	2
99	можно определить	1	2
100	аналогии с	1	2
101	в область	2	2
102	может иметь	1	2
103	для нас	1	2
104	и через	1	2
105	но как	2	2
106	что и	1	2
107	быть может	2	2
108	сводится к	3	2
109	у него	4	2
110	не на	2	2
111	не могут	1	2
112	со всеми	1	2
113	в них	1	2
114	а на	1	2
115	поэтому и	1	2
116	все то	2	2
117	не знает	1	2
118	всех его	2	2
119	не нуждается	1	2
120	по аналогии	1	2
121	что не	4	2
122	конечном счете	2	2
123	можно назвать	1	2
124	как и	7	2
125	что он	6	2
126	есть в	2	2
127	же как	3	2
128	не есть	3	2
129	только то	1	2
130	по своему	1	2
131	себя и	2	2
132	с историей	1	2
133	не менее	3	2
134	во сне	1	2
135	на первый	2	2
136	и вообще	1	2
137	не удается	1	2
138	на них	1	2
139	при всей	4	2
140	все и	1	2
141	оно не	2	2
142	в постель	1	2
143	не существует	3	2
144	между собой	2	2
145	что мы	2	2
146	в историю	1	2
147	мы уже	1	2
148	из этих	3	2
149	совсем не	1	2
150	а может	1	2
151	он не	3	2
152	и т.п	8	2
153	в развитии	1	2
154	в частности	14	2
155	не будет	3	2
156	оно и	1	2
157	характерно для	1	2
158	но зато	1	2
159	говорить о	2	2
160	в начале	1	2
161	в мир	1	2
162	в пределах	2	2
163	как не	1	2
164	так же	2	2
165	цели и	1	2
166	было бы	4	2
167	нет и	2	2
168	своей жизни	1	2
169	с нею	1	2
170	что на	2	2
171	о том	6	2
172	во всей	2	2
173	один из	3	2
174	и по	1	2
175	с ним	1	2
176	но это	1	2
177	и для	2	2
178	того же	1	2
179	то же	4	2
180	никогда не	3	2
181	как кажется	2	1
182	о смерти	1	1
183	что было	1	1
184	жизни но	2	1
185	мир не	1	1
186	бы то	3	1
187	читатель может	1	1
188	мире и	1	1
189	дает нам	1	1
190	что они	3	1
191	и то	1	1
192	образом и	1	1
193	и здесь	1	1
194	та же	2	1
195	не оставляет	1	1
196	мы и	1	1
197	к их	1	1
198	постель к	1	1
199	самым существенным	1	1
200	мир в	1	1
201	нельзя сказать	1	1
202	как нам	1	1
203	друга в	1	1
204	что хотела	1	1
205	данном случае	4	1
206	различие между	2	1
207	было на	1	1
208	которая в	2	1
209	и того	2	1
210	с одной	7	1
