N	3gram	Vygotskiy_	UchenyiS
1	в конечном счете	1	4
2	не может быть	3	4
3	с другой стороны	5	3
4	и то что	3	2
5	на каждом шагу	1	2
6	в художественном произведении	1	2
7	в том что	20	2
8	в противном случае	1	2
9	в самом деле	29	2
10	до сих пор	6	2
11	материала и формы	1	2
12	и в частности	1	2
13	а между тем	1	2
14	то же самое	12	2
15	в этом отношении	1	2
16	элементы из которых	1	1
17	и формы в	1	1
18	имеем в виду	2	1
19	друг с другом	2	1
20	что для него	2	1
21	сам по себе	2	1
22	и в конце	2	1
23	так или иначе	1	1
24	что она должна	2	1
25	содержания и формы	1	1
26	мы можем его	1	1
27	очевидно что и	1	1
28	же самое что	2	1
29	и формы как	1	1
30	на первый взгляд	1	1
31	которые могли бы	1	1
32	так много в	2	1
33	роль не только	1	1
34	никогда не может	2	1
35	между тем в	2	1
36	но по существу	1	1
37	то что при	1	1
38	с тем что	3	1
39	бы это было	1	1
40	и независимо от	1	1
41	с одной стороны	6	1
42	что все они	1	1
43	если бы это	1	1
44	можно сказать что	1	1
45	как раз обратное	2	1
46	точном смысле этого	3	1
47	конечно не в	1	1
48	это то же	1	1
49	не было бы	2	1
50	и что все	1	1
51	говорит он в	1	1
52	все это в	1	1
53	в той же	2	1
54	не в том	2	1
55	в этом плане	1	1
56	а не только	1	1
57	больше чем то	1	1
58	на то что	16	1
59	чем то что	1	1
60	более или менее	1	1
61	которые подходят к	1	1
62	в данном случае	5	1
63	мы имеем в	1	1
64	и все они	1	1
65	в точном смысле	2	1
66	было бы ни	1	1
67	в этом случае	1	1
68	в сторону от	2	1
69	том что она	3	1
70	определяется не столько	1	1
71	уж тем что	1	1
72	идет не о	1	1
73	но конечно не	1	1
74	это было бы	2	1
