N	3gram	Tiupa_Teor	EvropaiC
1	в том что	10	16
2	по отношению к	10	11
3	с точки зрения	3	8
4	более или менее	6	8
5	а между тем	1	8
6	для того чтобы	5	7
7	а и в	1	7
8	друг от друга	1	6
9	в самом деле	2	5
10	так или иначе	5	5
11	к тому же	1	5
12	не может быть	5	4
13	о том что	1	4
14	тем не менее	3	4
15	с другой стороны	6	4
16	в том случае	1	4
17	начало и конец	1	4
18	в этом случае	1	4
19	том случае если	1	4
20	может быть и	2	4
21	заключается в том	1	3
22	не в состоянии	1	3
23	в целом ряде	1	3
24	в настоящее время	1	3
25	одного и того	4	3
26	так же как	1	3
27	то ни было	2	3
28	в данном случае	5	3
29	и того же	4	3
30	в связи с	3	3
31	бы то ни	2	3
32	в том и	1	2
33	в свою очередь	3	2
34	в нашем случае	2	2
35	при этом что	2	2
36	заключает в себе	1	2
37	как и в	2	2
38	таким же образом	1	2
39	в то время	1	2
40	в то же	8	2
41	именно потому что	1	2
42	а с другой	2	2
43	том что он	2	2
44	только то что	1	2
45	с одной стороны	3	2
46	то же время	8	2
47	что несмотря на	1	2
48	это имеет место	1	1
49	и в жизни	1	1
50	все то что	1	1
51	то есть в	1	1
52	та или иная	1	1
53	на задний план	1	1
54	в противоречие с	1	1
55	по крайней мере	1	1
56	в данный момент	2	1
57	есть как бы	1	1
58	этой точки зрения	2	1
59	то что входит	1	1
60	том или ином	1	1
61	в себе и	1	1
62	с этой точки	2	1
63	во всей своей	1	1
64	точно так же	1	1
65	к одному из	1	1
66	в том числе	3	1
67	художественное произведение и	1	1
68	при этом не	1	1
69	но на деле	1	1
70	состоит в том	6	1
71	между людьми поэтому	1	1
72	на одну из	1	1
73	в себе никаких	1	1
74	в его сознании	1	1
75	и другими людьми	1	1
76	дело в том	1	1
77	иметь в виду	1	1
78	одно и то	2	1
79	в лучшем случае	1	1
80	в зависимости от	1	1
81	том числе и	2	1
82	в том или	1	1
83	а в том	1	1
84	и то же	2	1
85	не только не	2	1
86	исходит из того	1	1
87	на первый взгляд	1	1
88	при этом у	1	1
89	то же самое	1	1
90	между тем в	1	1
91	к тому что	2	1
92	не принадлежат к	1	1
93	из того что	1	1
94	что входит в	1	1
95	никак не может	1	1
96	приводит к тому	2	1
97	таким образом и	1	1
98	является одним из	1	1
99	со своей стороны	1	1
100	тот или иной	3	1
101	окружающей его природы	1	1
102	в чистом виде	1	1
103	это было бы	1	1
