N	2gram	Voloshinov	Tvorches
1	и в	16	56
2	как бы	5	41
3	в его	4	37
4	то же	2	25
5	в году	1	24
6	не только	7	24
7	но в	4	24
8	как и	2	23
9	и не	4	23
10	а в	3	23
11	и его	8	23
12	в этом	9	22
13	что в	3	21
14	в том	3	21
15	он не	2	19
16	том что	3	19
17	может быть	17	19
18	у него	2	18
19	то что	3	18
20	таким образом	9	17
21	и на	4	17
22	что он	2	17
23	все это	4	17
24	при этом	6	16
25	но и	4	16
26	никогда не	2	16
27	прежде всего	9	16
28	не может	8	16
29	и с	8	15
30	в мире	1	15
31	но это	2	15
32	в этой	4	15
33	с его	7	15
34	и даже	4	14
35	о том	2	13
36	а не	1	13
37	же с	1	12
38	в своей	2	11
39	все же	1	11
40	отнюдь не	4	11
41	для него	6	11
42	в самом	2	10
43	в конце	1	10
44	только в	4	10
45	когда он	1	10
46	в основном	3	10
47	уже в	1	10
48	так и	4	10
49	но не	1	10
50	в душе	2	9
51	в своих	1	9
52	по мнению	1	9
53	один из	2	9
54	жизни в	1	9
55	в свою	1	9
56	человека в	1	9
57	в нем	4	9
58	в духе	1	8
59	не менее	2	8
60	так же	2	8
61	к этому	2	8
62	хотя и	1	8
63	это уже	1	8
64	вместе с	3	8
65	еще не	5	8
66	так как	4	8
67	на его	1	8
68	вовсе не	1	8
69	человека и	1	8
70	в этих	3	7
71	и сам	1	7
72	уже не	1	7
73	что она	1	7
74	в чем	5	7
75	не случайно	1	7
76	самом деле	6	7
77	во сне	2	7
78	в момент	1	6
79	еще более	1	6
80	и как	3	6
81	конечном счете	2	6
82	хотя бы	4	6
83	одна из	1	6
84	его в	4	6
85	в конечном	3	6
86	и ее	4	6
87	а потому	4	6
88	с ним	2	6
89	если бы	1	6
90	и все	4	6
91	приводит к	1	6
92	все эти	5	6
93	мысли и	4	5
94	быть может	2	5
95	в них	2	5
96	с другой	1	5
97	отметить что	1	5
98	во всей	2	5
99	все время	1	5
100	что они	1	5
101	что и	2	5
102	что не	2	5
103	я не	1	5
104	и это	6	5
105	а с	1	5
106	что это	2	5
107	та же	1	5
108	с этим	2	5
109	не имеют	1	5
110	но если	1	5
111	тот же	1	5
112	ничего не	1	5
113	из этой	1	5
114	мы не	2	5
115	но эта	1	5
116	и по	2	5
117	и других	2	5
118	что я	1	5
119	как он	1	5
120	в известной	1	5
121	с этой	2	4
122	говорит о	1	4
123	роль в	1	4
124	только на	3	4
125	говорить о	2	4
126	самого начала	4	4
127	точки зрения	8	4
128	крайней мере	3	4
129	к нему	1	4
130	мы видим	2	4
131	и мы	2	4
132	и потому	3	4
133	с точки	6	4
134	и через	2	4
135	сновидения и	2	4
136	не знает	2	4
137	что его	1	4
138	же как	2	4
139	сих пор	3	4
140	не был	1	4
141	как это	3	4
142	ту же	2	4
143	как известно	1	4
144	себя в	1	4
145	однако в	1	4
146	могут быть	3	4
147	о его	1	4
148	и есть	3	4
149	до сих	3	4
150	в область	2	4
151	в человеке	1	4
152	с ними	4	4
153	по крайней	3	4
154	нет ничего	1	4
155	это и	1	4
156	его и	1	4
157	в основе	3	4
158	времени и	1	4
159	той же	1	4
160	зависит от	1	4
161	дело в	1	4
162	с самого	4	4
163	полную свободу	1	4
164	в частности	2	4
165	еще в	1	4
166	и наконец	4	4
167	что на	2	4
168	и к	6	3
169	только что	1	3
170	в виду	1	3
171	связь с	1	3
172	в мир	2	3
173	в жизни	2	3
174	только для	5	3
175	отличается от	1	3
176	к тому	1	3
177	на все	1	3
178	во всяком	3	3
179	можно сказать	4	3
180	в свете	1	3
181	в этот	2	3
182	в одном	3	3
183	и еще	1	3
184	сказать что	7	3
185	едва ли	3	3
186	на протяжении	2	3
187	к себе	3	3
188	мы знаем	3	3
189	несмотря на	1	3
190	для того	1	3
191	я и	6	3
192	не есть	2	3
193	в себя	1	3
194	со всеми	2	3
195	и мир	1	3
196	опираясь на	1	3
197	на этом	3	3
198	в философии	1	3
199	всяком случае	3	3
200	совсем не	2	3
201	но зато	2	3
202	должны быть	1	3
203	и что	1	3
204	для человека	1	3
205	даже не	3	3
206	году в	1	3
207	что для	1	3
208	и др	3	3
209	человека как	1	3
210	любви к	1	3
211	его к	1	3
212	в один	4	3
213	и особенно	1	3
214	образом и	1	3
215	сводится к	2	3
216	других людей	1	3
217	развития в	1	3
218	со стороны	1	3
219	в образах	1	3
220	в которую	1	3
221	нет и	2	3
222	как мы	4	3
223	человек был	1	3
224	на этот	1	3
225	человека но	1	3
226	жизни но	1	3
227	в любви	1	3
228	что оно	2	3
229	и вот	3	3
230	ее в	2	3
231	на самом	4	3
232	у нас	1	3
233	в русском	1	3
234	не существует	2	3
235	идеи и	1	3
236	в ней	1	3
237	мы узнаем	1	3
238	из этих	2	3
239	в него	5	3
240	и их	4	3
241	с ее	4	3
242	в начале	2	3
243	в другом	1	3
244	лишь в	1	3
245	отношение к	5	3
246	бы он	1	3
247	во многих	1	3
248	жизни и	3	3
249	в области	3	3
250	и только	9	3
251	это в	1	3
252	к другим	2	3
253	протест против	1	2
254	все что	4	2
255	же и	1	2
256	и лишь	2	2
257	которая в	1	2
258	все позволено	4	2
259	этот момент	1	2
260	человек есть	1	2
261	вспомним хотя	1	2
262	жизнь в	1	2
263	с тем	1	2
264	их в	3	2
265	в одно	2	2
266	ad absurdum	1	2
267	развития личности	1	2
268	но мы	4	2
269	связано с	1	2
270	сам же	1	2
271	и того	1	2
