N	3gram	Medvedev_V	VelikijI
1	к тому что	4	3
2	и т д	16	2
3	в том что	5	2
4	не было еще	1	2
5	бы и не	3	2
6	а между тем	1	2
7	но и в	1	2
8	в существе своем	1	2
9	в этом нет	1	1
10	все это мы	1	1
11	другой стороны в	1	1
12	в конце концов	2	1
13	все это имеет	1	1
14	вместе с тем	4	1
15	и вместе с	1	1
16	мы видим что	1	1
17	его хотя бы	1	1
18	что не могут	1	1
19	есть то что	1	1
20	это одна из	1	1
21	и никогда не	2	1
22	по сравнению с	1	1
23	по крайней мере	2	1
24	не могут быть	4	1
25	хотя бы и	5	1
26	в искусстве но	1	1
27	но все же	1	1
28	с другой стороны	8	1
29	и есть то	1	1
30	после того как	2	1
