N	4gram	Berdyaev_M	Psycholo
1	и в самом деле	1	19
2	в то время как	2	13
3	одной и той же	2	12
4	в том случае если	1	7
5	в том что он	1	7
6	не что иное как	4	6
7	с психологической точки зрения	1	6
8	так же как и	1	5
9	все более и более	1	4
10	одна и та же	2	4
11	никогда не может быть	2	3
12	и мы увидим что	1	3
13	и вместе с тем	4	3
14	для того чтобы сделать	1	3
15	что до сих пор	1	3
16	в том смысле что	1	3
17	одни и те же	1	3
18	с такой силой как	1	2
19	до сих пор не	1	2
20	и не может быть	1	2
21	что в то время	1	2
22	и в том случае	1	2
23	есть не что иное	3	2
24	той мере в какой	1	1
25	в той мере в	1	1
26	друг к другу и	2	1
27	в том смысле в	1	1
28	сомневаться в том что	1	1
29	друг к другу как	1	1
30	в том что это	1	1
31	чтобы открыть что в	1	1
32	и потому не может	1	1
33	и там и здесь	6	1
34	и в той мере	1	1
35	и в конце концов	2	1
36	не хотел этим сказать	1	1
37	ни в чем не	2	1
38	есть вместе с тем	1	1
39	заключает в себе и	1	1
40	к нему и много	1	1
41	делает то же что	1	1
42	не иное что как	1	1
43	с тем что в	1	1
44	ни на что не	1	1
45	к отрицанию не только	1	1
46	хотел этим сказать что	1	1
47	не порождает из себя	1	1
48	одну и ту же	1	1
