N	2gram	Vygotskiy_	Russkaja
1	не может	15	22
2	и не	19	19
3	в этом	30	17
4	в том	50	17
5	с другом	6	14
6	и в	55	14
7	друг с	6	14
8	то что	69	13
9	таким образом	35	11
10	то же	16	11
11	точки зрения	15	11
12	но и	16	10
13	же время	2	10
14	в то	6	10
15	не только	24	9
16	с точки	5	9
17	том что	46	9
18	во всяком	2	9
19	может быть	34	9
20	в себе	13	9
21	прежде всего	6	8
22	того чтобы	43	8
23	как на	15	8
24	не будет	3	7
25	ни к	1	7
26	самом деле	17	7
27	стремление к	2	7
28	к тому	12	7
29	о том	24	7
30	в данном	4	7
31	и если	13	7
32	мы должны	10	7
33	и с	3	7
34	и к	5	6
35	если в	1	6
36	и при	3	6
37	для него	5	6
38	признать что	4	6
39	все это	8	6
40	на самом	9	6
41	в своих	9	6
42	если бы	21	6
43	и для	13	6
44	в россии	1	6
45	с тем	10	6
46	что он	30	6
47	для того	45	6
48	к которой	4	6
49	в своем	12	6
50	всяком случае	1	6
51	а потому	1	5
52	до сих	9	5
53	и на	12	5
54	из которых	5	5
55	только в	12	5
56	или иной	2	5
57	по существу	4	5
58	в своей	8	5
59	в последние	1	5
60	себя и	3	5
61	между собой	2	5
62	во всех	6	5
63	сих пор	9	5
64	и только	5	5
65	вопрос о	6	5
66	хотя бы	5	5
67	потому что	48	5
68	в нем	13	5
69	между тем	4	5
70	он не	10	5
71	а между	1	5
72	конечно не	3	5
73	а в	7	5
74	при этом	11	5
75	было бы	15	5
76	на то	27	5
77	он должен	8	5
78	никогда не	15	5
79	что в	43	4
80	во всем	3	4
81	бы то	1	4
82	и то	12	4
83	все что	1	4
84	когда они	2	4
85	так как	20	4
86	смотреть на	3	4
87	к этой	2	4
88	тогда когда	1	4
89	в его	8	4
90	тому чтобы	1	4
91	не могут	4	4
92	его в	2	4
93	более или	1	4
94	отказаться от	1	4
95	не в	12	4
96	в корне	2	4
97	вместе с	16	4
98	как и	9	4
99	на земле	1	4
100	все же	11	4
101	приводит к	2	4
102	в их	3	4
103	со стороны	3	4
104	себе и	4	4
105	ли это	3	4
106	или менее	1	4
107	том случае	1	4
108	на соборе	1	4
109	которой он	1	4
110	то ни	1	4
