N	2gram	Medvedev_F	EvropaiE
1	и в	54	37
2	в отношении	3	32
3	в пределах	13	25
4	точки зрения	21	23
5	что в	10	21
6	не только	14	18
7	с точки	17	17
8	в то	14	16
9	то же	16	15
10	хотя бы	10	15
11	отношении к	2	15
12	в качестве	2	14
13	и не	34	14
14	но и	18	14
15	же время	13	14
16	в своем	12	14
17	но в	9	14
18	в этом	39	12
19	в том	17	11
20	в их	16	11
21	в области	6	11
22	так и	24	10
23	в себе	4	9
24	т е	50	9
25	прежде всего	34	9
26	только в	6	9
27	в смысле	2	9
28	все более	4	9
29	так же	5	9
30	не может	26	9
31	отнюдь не	13	9
32	с одной	5	8
33	в ее	10	8
34	в своей	16	8
35	одной стороны	5	8
36	между тем	4	8
37	было бы	10	8
38	думать что	4	8
39	к тому	6	8
40	так как	4	7
41	того что	7	7
42	в областях	1	7
43	а также	1	7
44	как и	18	7
45	между прочим	1	7
46	по своему	1	7
47	также и	1	7
48	с другой	8	7
49	нам кажется	2	7
50	с этой	4	6
51	и даже	7	6
52	вслед за	1	6
53	и на	10	6
54	том что	3	6
55	в экономическом	1	6
56	вовсе не	18	6
57	во всех	9	6
58	может быть	30	6
59	того чтобы	4	6
60	для того	3	6
61	стороны и	4	6
62	то что	14	6
63	как бы	10	6
64	на то	2	6
65	в той	3	5
66	как нам	1	5
67	тем самым	5	5
68	в виде	2	5
69	этой точки	1	5
70	не в	16	5
71	в россии	4	5
72	но не	5	5
73	от этого	3	5
74	со стороны	7	5
75	и потому	9	5
76	которую мы	1	5
77	же как	3	5
78	в частности	4	5
79	как мы	10	5
80	одной из	2	5
81	столь же	2	5
82	но если	1	5
83	и по	3	5
84	в самом	17	4
85	бы то	4	4
86	то в	3	4
87	мы не	6	4
88	даже в	2	4
89	ни было	2	4
90	того или	6	4
91	для нас	1	4
92	не на	3	4
93	чем в	1	4
94	и притом	2	4
95	именно в	12	4
96	в процессе	17	4
97	по себе	10	4
98	не имеет	2	4
99	в каком	1	4
100	культуры в	1	4
101	тем более	1	4
102	той или	1	4
103	вопрос о	3	4
104	но даже	2	4
105	лежат в	1	4
106	то ни	5	4
107	или иного	8	4
108	как совокупность	1	4
109	как это	8	4
110	несмотря на	2	4
111	к ней	3	4
112	в ней	15	4
113	сказать что	3	4
114	можно сказать	2	4
115	техники и	3	4
116	или иной	1	4
117	мира в	2	4
118	независимо от	5	4
119	и к	7	3
120	говорит о	1	3
121	применении к	4	3
122	можно думать	1	3
123	в применении	4	3
124	в определенном	1	3
125	этом отношении	7	3
126	ее в	3	3
127	что и	10	3
128	в результате	8	3
129	не является	3	3
130	себе не	1	3
131	можно было	1	3
132	на себя	1	3
133	и некоторые	1	3
134	дело в	1	3
135	тем что	6	3
136	очевидно что	2	3
137	в таком	2	3
138	вообще не	1	3
139	в стороне	1	3
140	большинстве случаев	5	3
141	как в	12	3
142	жизни в	2	3
143	мира и	1	3
144	и со	3	3
145	по своим	1	3
146	на своем	3	3
147	бы ни	5	3
148	в них	4	3
149	во всяком	6	3
150	тем в	1	3
151	ни на	5	3
152	бы и	1	3
153	во все	2	3
154	в данном	2	3
155	идет о	3	3
156	в свою	8	3
157	не дает	3	3
158	связано с	1	3
159	потому что	2	3
160	время в	4	3
161	и тем	3	3
162	во второй	3	3
163	когда он	3	3
164	не будет	2	3
165	и для	5	3
166	этом смысле	3	3
167	уже и	1	3
168	отметить что	2	3
169	себе в	2	3
170	известной степени	4	3
171	как на	5	3
172	с тем	11	3
173	в данной	1	3
174	обстоит дело	1	3
175	и от	9	3
176	место в	8	3
177	о том	1	3
178	в общем	8	3
179	и прежде	3	3
180	от них	2	3
181	мы видели	5	3
182	там где	3	3
183	и только	5	3
184	всяком случае	6	3
185	не из	5	3
186	того же	1	3
187	из них	5	3
188	их отношении	1	3
189	в известной	2	3
190	никогда не	6	3
191	всего в	5	2
192	таким образом	28	2
193	и всецело	2	2
194	и то	1	2
195	в другой	2	2
196	во втором	7	2
197	и во	2	2
198	влияние на	3	2
199	следует отметить	2	2
200	мы видим	1	2
201	в гораздо	1	2
202	и этот	2	2
203	по преимуществу	6	2
204	говоря уже	1	2
205	данном случае	2	2
206	этот процесс	1	2
207	если в	3	2
208	на язык	5	2
209	чем на	1	2
210	должна быть	11	2
211	совершенно очевидно	1	2
212	и имеет	1	2
213	в его	30	2
214	свою очередь	6	2
215	еще более	6	2
216	тому чтобы	2	2
217	значения для	1	2
218	что это	1	2
219	это значит	1	2
220	хотя и	3	2
221	с этим	6	2
222	первого рода	1	2
223	в некоторых	2	2
224	какой бы	2	2
225	его на	1	2
226	и тут	1	2
227	ценностей в	1	2
228	и если	2	2
229	из того	1	2
230	в содержании	7	2
231	для них	4	2
232	подходит к	4	2
233	с другими	11	2
234	другой стороны	5	2
235	участие в	1	2
236	в этих	3	2
237	не могут	8	2
238	и наиболее	1	2
239	в своих	3	2
240	как же	1	2
241	от друга	2	2
242	если бы	8	2
243	или в	2	2
244	что к	1	2
245	и с	17	2
246	заключается в	1	2
247	и все	9	2
248	в процессах	1	2
249	и эта	2	2
250	представление о	2	2
251	или хотя	1	2
252	в какой	3	2
253	имеет место	1	2
254	вместе с	8	2
255	и как	6	2
256	как не	1	2
257	притом в	1	2
258	не есть	4	2
259	в порядке	1	2
260	в мире	4	2
261	дело идет	6	2
262	как оно	1	2
263	между собой	1	2
264	между ними	3	2
265	сравнению с	1	2
266	поскольку он	1	2
267	в сторону	4	2
268	друг от	2	2
269	бы совершенно	1	2
270	в эту	3	2
271	в других	5	2
272	а именно	3	2
273	совершенно прав	1	2
274	на них	1	2
275	бы о	1	2
276	только одно	1	2
277	вопрос не	1	2
278	не дают	2	2
279	не говоря	1	2
280	но как	2	2
281	и отчасти	6	2
282	и других	4	2
283	и более	4	2
284	в котором	2	2
285	эти последние	1	2
286	и что	2	2
287	она не	8	2
288	в значительной	3	2
289	на основе	6	2
290	по сравнению	1	2
291	и поэтому	1	2
292	он не	8	2
293	не чуждо	1	2
294	кажется что	1	2
295	в развитии	2	2
296	что если	2	2
297	а не	11	2
298	в идеологическом	6	2
299	и та	1	2
300	есть ли	1	2
301	в одном	2	2
302	как совокупности	1	2
303	целый ряд	4	2
304	далеко не	2	2
305	этот вопрос	2	2
306	в истории	10	2
307	констатировать что	1	2
308	по своей	1	2
309	при помощи	2	2
310	а в	11	2
311	в большинстве	6	2
312	а тем	1	2
313	в этой	10	2
314	что же	6	2
315	проблемы и	2	2
316	и еще	1	2
317	как их	4	2
318	во многом	2	2
319	культуры и	3	2
320	главным образом	5	2
321	мог бы	1	2
322	наряду с	1	2
