N	4gram	Tiupa_Hudo	Marksizm
1	в то же время	7	15
2	бы то ни было	2	12
3	одного и того же	3	9
4	но в то же	1	9
5	не может быть и	1	4
6	в том что он	2	4
7	с одной стороны и	1	3
8	в связи с этим	1	3
9	в том числе и	2	3
10	одно и то же	3	3
11	в той или иной	2	3
12	одним и тем же	1	3
13	какой бы то ни	1	3
14	ни в коем случае	2	2
15	в том или ином	1	2
16	в таком случае это	1	2
17	с этой точки зрения	2	1
18	в их отношении к	1	1
19	не что иное как	1	1
20	той или иной форме	1	1
21	в более или менее	1	1
22	внутренней речи как бы	1	1
23	а в то же	1	1
24	и по отношению к	1	1
25	языка не может быть	1	1
26	ни к чему не	1	1
27	себе отчет в том	1	1
28	бы они ни были	1	1
29	по отношению к нему	1	1
30	в отношении к нему	1	1
31	в коем случае не	2	1
32	он тем не менее	2	1
33	приводит к тому что	2	1
34	то же время они	1	1
35	более или менее широком	1	1
