N	2gram	Propp_Morf	Problemy
1	и в	17	106
2	и не	16	90
3	как бы	6	70
4	может быть	61	66
5	т е	25	59
6	в его	1	56
7	в этом	18	52
8	не может	19	49
9	как и	4	44
10	что он	5	44
11	точки зрения	7	40
12	но и	9	40
13	для него	2	39
14	и его	3	39
15	а не	11	38
16	о себе	1	37
17	то же	10	36
18	не только	8	36
19	в пределах	3	35
20	то что	10	33
21	но в	4	33
22	прежде всего	14	32
23	он не	5	29
24	в то	4	29
25	все это	2	29
26	и все	1	28
27	в одном	2	27
28	не в	3	27
29	к другому	2	27
30	к себе	2	26
31	же время	1	26
32	и с	1	25
33	к нему	3	25
34	с точки	6	25
35	в сущности	3	25
36	и т	62	25
37	не как	1	24
38	вовсе не	6	24
39	героя и	3	24
40	самом деле	4	24
41	и на	1	23
42	в каждом	1	22
43	что я	1	22
44	таким образом	26	22
45	там где	5	21
46	как мы	8	21
47	все же	9	20
48	только в	3	20
49	потому что	7	20
50	что же	2	19
51	что в	10	19
52	с его	3	19
53	отношению к	7	19
54	уже не	4	18
55	по отношению	7	18
56	в себе	1	18
57	еще не	4	18
58	о нем	1	18
59	на самом	4	18
60	но не	8	18
61	все эти	5	18
62	и к	4	17
63	а в	8	17
64	в том	10	17
65	это не	6	17
66	так и	10	17
67	так же	4	16
68	если бы	3	16
69	в своей	1	16
70	в другом	2	16
71	у него	2	15
72	и для	4	15
73	и наконец	1	15
74	как раз	1	14
75	так как	20	14
76	с другим	1	14
77	но все	4	13
78	на него	4	13
79	с другими	2	13
80	его в	4	13
81	большинстве случаев	3	13
82	в мире	1	13
83	и это	1	13
84	героя в	5	13
85	себя и	2	13
86	перед нами	14	13
87	в большинстве	3	13
88	в целом	5	13
89	при этом	1	12
90	даже в	1	12
91	и как	6	12
92	и даже	2	12
93	к тому	5	12
94	во всяком	2	12
95	в котором	1	12
96	что и	10	12
97	не знает	2	12
98	так что	1	12
99	и что	3	12
100	было бы	5	12
101	между тем	5	12
102	как в	5	12
103	том что	7	12
104	но это	6	12
105	ничего не	5	12
106	в одной	2	12
107	в плане	1	12
108	тем что	4	11
109	их в	2	11
110	входит в	4	11
111	с другой	9	11
112	он сам	1	11
113	должно быть	1	11
114	бы в	2	11
115	мы уже	4	11
116	в форме	6	11
117	не могут	7	11
118	дело идет	1	11
119	так чтобы	1	11
120	самого героя	1	11
121	она не	2	11
122	или как	1	11
123	как будто	2	11
124	самого начала	1	10
125	что не	1	10
126	сих пор	1	10
127	в него	1	10
128	до сих	1	10
129	приводит к	3	10
130	далеко не	5	10
131	как не	1	10
132	лишь как	1	10
133	отношение к	1	10
134	ведь и	1	10
135	в той	1	9
136	другой стороны	5	9
137	в них	1	9
138	хотя бы	5	9
139	друг с	1	9
140	хотя и	5	9
141	но он	1	9
142	с самого	1	9
143	точек зрения	1	9
144	из одного	1	9
145	могут быть	21	9
146	всяком случае	2	9
147	ни в	3	9
148	или в	6	9
149	же и	1	8
150	в результате	8	8
151	и до	1	8
152	о том	6	8
153	мы увидим	10	8
154	из них	4	8
155	переходим к	1	8
156	к герою	3	8
157	несмотря на	4	8
158	ни было	2	8
159	но как	3	8
160	одним из	2	8
161	здесь не	3	8
162	и у	3	8
163	мы должны	3	8
164	должна быть	2	8
165	что это	3	8
166	вот как	2	8
167	не на	2	8
168	с ними	1	8
169	из его	2	8
170	как к	1	8
171	того что	3	8
172	это и	3	8
173	же не	1	8
174	с другом	1	8
175	то перед	5	8
176	бы он	1	8
177	от него	2	7
178	тем как	1	7
179	в виду	1	7
180	на свой	1	7
181	и со	1	7
182	вопрос о	10	7
183	только на	1	7
184	сказать что	4	7
185	что все	1	7
186	что она	2	7
187	что они	5	7
188	героя с	1	7
189	как его	1	7
190	лишь на	2	7
191	между ними	1	7
192	в этих	17	7
193	во всех	6	7
194	то ни	3	7
195	кажется что	1	7
196	если же	5	7
197	друг другу	1	7
198	и др	12	7
199	его к	1	7
200	и ее	5	7
201	были бы	1	7
202	бы то	3	7
203	его с	1	7
204	например в	2	7
205	не входит	2	7
206	его и	2	7
207	он в	1	7
208	на этот	2	7
209	т д	60	7
210	точку зрения	1	7
211	тот же	1	7
212	но на	1	7
213	в их	1	7
214	в виде	3	7
215	но эта	1	7
216	диалог ивана	1	7
217	и их	3	7
218	такой же	1	7
219	во всем	1	6
220	кроме того	3	6
221	в своих	2	6
222	не менее	7	6
223	и нет	1	6
224	с этим	14	6
225	но эти	3	6
226	превращается в	2	6
227	как на	1	6
228	одна из	5	6
229	и этим	7	6
230	как же	3	6
231	но ведь	1	6
232	на этом	4	6
233	а с	2	6
234	можно было	4	6
235	этот вопрос	4	6
236	в этой	3	6
237	себя в	2	6
238	во время	6	6
239	он говорил	1	6
240	и здесь	7	6
241	за ним	1	6
242	в другой	1	6
243	в плоскости	3	6
244	отношения к	1	6
245	в которых	2	6
246	в основе	2	6
247	и вот	1	6
248	героя а	4	6
249	он может	2	6
250	друг друга	3	6
251	которым он	1	6
252	на вопрос	2	6
253	и пр	45	6
254	о герое	3	6
255	но с	2	6
256	стремится к	1	6
257	по существу	13	6
258	на его	5	6
