N	4gram	Propp_Isto	FransuaR
1	на самом же деле	1	10
2	одной и той же	2	4
3	в связи с этим	1	4
4	и не может быть	1	4
5	не что иное как	6	3
6	есть не что иное	2	3
7	таким образом и здесь	1	2
8	мы уже знаем что	1	2
9	как мы сейчас увидим	1	2
10	заключается в том что	1	2
11	мы видим что в	1	2
12	совершенно так же как	4	2
13	до сих пор не	1	2
14	так же как и	3	2
15	изо рта из носа	1	1
16	рта из носа из	1	1
17	и в большинстве случаев	1	1
18	не только то что	1	1
19	примеров можно привести множество	1	1
20	в данном случае в	1	1
21	вот теперь я могу	1	1
22	в том что в	1	1
23	в тех случаях когда	2	1
24	в то время как	2	1
25	тем не менее он	1	1
26	как если бы она	1	1
27	то же самое что	1	1
28	подводя итоги мы можем	1	1
29	мы увидим дальше что	1	1
30	мы уже говорили выше	1	1
31	в соответствии с этим	1	1
32	с одной стороны он	1	1
33	которой мы здесь не	1	1
34	до сих пор этот	1	1
35	говорит об этом так	1	1
36	и как мы видели	1	1
37	не имеют ничего общего	1	1
38	состоит в том что	2	1
39	в силу того что	1	1
40	в средние века в	1	1
41	и в другом месте	1	1
42	только после того как	2	1
43	в огромном большинстве случаев	1	1
44	резко бросается в глаза	1	1
45	это может быть и	1	1
46	не менее если не	1	1
47	и здесь мы найдем	1	1
48	имеют ничего общего с	1	1
49	а в связи с	1	1
50	коня с другой стороны	1	1
51	он никак не мог	1	1
52	ничего не говорят о	2	1
53	однако не в этом	1	1
54	но вместе с тем	1	1
55	и в средние века	2	1
56	подобно тому как в	1	1
57	мы не можем здесь	1	1
