N	4gram	Tiupa_Anal	Marksizm
1	в то же время	7	15
2	бы то ни было	3	12
3	одного и того же	2	9
4	но в то же	2	9
5	на самом же деле	1	5
6	одни и те же	2	5
7	и не может быть	4	5
8	так как если бы	1	4
9	в том что он	2	4
10	одной и той же	1	3
11	один и тот же	1	3
12	в том числе и	1	3
13	одно и то же	2	3
14	в той или иной	3	3
15	одним и тем же	1	3
16	какой бы то ни	2	3
17	ни в коем случае	2	2
18	если бы он был	1	2
19	в том или ином	3	2
20	в таком случае это	1	2
21	до тех пор пока	1	2
22	одна и та же	1	2
23	не может быть ничего	1	2
24	нет и не может	2	2
25	несмотря на то что	1	2
26	в собственном смысле слова	1	2
27	с этой точки зрения	2	1
28	не что иное как	5	1
29	и в этом случае	1	1
30	с той или иной	2	1
31	в свою очередь оказывает	1	1
32	той или иной форме	1	1
33	по отношению к которым	1	1
34	речь идет об одном	1	1
35	не сам по себе	1	1
36	не может быть признано	1	1
37	то же самое что	1	1
38	а в то же	2	1
39	в большей или меньшей	1	1
40	во всех этих случаях	1	1
41	выходит далеко за пределы	1	1
42	может быть сведена к	1	1
43	в тех случаях когда	1	1
44	не говоря уже о	1	1
45	бы оно ни было	1	1
46	лишь в тех случаях	1	1
47	тем не менее в	1	1
48	к тому или иному	1	1
49	и там и здесь	1	1
50	или во всяком случае	1	1
51	в самом деле в	1	1
52	не сами по себе	1	1
53	и та и другая	1	1
54	свидетельствует о том что	1	1
55	в самом деле как	1	1
56	имеет место лишь в	1	1
57	в коем случае не	2	1
58	то же время он	1	1
59	приводит к тому что	1	1
60	то же время они	1	1
61	в том же году	1	1
62	не может быть сведена	1	1
