N	3gram	Savitsky_P	PoTuStor
1	с точки зрения	3	6
2	не может быть	1	3
3	в большинстве случаев	1	3
4	в этом смысле	1	3
5	по сравнению с	1	3
6	во всяком случае	1	3
7	но в общем	1	2
8	и пр при	1	2
9	так же как	1	2
10	и в этом	1	2
11	в том что	4	1
12	друг с другом	1	1
13	мы знаем что	1	1
14	вместе с тем	1	1
15	во многих случаях	1	1
16	в применении к	1	1
17	есть прежде всего	1	1
18	и теперь в	1	1
19	и пр в	1	1
20	для того чтобы	1	1
21	сводится к следующему	1	1
22	касается не только	1	1
23	с одной стороны	3	1
24	бы оно ни	1	1
