N	4gram	Trubetskoy	Stilisti
1	в то же время	2	7
2	одно и то же	1	5
3	одной и той же	1	4
4	но для того чтобы	1	2
5	и для того чтобы	1	2
6	вместе с тем и	1	2
7	в тех случаях когда	1	2
8	то для того чтобы	1	1
9	в самом широком смысле	1	1
10	мысль о том что	1	1
11	в том и другом	1	1
12	и в голову не	1	1
13	на самом деле является	1	1
14	я до сих пор	1	1
15	но вместе с тем	2	1
16	и не может быть	1	1
17	одному и тому же	1	1
18	может показаться что мы	1	1
19	нет и не может	1	1
20	одного и того же	3	1
21	если бы нам удалось	1	1
