N	4gram	Voloshinov	Narrotol
1	в то же время	7	8
2	дело в том что	1	3
3	которым можно было бы	1	2
4	с той или иной	1	2
5	и не может быть	5	2
6	одного и того же	9	2
7	одно и то же	3	2
8	в той или иной	3	2
9	с этой точки зрения	1	1
10	не что иное как	1	1
11	но для того чтобы	1	1
12	с одной стороны и	1	1
13	и то же слово	2	1
14	одна и та же	1	1
15	бы то ни было	11	1
16	может быть сведена к	1	1
17	той степени в какой	1	1
18	в результате чего в	1	1
19	той или иной степени	2	1
20	один и тот же	3	1
21	к тому или иному	1	1
22	текста но и в	1	1
23	в том числе и	3	1
24	во всех без исключения	2	1
25	в том что он	3	1
26	только по отношению к	1	1
27	в связи с этим	3	1
28	так а не иначе	1	1
29	не в слове и	1	1
30	и с точки зрения	1	1
31	не доказывает и не	1	1
32	ничего не доказывает и	1	1
33	одним и тем же	2	1
34	в той степени в	1	1
35	мы не видим и	1	1
36	то же время они	1	1
37	какой бы то ни	3	1
38	не видим и не	1	1
