N	3gram	Tiupa_Teor	SlovoVZh
1	по отношению к	10	11
2	в нашем примере	1	7
3	не может быть	5	7
4	можно сказать что	3	5
5	в том что	10	4
6	дело в том	1	4
7	и по отношению	1	3
8	в художественном произведении	1	3
9	то ни было	2	3
10	этой точки зрения	2	3
11	бы то ни	2	3
12	тем не менее	3	3
13	может быть и	2	3
14	имеем в виду	3	2
15	и для других	1	2
16	одной стороны и	1	2
17	то же самое	1	2
18	одно и то	2	2
19	в отношении к	2	2
20	в данном случае	5	2
21	в зависимости от	1	2
22	к автору и	1	2
23	с одной стороны	3	2
24	с другой стороны	6	2
25	до известной степени	2	2
26	и то же	2	2
27	с точки зрения	3	2
28	в настоящее время	1	2
29	со всех сторон	1	1
30	должен занимать особую	1	1
31	отношению к герою	2	1
32	для него не	1	1
33	в нашем случае	2	1
34	лингвистической точки зрения	1	1
35	свое незаместимое место	1	1
36	о том что	1	1
37	включает в себя	2	1
38	в противном случае	2	1
39	бы они ни	1	1
40	автору и по	1	1
41	в самом деле	2	1
42	случае мы имеем	1	1
43	искусства и в	1	1
44	в том и	1	1
45	в свою очередь	3	1
46	искусства может быть	1	1
47	во внутренней речи	1	1
48	и в частности	1	1
49	а между тем	1	1
50	к нему как	1	1
51	как это бывает	1	1
52	как и в	2	1
53	место в событии	1	1
54	какой бы то	1	1
55	сама по себе	2	1
56	занимать особую притом	1	1
57	ни в коем	2	1
58	двустороннюю позицию в	1	1
59	но прежде всего	1	1
60	и для него	1	1
61	особую притом двустороннюю	1	1
62	между тем это	1	1
63	никогда не бывает	1	1
64	в коем случае	2	1
65	но в то	2	1
66	имеем дело с	1	1
67	в лучшем случае	1	1
68	только то что	1	1
69	и тем же	1	1
70	подобно тому как	3	1
71	и его носителя	1	1
72	как это делает	1	1
73	в нем по	1	1
74	в конечном счете	6	1
75	и в пространстве	1	1
76	творчества он должен	1	1
77	притом двустороннюю позицию	1	1
78	внутренней и внешней	2	1
79	в основе своей	2	1
80	нем по отношению	1	1
81	так же как	1	1
82	то же время	8	1
83	тех или иных	3	1
84	не совпадает с	1	1
85	точки зрения не	1	1
86	в событии художественного	1	1
87	в большинстве своем	1	1
88	и прежде всего	1	1
89	позицию в нем	1	1
90	более или менее	6	1
91	в то же	8	1
92	мы имеем в	3	1
93	в значительной степени	2	1
94	отношению к автору	1	1
95	позицию по отношению	1	1
96	при этом особенно	1	1
97	незаместимое место в	1	1
98	том что в	1	1
99	мы имеем дело	2	1
100	они не входят	1	1
101	на второй план	1	1
102	по крайней мере	1	1
103	в истории литературы	1	1
104	художественного творчества он	1	1
105	в то время	1	1
106	в этом смысле	3	1
107	в русской литературе	2	1
108	художественное произведение взятое	1	1
109	в виду не	3	1
110	он должен занимать	1	1
111	при таком понимании	1	1
112	жизни за пределами	1	1
113	внутренней речи а	1	1
114	и здесь мы	1	1
115	одним и тем	1	1
116	к тому же	1	1
117	они ни были	1	1
118	событии художественного творчества	1	1
119	к вопросу о	1	1
