N	3gram	Tiupa_Narr	Hudozhes
1	по отношению к	6	10
2	не сводится к	2	9
3	в том что	8	8
4	присутствия в мире	2	7
5	в то же	3	7
6	в отличие от	5	7
7	то же время	3	7
8	с другой стороны	4	6
9	более или менее	2	6
10	той или иной	4	5
11	в конечном счете	2	5
12	состоит в том	3	5
13	так или иначе	2	4
14	того или иного	2	4
15	не может быть	5	4
16	так и не	2	4
17	в силу своей	1	4
18	но не слияние	1	3
19	ни в мире	3	3
20	с точки зрения	2	3
21	в этом смысле	1	3
22	в том числе	6	3
23	тем не менее	3	3
24	всех без исключения	1	3
25	можно сказать что	4	3
26	сближение но не	1	3
27	одного и того	1	3
28	подобно тому как	2	3
29	несет в себе	1	3
30	и того же	1	3
31	по сути дела	2	3
32	в связи с	2	3
33	кадров внутреннего зрения	1	3
34	с одной стороны	7	3
35	тот или иной	1	3
36	сказания или анекдота	2	2
37	в рамках художественного	1	2
38	в той или	2	2
39	речевая маска такого	2	2
40	в свою очередь	3	2
41	бы то ни	3	2
42	в данном контексте	1	2
43	и прежде всего	1	2
44	креативного и рецептивного	1	2
45	как к содержанию	2	2
46	до известной степени	1	2
47	позволяет говорить о	1	2
48	является своего рода	1	2
49	кто говорит и	2	2
50	в данный момент	1	2
51	в русской литературе	1	2
52	причастной вненаходимости бахтин	1	2
53	в мире на	1	2
54	себя в другом	1	2
55	этой точки зрения	2	2
56	ту или иную	2	2
57	с этой точки	1	2
58	героя тогда как	1	2
59	в самом деле	1	2
60	в таком случае	2	2
61	как бы не	1	2
62	со стороны адресата	2	2
63	участок текста характеризующийся	1	2
64	включает в себя	1	2
65	уготованной ему позиции	1	2
66	преодолеваемая даль и	1	2
67	по своей природе	1	2
68	том числе и	4	2
69	тех или иных	1	2
70	и в форме	2	2
71	с легкой руки	1	2
72	и в то	1	2
73	во всей его	1	2
74	а с другой	1	2
75	вокруг я героя	2	2
76	не могло быть	1	2
77	том что он	1	2
78	то ни было	3	2
79	в мире это	1	2
80	личностного присутствия в	1	2
81	в рамках которого	1	2
82	как уже говорилось	1	2
83	и сближение но	1	2
84	значении этого слова	2	2
85	отношения к сообщаемому	2	2
86	и не могло	1	2
87	даль и сближение	1	2
