N	2gram	Berdyaev_M	TeoriaLi
1	– это	2	33
2	в мире	12	26
3	не только	42	24
4	и в	61	24
5	в частности	1	23
6	то есть	3	22
7	может быть	42	22
8	– в	2	20
9	в том	9	20
10	я в	1	18
11	и не	26	17
12	а в	4	15
13	но и	34	14
14	а не	36	14
15	так и	5	14
16	в себе	12	14
17	такого рода	1	13
18	но не	8	13
19	в этом	34	12
20	но в	12	12
21	в его	10	12
22	то же	4	12
23	том что	7	11
24	точки зрения	6	11
25	и его	13	11
26	что в	12	10
27	по отношению	4	10
28	лишь в	8	10
29	отношению к	4	10
30	в душе	1	9
31	только в	7	9
32	с другой	1	9
33	в искусстве	1	9
34	не в	16	9
35	в то	2	9
36	в своей	18	8
37	как бы	10	8
38	– с	2	8
39	всего лишь	1	8
40	по своей	4	8
41	не может	39	8
42	в самом	15	7
43	не столько	1	7
44	на смену	3	7
45	особого рода	1	7
46	в отличие	1	7
47	в своем	17	7
48	себя в	6	7
49	мы имеем	1	7
50	а также	1	7
51	отличие от	1	7
52	во второй	1	7
53	отношение к	9	7
54	место в	4	7
55	в области	1	7
56	в нем	26	7
57	как и	14	6
58	не менее	1	6
59	приводит к	2	6
60	еще не	1	6
61	в основе	4	6
62	то что	10	6
63	уже не	8	6
64	с его	6	6
65	в ее	3	6
66	между ними	1	6
67	в русской	4	6
68	ни в	3	5
69	в виду	2	5
70	мыслится как	1	5
71	как в	9	5
72	того чтобы	4	5
73	для того	4	5
74	жизни как	1	5
75	на почве	3	5
76	как к	2	5
77	по преимуществу	4	5
78	для него	28	5
79	того что	13	5
80	– его	2	5
81	между тем	2	5
82	он не	34	5
83	и тем	1	5
84	в пределах	1	5
85	и о	1	5
86	могут быть	2	5
87	не случайно	1	5
88	искусства в	1	5
89	в отношении	6	4
90	не на	1	4
91	и сам	1	4
92	в этих	6	4
93	отношения к	6	4
94	что он	16	4
95	входит в	3	4
96	в другом	1	4
97	говорить о	1	4
98	отношении к	4	4
99	сказать что	5	4
100	в нашем	2	4
101	к тому	6	4
102	этого слова	1	4
103	никогда не	30	4
104	– на	1	4
105	это не	10	4
106	хотя и	2	4
107	в их	4	4
108	его в	6	4
109	но он	17	4
110	не знает	12	4
111	так в	1	4
112	мира и	6	4
113	по своему	3	4
114	со своей	2	4
115	личности в	4	4
116	– не	6	4
117	произведения искусства	1	4
118	личности и	3	4
119	в свою	5	4
120	и что	4	4
121	самим собой	1	4
122	в силу	1	4
123	и ее	2	4
124	и к	9	3
125	во втором	1	3
126	в момент	3	3
127	для себя	1	3
128	с этой	4	3
129	была бы	1	3
130	в финале	1	3
131	о чем	3	3
132	подобно тому	2	3
133	если бы	5	3
134	все эти	3	3
135	а именно	1	3
136	в жизни	7	3
137	к его	1	3
138	их в	1	3
139	– только	1	3
140	никто не	3	3
141	роль в	2	3
142	в иной	3	3
143	культуры в	1	3
144	своей природе	1	3
145	в противоположность	1	3
146	потому что	25	3
147	между двумя	1	3
148	направленной на	2	3
149	в одном	1	3
150	– также	1	3
151	имеем в	1	3
152	я –	1	3
153	мог бы	5	3
154	это отношение	1	3
155	во всей	1	3
156	не все	3	3
157	и для	7	3
158	и то	2	3
159	человека к	10	3
160	– все	5	3
161	мышления и	1	3
162	и вот	7	3
163	и потому	17	3
164	с точки	1	3
165	ни к	2	3
166	к которому	1	3
167	есть в	3	3
168	прежде всего	18	3
169	несет в	1	3
170	а на	1	3
171	без остатка	1	3
172	одним из	2	3
173	как говорит	1	3
174	и как	3	3
175	анна каренина	1	3
176	в сторону	1	3
177	вовсе не	1	3
178	во всех	3	3
179	а с	1	3
180	тому как	2	3
181	принадлежит к	3	3
182	в которой	8	3
183	не будет	3	3
184	он должен	4	3
185	не с	1	3
186	к области	1	3
187	человека с	2	3
188	в этой	12	3
189	и др	1	3
190	человеческой жизни	4	3
191	и по	4	3
192	мира в	2	3
193	в той	3	2
194	о жизни	1	2
195	ведет к	16	2
196	мире и	1	2
197	на деле	4	2
198	один из	9	2
199	и здесь	6	2
200	и мира	3	2
201	и на	9	2
202	если в	2	2
203	жизни а	3	2
204	и который	1	2
205	на этом	5	2
206	окружающей его	1	2
207	жизни –	1	2
208	по себе	2	2
209	не могут	6	2
210	в них	5	2
211	оно не	3	2
212	и даже	1	2
213	самом деле	2	2
214	на мир	1	2
215	русской поэзии	1	2
216	заключается в	1	2
217	к более	1	2
218	к нам	1	2
219	вместе с	7	2
220	дома и	1	2
221	жизни в	3	2
222	не вполне	1	2
223	себя и	6	2
224	отличается от	2	2
225	в каком	2	2
226	к другому	4	2
227	своей жизни	1	2
228	к своему	2	2
229	о том	5	2
230	казалось бы	1	2
231	сам же	1	2
232	это и	7	2
233	и политического	1	2
234	– и	1	2
235	и состоит	1	2
236	восходит к	1	2
237	духовной жизни	3	2
238	к нему	8	2
239	в значительной	2	2
240	но во	1	2
241	не всегда	1	2
242	сознания в	2	2
243	не могло	1	2
244	вступает в	1	2
245	говорит что	3	2
246	и это	16	2
247	превращается в	1	2
248	значительной степени	2	2
249	и наоборот	1	2
250	перед ним	3	2
251	к собственной	1	2
252	в глаза	1	2
253	известного рода	1	2
254	видим в	1	2
255	ключ к	1	2
256	личности к	2	2
257	всякий раз	2	2
258	что она	5	2
259	для понимания	1	2
260	до известной	1	2
261	он и	2	2
262	своего другого	1	2
263	лишь один	2	2
264	в самой	8	2
265	то в	2	2
266	что они	4	2
267	при котором	1	2
268	но на	2	2
269	вокруг него	1	2
270	на вопрос	1	2
271	не принадлежит	3	2
272	в последней	2	2
273	одной из	1	2
274	опыта к	1	2
275	личности как	1	2
276	что такое	2	2
277	ее в	1	2
278	способность к	2	2
279	все это	6	2
280	что и	6	2
281	у нас	13	2
282	xix века	4	2
283	духовной культуры	1	2
284	с их	2	2
285	к жизни	1	2
286	у него	38	2
287	– этого	1	2
288	от всех	2	2
289	к чему	5	2
290	на себя	1	2
291	не могли	1	2
292	в конце	11	2
293	я и	3	2
294	сама по	1	2
295	тому что	2	2
296	во внутренней	1	2
297	в какой	1	2
298	я не	4	2
299	не от	3	2
300	– как	1	2
301	зрения и	1	2
302	только и	7	2
303	это было	1	2
304	в чем	3	2
305	делает его	1	2
306	об этом	2	2
307	должен быть	4	2
308	жизни то	2	2
309	тем более	1	2
310	а для	2	2
311	к одному	2	2
312	могли бы	1	2
313	о себе	3	2
314	свободы но	6	2
315	быть и	2	2
316	но она	3	2
317	за пределы	5	2
318	существа в	1	2
319	перед лицом	1	2
320	от своего	2	2
321	человека и	19	2
322	его я	1	2
323	с человеком	2	2
324	так же	5	2
325	человеческих отношений	1	2
326	тот кто	5	2
327	не сама	1	2
328	о его	1	2
329	с чем	1	2
330	и прежде	1	2
331	как будто	4	2
332	право на	1	2
333	ни был	1	2
334	– уже	1	2
335	чтобы не	4	2
336	от свободы	5	2
337	самим собою	2	2
338	мира с	2	2
339	анны карениной	2	2
340	к такому	1	1
341	от него	4	1
342	жизни героя	1	1
343	своего я	1	1
344	является в	1	1
345	все что	5	1
346	быть постигнут	2	1
347	свободы как	2	1
348	и против	3	1
349	же и	2	1
350	такова же	1	1
351	и свою	1	1
352	сойти с	1	1
353	также что	1	1
354	того кому	1	1
355	своего собственного	1	1
356	о грядущем	1	1
357	его с	4	1
358	живет в	2	1
359	не знают	4	1
360	обжигает и	1	1
361	жизнь но	1	1
362	образа и	2	1
363	можно назвать	1	1
364	есть для	1	1
365	к знанию	1	1
366	я никогда	2	1
367	она лишь	1	1
368	что это	5	1
369	радикально меняется	1	1
370	других –	1	1
371	с ним	5	1
372	тем как	2	1
373	человеком который	1	1
374	что свобода	3	1
375	в сущности	2	1
376	в иную	1	1
377	в другой	1	1
378	говорит о	1	1
379	привести к	9	1
380	раскрывает нам	3	1
381	самой жизни	1	1
382	те же	5	1
383	не как	4	1
384	страдают от	1	1
385	с ума	4	1
386	разного рода	2	1
387	сама жизнь	1	1
388	высокий уровень	1	1
389	быть художественно	1	1
390	и делает	1	1
391	не несет	1	1
392	быть может	9	1
393	до последнего	1	1
394	не бывает	3	1
395	с собой	5	1
396	на всякое	1	1
397	дорожит этой	1	1
398	понимается как	1	1
399	в центре	4	1
400	со всеми	1	1
401	должен был	4	1
402	быть так	1	1
403	же я	1	1
404	начинается с	1	1
405	стоит в	3	1
406	он уже	8	1
407	все то	1	1
408	делает в	1	1
409	от одного	1	1
410	о мире	2	1
411	с ней	3	1
412	жизнь в	4	1
413	его природы	3	1
414	мы говорим	1	1
415	любовь и	4	1
416	мысль о	2	1
417	всегда остается	2	1
418	значение в	1	1
419	нему как	1	1
420	в различные	1	1
421	отношение человека	1	1
422	тем что	7	1
423	одним словом	1	1
424	говорят о	2	1
425	из всего	1	1
426	и действительно	1	1
427	то время	2	1
428	если он	7	1
429	принадлежат к	3	1
430	мира это	1	1
431	и другим	1	1
432	с тем	10	1
433	к самому	2	1
434	он стоит	1	1
435	и вокруг	1	1
436	состоит чтобы	1	1
437	в христианском	4	1
438	о судьбе	1	1
439	все же	2	1
440	к преступлению	9	1
441	жизни ее	1	1
442	не приводит	1	1
443	человек со	1	1
444	быть назван	3	1
445	существует не	2	1
446	не имеет	7	1
447	отрекается от	3	1
448	бы не	4	1
449	границы человеческой	4	1
450	но у	2	1
451	да и	1	1
452	ему и	1	1
453	зависимости от	1	1
454	характерна для	1	1
455	в это	1	1
456	– один	3	1
457	которая не	2	1
458	которой не	1	1
459	нет в	5	1
460	внешней среды	1	1
461	искусство и	1	1
462	он мог	2	1
463	истины о	1	1
464	с этим	4	1
465	все они	1	1
466	только одно	3	1
467	действующих лиц	1	1
468	на примере	1	1
469	и я	5	1
470	моего сознания	1	1
471	человек –	7	1
472	все и	1	1
473	он же	3	1
474	не существует	5	1
475	в котором	9	1
476	вопрос о	7	1
477	по своим	1	1
478	своей собственной	1	1
479	тех же	1	1
480	свободе его	1	1
481	в динамике	3	1
482	открывает что	2	1
483	более чем	3	1
484	и заключается	1	1
485	на какой	2	1
486	то и	1	1
487	границы личности	1	1
488	всех его	1	1
489	это ведет	1	1
490	себе такова	2	1
491	что достоевский	4	1
492	не узнает	1	1
493	связана с	9	1
494	кого в	1	1
495	можно лишь	1	1
496	определяющее значение	2	1
497	не должно	1	1
498	другу и	2	1
499	и поэтому	3	1
500	из жизни	1	1
501	не быть	2	1
502	этом пути	4	1
503	во многих	2	1
504	а после	1	1
505	– да	2	1
506	имея в	1	1
507	– лишь	2	1
508	с которой	2	1
509	и теперь	1	1
510	жизни и	6	1
511	и вся	1	1
512	значение для	1	1
513	с эпохи	1	1
514	и ему	1	1
515	если нет	9	1
516	втором случае	1	1
517	теми которые	1	1
518	одно из	3	1
519	в мир	3	1
520	целый ряд	2	1
521	и до	1	1
522	обращением к	1	1
523	для которого	1	1
524	добро и	4	1
525	принадлежит не	1	1
526	и те	4	1
527	знает личности	1	1
528	не что	4	1
529	явлена в	1	1
530	в истории	2	1
531	последних двух	1	1
532	не так	6	1
533	от своей	2	1
534	личность и	2	1
535	над собой	1	1
536	еще большей	1	1
537	жизни он	3	1
538	против собственной	1	1
539	другого в	2	1
540	в чистом	1	1
541	бытия это	1	1
542	всего что	2	1
543	между людьми	1	1
544	в прошлом	1	1
545	этого мира	3	1
546	к ним	1	1
547	человек должен	6	1
548	взгляд –	1	1
549	отношений и	1	1
550	с самим	5	1
551	впервые в	1	1
552	ее не	1	1
553	на могиле	1	1
554	в сфере	2	1
555	она может	2	1
556	него не	3	1
557	революции в	2	1
558	духа и	6	1
559	той же	3	1
560	ее как	2	1
561	человеческая личность	3	1
562	и остроте	1	1
563	за него	1	1
564	до конца	16	1
565	с нею	1	1
566	за его	2	1
567	в одной	1	1
568	человеческого существа	2	1
569	что все	5	1
570	в существовании	1	1
571	к миру	3	1
572	ивана карамазова	10	1
573	момент в	5	1
574	и достоевского	2	1
575	свободы я	1	1
576	во весь	1	1
577	не мыслится	1	1
578	но если	4	1
579	по поводу	1	1
580	с познанием	1	1
581	культуры и	2	1
582	он от	1	1
583	но внутренне	1	1
584	отречение от	1	1
585	культуры как	1	1
586	и ад	7	1
587	широк человек	1	1
588	восстает против	3	1
589	нет никаких	2	1
590	к этим	3	1
591	друг друга	12	1
592	все с	1	1
593	как явление	1	1
594	которое должно	1	1
595	тот же	1	1
596	начало и	1	1
597	от ее	1	1
598	могли быть	1	1
599	себе самом	1	1
600	находит свой	2	1
601	ближе к	1	1
602	время для	1	1
603	все мы	1	1
604	такое же	1	1
605	его личности	4	1
606	и такой	1	1
607	в свое	1	1
608	и идет	1	1
609	проникает в	3	1
610	интересом к	1	1
611	той мере	1	1
612	или к	4	1
613	мы видим	4	1
614	в более	4	1
615	моей духовной	1	1
616	так как	10	1
617	она и	1	1
618	многих других	1	1
619	от его	3	1
620	что иное	4	1
621	под маской	1	1
622	они не	4	1
623	может не	3	1
624	после того	2	1
625	различие между	2	1
626	возможность свободы	1	1
627	не во	1	1
628	но из	1	1
629	ее на	1	1
630	должно быть	5	1
631	а внутри	1	1
632	наиболее совершенной	1	1
633	который может	1	1
634	только личность	2	1
635	собой в	1	1
636	это особенно	2	1
637	смотря на	1	1
638	два полюса	1	1
639	иных случаях	1	1
640	от мира	2	1
641	в состоянии	1	1
642	начала и	1	1
643	бытия не	2	1
644	соединению с	1	1
645	не для	2	1
646	только свобода	3	1
647	судьба в	1	1
648	и чрезвычайно	1	1
649	и зло	2	1
650	мире в	1	1
651	жизни поэтому	1	1
652	души и	1	1
653	– должно	1	1
654	свободу и	8	1
655	чем у	8	1
656	как у	2	1
657	для нас	3	1
658	и сама	2	1
659	этом втором	1	1
660	и через	1	1
661	тайны и	1	1
662	требует от	1	1
663	сознания и	1	1
664	смысла жизни	2	1
665	его сознание	1	1
666	глубже чем	1	1
667	по типу	1	1
668	иной в	1	1
669	на которой	1	1
670	кто бы	1	1
671	им с	1	1
672	состояние как	1	1
673	весь мир	1	1
674	в русском	1	1
675	вокруг себя	1	1
676	не путем	1	1
677	реальности это	1	1
678	раз в	1	1
679	к построению	1	1
680	свободы и	13	1
681	не была	4	1
682	ведь это	2	1
683	но с	2	1
684	что составляет	1	1
685	не было	25	1
686	бы для	1	1
687	знал и	1	1
688	а о	1	1
689	как кризис	1	1
690	и более	2	1
691	и л	1	1
692	для других	1	1
693	чем человек	1	1
694	но эта	2	1
695	на нее	1	1
696	это еще	1	1
697	себя а	1	1
698	что не	3	1
699	и свободы	4	1
700	сознания но	1	1
701	эту свободу	1	1
702	по ту	1	1
703	этого события	1	1
704	или иная	1	1
705	между этими	1	1
706	с одним	1	1
707	не остается	2	1
708	мировой жизни	1	1
709	бы быть	1	1
710	с той	1	1
711	и без	2	1
712	долгое время	2	1
713	личности с	1	1
714	такова что	1	1
715	также в	2	1
716	чего бы	1	1
717	человек в	12	1
718	но по	1	1
719	на земле	7	1
720	не есть	21	1
721	рядом с	1	1
722	в ряду	1	1
723	перед собой	2	1
724	за это	1	1
725	как ее	2	1
726	от этого	4	1
727	в еще	1	1
728	остается лишь	2	1
729	в такой	4	1
730	писателя в	1	1
731	больше и	1	1
732	и глубже	2	1
733	такого отношения	3	1
734	мук и	1	1
735	лишь для	1	1
736	на его	1	1
737	человек имеет	1	1
738	красота есть	1	1
739	своей свободы	4	1
740	себе и	4	1
741	точек зрения	1	1
742	ибо и	1	1
743	из этого	1	1
744	человека –	5	1
745	путь к	2	1
746	красота –	2	1
747	поэтому у	1	1
748	ничего нельзя	1	1
749	особенно в	3	1
750	о своих	2	1
751	вживания в	1	1
752	связаны с	1	1
753	бы в	3	1
754	каждом человеке	2	1
755	мере в	1	1
756	на них	1	1
757	людей в	3	1
758	же как	1	1
759	и мир	2	1
760	остается в	1	1
761	в каждом	4	1
762	реальность не	1	1
763	и литературные	1	1
764	том случае	1	1
765	человек как	1	1
766	перед тем	1	1
767	как ни	1	1
768	жизнь и	5	1
769	в своих	4	1
770	он ни	2	1
771	не означает	2	1
772	карамазова в	2	1
773	личность в	1	1
774	сознание как	1	1
775	случае если	1	1
776	жизнь то	1	1
777	две стороны	1	1
778	если не	1	1
779	как своей	1	1
780	она не	9	1
781	когда я	1	1
782	другом и	1	1
783	не дает	1	1
784	ту же	1	1
785	совсем не	3	1
786	силе и	1	1
787	но всегда	1	1
788	личного бытия	2	1
789	можно признать	1	1
790	как человек	2	1
791	своем отношении	1	1
792	любить в	1	1
793	зрения у	1	1
794	человека как	3	1
795	отношение между	2	1
796	стоит и	1	1
797	так что	3	1
798	говорить об	1	1
799	себя человек	1	1
800	для художника	1	1
801	в развитии	1	1
802	именно потому	1	1
803	и открывает	1	1
804	природой и	3	1
805	образа в	1	1
806	другим и	2	1
807	и их	3	1
808	свобода не	6	1
809	это была	1	1
810	с личностью	2	1
811	можно было	1	1
812	отношений между	2	1
813	искусство никогда	1	1
814	– оно	1	1
815	заключает в	3	1
816	человеческого духа	31	1
817	отношения –	1	1
818	ничто не	1	1
819	свобода и	7	1
820	из нас	1	1
821	вести к	3	1
822	вся она	1	1
823	также и	6	1
824	он –	20	1
825	у нее	1	1
826	означает что	3	1
827	в иных	3	1
828	когда мы	2	1
829	не совпадает	1	1
830	себя за	1	1
831	на это	1	1
832	было бы	11	1
833	человеческого сознания	3	1
834	не по	1	1
835	из нее	1	1
836	герой из	1	1
837	так называемого	1	1
838	он переживает	2	1
839	но без	1	1
840	открывается в	2	1
841	ту сторону	1	1
842	он в	4	1
843	существования внутреннего	1	1
844	человеческая жизнь	2	1
845	так называемый	2	1
846	все человеческие	1	1
847	жизни не	2	1
848	одного из	1	1
849	– от	1	1
850	в понимании	1	1
851	рода это	1	1
852	та или	1	1
853	его как	2	1
854	каждый человек	2	1
855	в зависимости	1	1
856	подход к	1	1
857	которые в	2	1
858	этом они	1	1
859	когда они	1	1
860	сказать в	1	1
861	как внутреннее	1	1
862	этого опыта	1	1
863	внутрь себя	2	1
864	это ни	1	1
865	может показаться	1	1
866	и от	3	1
867	и есть	21	1
868	с которым	2	1
869	бытия и	1	1
870	к пониманию	1	1
871	всю жизнь	7	1
872	духовная жизнь	1	1
873	происходит в	1	1
874	но я	1	1
875	иной раз	1	1
876	идет не	1	1
877	на то	1	1
878	бы ни	2	1
879	но одно	1	1
880	как первоначальная	1	1
881	образ его	1	1
882	и только	1	1
883	толстого в	1	1
884	и отсутствие	1	1
885	в него	3	1
886	для этого	3	1
887	нет не	1	1
888	зрения герои	1	1
889	действительной жизни	1	1
890	есть не	9	1
891	кажется что	1	1
892	иное как	4	1
893	совершается в	1	1
894	момент его	2	1
895	делает то	1	1
896	себе а	1	1
897	для личности	1	1
