N	2gram	Berdyaev_M	FransuaR
1	и в	61	367
2	то есть	3	209
3	в этом	34	112
4	и не	26	101
5	и его	13	99
6	в его	10	98
7	прежде всего	18	92
8	не только	42	87
9	мы уже	1	85
10	но и	34	84
11	как бы	10	82
12	все эти	3	79
13	вовсе не	1	77
14	как и	14	76
15	в нем	26	75
16	но в	12	75
17	в эпоху	2	75
18	и на	9	72
19	и др	1	72
20	в том	9	71
21	то же	4	66
22	и все	13	66
23	в них	5	65
24	в этой	12	65
25	так и	5	65
26	и с	6	64
27	в сущности	2	64
28	в то	2	63
29	во время	1	63
30	во всех	3	62
31	все это	6	62
32	что в	12	52
33	в своем	17	51
34	xvi века	1	49
35	только в	7	48
36	так как	10	46
37	и до	1	46
38	том что	7	45
39	то что	10	41
40	у него	38	40
41	жизни и	6	40
42	в самом	15	38
43	точки зрения	6	37
44	в ней	23	37
45	с его	6	36
46	о том	5	35
47	он был	18	35
48	может быть	42	35
49	мы видим	4	35
50	сказать что	5	34
51	и даже	1	34
52	в себе	12	34
53	рядом с	1	32
54	в конце	11	32
55	он не	34	32
56	для него	28	32
57	до конца	16	31
58	связаны с	1	31
59	в своей	18	31
60	так же	5	30
61	но он	17	30
62	один из	9	30
63	потому что	25	30
64	той же	3	30
65	и потому	17	30
66	никогда не	30	30
67	в духе	6	29
68	в одном	1	29
69	еще не	1	29
70	в этих	6	29
71	что он	16	29
72	не может	39	29
73	его в	6	29
74	не в	16	29
75	и к	9	28
76	всех этих	1	28
77	также и	6	28
78	в той	3	28
79	в основе	4	28
80	сих пор	5	27
81	до сих	5	27
82	все же	2	27
83	во франции	1	27
84	по своему	3	27
85	роль в	2	27
86	и их	3	27
87	в преисподнюю	1	26
88	все они	1	26
89	на самом	2	25
90	в области	1	25
91	но это	8	25
92	мира и	6	25
93	он и	2	24
94	но не	8	24
95	в ее	3	24
96	и у	3	24
97	и от	3	24
98	как в	9	24
99	того чтобы	4	24
100	в частности	1	24
101	отношение к	9	24
102	и здесь	6	23
103	с ним	5	23
104	и для	7	23
105	в их	4	23
106	есть и	6	23
107	к нему	8	23
108	это не	10	23
109	не было	25	22
110	а в	4	22
111	тем что	7	22
112	что и	6	22
113	и других	2	22
114	вместе с	7	22
115	и во	5	22
116	связь с	1	22
117	и о	1	22
118	в своих	4	21
119	культуры и	2	21
120	в отношении	6	21
121	уже в	6	21
122	и как	3	21
123	есть в	3	21
124	одним из	2	21
125	что это	5	21
126	ни в	3	21
127	и наконец	1	21
128	в виду	2	20
129	и это	16	20
130	в значительной	2	20
131	одной из	1	20
132	этом отношении	1	20
133	с точки	1	20
134	в образе	4	20
135	они были	2	20
136	а также	1	20
137	самом деле	2	20
138	во всем	5	19
139	их в	1	19
140	к этому	3	19
141	за пределы	5	19
142	было бы	11	19
143	с другой	1	19
144	на протяжении	2	19
145	хотя и	2	19
146	средневековья и	1	18
147	на мир	1	18
148	со всеми	1	18
149	это и	7	18
150	превращается в	1	18
151	весь мир	1	18
152	на этом	5	18
153	связан с	1	18
154	это в	1	18
155	для того	4	17
156	конечно не	3	17
157	можно было	1	17
158	на его	1	17
159	в плане	1	17
160	еще более	3	17
161	но все	1	17
162	связана с	9	17
163	и вот	7	17
164	того что	13	17
165	а не	36	17
166	в другом	1	16
167	влияние на	1	16
168	между ними	1	16
169	между тем	2	16
