N	3gram	Vinokur_Ku	Poddanst
1	то же время	4	7
2	в то же	4	7
3	в том что	23	4
4	не только в	4	4
5	сами по себе	2	3
6	с точки зрения	16	3
7	с одной стороны	2	3
8	и если бы	1	2
9	заключается в том	2	2
10	и в то	1	2
11	и не только	1	2
12	и т д	21	1
13	было бы неправильно	1	1
14	вопрос об отношении	1	1
15	совершенно ясно что	1	1
16	такова же судьба	1	1
17	эта не только	1	1
18	в которую мы	1	1
19	и в частности	1	1
20	чуть ли не	3	1
21	как бы часть	1	1
22	вместе с тем	3	1
23	в противоречии с	2	1
24	не в области	1	1
25	возможно также что	1	1
26	и тем самым	1	1
27	в применении к	1	1
28	само по себе	6	1
29	мы знаем что	2	1
30	в одно и	1	1
31	не может быть	5	1
32	та или иная	1	1
33	во многих случаях	1	1
34	в большинстве случаев	2	1
35	том что в	1	1
36	но также и	2	1
37	в отличие от	3	1
38	условия в которых	2	1
39	то что его	1	1
40	можно говорить о	2	1
41	в сопоставлении с	1	1
42	в этом смысле	8	1
43	по сравнению с	1	1
44	можно рассматривать с	1	1
45	тех пор пока	1	1
46	с тем чтобы	1	1
47	и то что	1	1
48	т д не	2	1
49	и есть в	2	1
50	что в этом	1	1
51	в собственном смысле	1	1
52	в каком смысле	1	1
53	том виде какой	1	1
54	хотя бы и	4	1
55	главным образом на	1	1
56	во всяком случае	8	1
57	что с точки	1	1
58	для того чтобы	21	1
59	сводится к следующему	1	1
60	с другой стороны	12	1
61	все это в	1	1
62	не в том	5	1
63	в том виде	1	1
64	собою как бы	1	1
65	в настоящее время	2	1
66	более или менее	3	1
67	другой стороны есть	1	1
68	тем более что	1	1
69	вслед за тем	1	1
70	так же как	3	1
71	до тех пор	1	1
72	эти могут быть	1	1
73	тот или иной	1	1
