N	2gram	Nazirov_Tv	NovoeSre
1	а не	9	17
2	не может	9	16
3	и в	40	16
4	во имя	3	15
5	совсем не	1	12
6	и не	12	11
7	и есть	2	10
8	что в	17	9
9	в эпоху	1	9
10	в том	13	8
11	жизни и	3	8
12	он не	10	8
13	в этом	11	7
14	может быть	11	7
15	не будет	2	7
16	это есть	1	7
17	культуры и	2	7
18	как и	16	7
19	общественной жизни	1	6
20	ни в	2	6
21	не знает	2	6
22	не в	3	6
23	лишь в	1	6
24	от бога	1	6
25	с его	12	6
26	но это	10	6
27	никогда не	13	6
28	и к	1	5
29	не только	16	5
30	в ней	2	5
31	истории в	1	5
32	все это	14	5
33	xix века	13	5
34	в жизни	3	5
35	в нем	4	5
36	с ее	3	5
37	должен быть	1	5
38	и общественной	1	5
39	перестает быть	1	4
40	и потому	4	4
41	и мы	1	4
42	по своему	1	4
43	быть может	3	4
44	не во	2	4
45	со всех	1	4
46	должно быть	1	4
47	потому что	10	4
48	это не	9	4
49	прежде всего	10	4
50	в них	1	4
51	то что	9	4
52	не было	3	4
53	есть лишь	1	4
54	и все	6	4
55	государства и	1	4
56	всех сторон	1	4
57	не менее	8	4
58	не имеет	2	4
59	значит что	3	4
60	эпохи и	1	4
61	о том	9	4
62	наше время	4	4
63	исторической эпохи	1	3
64	во всех	2	3
65	истории не	1	3
66	не означает	4	3
67	в наше	4	3
68	она не	2	3
69	в ее	3	3
70	что такое	1	3
71	дня и	2	3
72	стремится к	3	3
73	в истории	2	3
74	не существует	3	3
75	в духе	6	3
76	с другой	4	3
77	в основе	3	3
78	нашей эпохи	1	3
79	к ним	1	3
80	в россии	5	3
81	бога и	3	3
82	сказать что	3	3
83	французской революции	1	3
84	наряду с	6	3
85	с тем	1	3
86	не значит	2	3
87	к жизни	4	3
88	не есть	2	3
89	волю к	1	3
90	в своей	8	3
91	в мире	8	3
92	как в	10	3
93	жизни в	9	3
94	но и	10	3
95	это было	1	3
96	жизни не	2	3
97	к тому	2	3
98	человека и	6	3
99	еще не	5	3
100	с этим	2	2
101	все они	1	2
102	центр тяжести	1	2
103	более не	4	2
104	и от	8	2
105	это и	4	2
106	ни к	2	2
107	и что	2	2
108	возвращается к	1	2
109	не могли	2	2
110	на протяжении	3	2
111	свои права	1	2
112	на путях	1	2
113	это связано	1	2
114	что она	5	2
115	ли это	2	2
116	не имеют	4	2
117	и было	1	2
118	духовной жизни	2	2
119	зависит от	4	2
120	познания и	2	2
121	с одной	2	2
122	хотя бы	5	2
123	такого рода	1	2
124	мы не	3	2
125	вот почему	3	2
126	они считают	1	2
127	хотя и	5	2
128	природе и	1	2
129	сильнее и	2	2
130	так и	5	2
131	как это	2	2
132	вкус к	1	2
133	если нет	1	2
134	но она	2	2
135	сама жизнь	2	2
136	человека во	1	2
137	думать что	1	2
138	одной стороны	1	2
139	можно было	1	2
140	и должно	2	2
141	свободы от	1	2
142	каждого человека	1	2
143	другой стороны	2	2
144	времени и	4	2
145	из ее	1	2
146	в русском	1	2
147	у него	11	2
148	место в	6	2
149	самоутверждения и	1	2
150	свободы и	2	2
151	а в	10	2
152	в обществе	1	2
153	свободы в	1	2
154	все время	3	2
155	и даже	8	2
156	века и	1	2
157	всемирной истории	2	2
158	люди не	1	2
159	и с	9	2
160	мы говорим	1	2
161	связана с	2	2
162	жизни как	1	2
163	для этого	1	2
164	приближаемся к	1	2
165	нет и	1	2
166	xviii века	2	2
167	равно как	1	2
168	которую она	1	2
169	капитализм и	1	2
170	могут быть	4	2
171	в себе	3	2
172	том чтобы	1	2
173	и на	12	2
174	быть в	1	2
175	уже не	6	2
176	я не	5	2
177	не знал	2	2
