N	2gram	Losev_Prob	PoTuStor
1	может быть	11	17
2	и в	48	16
3	таким образом	20	9
4	в этом	31	9
5	прежде всего	15	9
6	мы можем	5	9
7	и только	4	9
8	совершенно не	1	8
9	точки зрения	17	8
10	и с	10	8
11	не может	6	8
12	и его	11	8
13	не только	28	7
14	сказать что	13	7
15	с его	3	7
16	и к	9	6
17	при этом	6	6
18	для него	2	6
19	самом деле	3	6
20	я и	1	6
21	и это	3	6
22	конечно не	2	6
23	с точки	13	6
24	что такое	1	5
25	ни в	17	5
26	все эти	12	5
27	только для	5	5
28	в чем	3	5
29	еще не	4	5
30	как бы	10	5
31	ту сторону	1	5
32	отношение к	3	5
33	нуждается в	2	5
34	в него	1	5
35	все что	2	4
36	для всех	2	4
37	и на	9	4
38	так как	10	4
39	все это	8	4
40	в его	19	4
41	жизни человека	1	4
42	художественного творчества	10	4
43	так и	15	4
44	на самом	2	4
45	его в	9	4
46	и даже	24	4
47	и все	12	4
48	с ними	1	4
49	только в	21	4
50	и желаний	1	4
51	и не	29	4
52	можно сказать	10	4
53	с самого	3	4
54	но и	21	4
55	хотя бы	11	4
56	и их	7	4
57	самого начала	3	4
58	в этой	14	4
59	как мы	5	4
60	мифов и	1	4
61	отнюдь не	14	4
62	в нем	8	4
63	с ее	1	4
64	и ее	2	4
65	и наконец	4	4
66	но в	17	4
67	и вот	1	3
68	если б	1	3
69	ребенка и	1	3
70	до сих	3	3
71	к себе	1	3
72	в том	25	3
73	те же	1	3
74	с другими	1	3
75	с их	1	3
76	на этой	2	3
77	их в	1	3
78	отношения к	1	3
79	этом смысле	4	3
80	учение о	4	3
81	и как	10	3
82	что в	12	3
83	и она	1	3
84	том что	29	3
85	большинстве случаев	2	3
86	вместе с	15	3
87	на этом	1	3
88	в этих	3	3
89	мира и	5	3
90	и художественного	1	3
91	и оно	1	3
92	во всех	2	3
93	но оно	1	3
94	быть это	1	3
95	во всяком	7	3
96	и потому	4	3
97	и притом	8	3
98	тех же	1	3
99	только как	1	3
100	по крайней	8	3
101	как это	5	3
102	только на	2	3
103	в одном	6	3
104	даже не	1	3
105	чем не	2	3
106	а в	8	3
107	в большинстве	1	3
108	то что	26	3
109	и др	1	3
110	могут быть	2	3
111	и есть	4	3
112	сих пор	3	3
113	в общем	1	3
114	жизни и	7	3
115	в области	3	3
116	всяком случае	6	3
117	крайней мере	8	3
118	едва ли	13	3
119	в самом	7	2
120	об его	3	2
121	сущность его	1	2
122	что оно	2	2
123	и этот	1	2
124	и мы	1	2
125	они не	3	2
126	почти не	1	2
127	мы не	7	2
128	с этой	4	2
129	по всему	2	2
130	ни было	2	2
131	что это	4	2
132	на этих	1	2
133	аналогии с	1	2
134	ее в	2	2
135	для нас	14	2
136	и этим	1	2
137	но как	3	2
138	что и	8	2
139	сознания и	1	2
140	сводится к	1	2
141	у него	13	2
142	не на	1	2
143	не могут	3	2
144	со всеми	5	2
145	в душе	1	2
146	в них	5	2
147	а на	1	2
148	поэтому и	4	2
149	и других	1	2
150	остается и	1	2
151	по аналогии	1	2
152	что не	3	2
153	и чувств	2	2
154	здесь же	1	2
155	вообще не	1	2
156	между собою	2	2
157	в жизни	4	2
158	можно назвать	2	2
159	из тех	3	2
160	является по	2	2
161	как и	10	2
162	что он	12	2
163	есть в	6	2
164	не есть	3	2
165	в своей	29	2
166	и так	3	2
167	в одно	6	2
168	меньше всего	2	2
169	как с	2	2
170	по своему	3	2
171	себя и	1	2
172	только и	9	2
173	не менее	8	2
174	в каком	1	2
175	и таким	1	2
176	на первый	1	2
177	и вообще	11	2
178	мир для	1	2
179	на них	1	2
180	с этим	3	2
181	к этому	2	2
182	что мы	4	2
183	желаний и	1	2
184	мы уже	2	2
185	другими словами	3	2
186	да еще	1	2
187	из этих	2	2
188	на друга	1	2
189	на основе	1	2
190	совсем не	4	2
191	а может	3	2
192	в этот	4	2
193	он не	4	2
194	с помощью	2	2
195	в частности	5	2
196	не будет	4	2
197	для меня	1	2
198	но зато	1	2
199	и вся	1	2
200	всей жизни	1	2
201	всех других	1	2
202	в науке	2	2
203	за пределы	1	2
204	в начале	6	2
205	в мир	3	2
206	так же	7	2
207	цели и	1	2
208	и всех	2	2
209	друг на	1	2
210	этой теории	1	2
211	было бы	12	2
212	к ним	3	2
213	нет и	3	2
214	и о	9	2
215	своей жизни	1	2
216	если мы	2	2
217	что на	1	2
218	о том	17	2
219	в голову	1	2
220	от матери	2	2
221	во всей	1	2
222	момент в	1	2
223	один из	2	2
224	и по	2	2
225	с ним	4	2
226	нет никаких	1	2
227	но это	7	2
228	в глубину	1	2
229	и для	11	2
230	для этого	2	2
231	того же	7	2
232	понятия и	2	2
233	то же	6	2
234	никогда не	7	2
235	быть даже	1	1
236	о смерти	1	1
237	что было	1	1
238	жизни но	1	1
239	науки о	1	1
240	его состав	1	1
241	во всем	5	1
242	бы то	4	1
243	об их	1	1
244	по мнению	3	1
245	от нее	2	1
246	представляет себе	1	1
247	что они	4	1
248	философии и	1	1
249	в любви	1	1
250	и то	6	1
251	в другой	1	1
252	заметим что	4	1
253	не нашел	2	1
254	своей первой	1	1
255	в единую	1	1
256	и духовную	1	1
257	или к	4	1
258	а другие	1	1
259	но никогда	1	1
260	в более	1	1
261	которая была	2	1
262	человек был	1	1
263	и здесь	1	1
264	мы и	2	1
265	этот мир	3	1
266	его мнению	1	1
267	а наоборот	2	1
268	только те	1	1
269	же и	2	1
270	в коем	3	1
271	не сознавая	1	1
272	данном случае	5	1
273	только что	2	1
274	который всегда	1	1
275	и дать	2	1
276	с одной	5	1
277	все люди	1	1
278	уже в	4	1
279	ним и	1	1
280	внимание на	4	1
281	мог бы	2	1
282	тогда когда	4	1
283	сознание в	1	1
284	не чем	3	1
285	не будем	3	1
286	дело с	1	1
287	мы имеем	3	1
288	еще более	4	1
289	любовь к	1	1
290	уже здесь	1	1
291	это и	4	1
292	несмотря на	7	1
293	но именно	2	1
294	его за	2	1
295	нас здесь	1	1
296	говорит и	1	1
297	для всего	2	1
298	следует что	1	1
299	хотя и	10	1
300	этом отношении	4	1
301	с тем	7	1
302	имеем дело	1	1
303	из одних	1	1
304	в море	1	1
305	в сущности	1	1
306	только не	1	1
307	никакому сомнению	1	1
308	как раз	7	1
309	тон и	1	1
310	говорит о	9	1
311	день и	1	1
312	что только	3	1
313	в качестве	9	1
314	задолго до	1	1
315	в году	9	1
316	в полном	1	1
317	в человеке	1	1
318	нас в	5	1
319	но увы	1	1
320	у нас	17	1
321	здесь в	7	1
322	для них	3	1
323	и делает	2	1
324	в виду	3	1
325	я не	3	1
326	это именно	1	1
327	творчество как	1	1
328	весь мир	1	1
329	можно было	4	1
330	господствует в	1	1
331	отвлечься от	2	1
332	власти и	2	1
333	виде оно	1	1
334	в самые	1	1
335	работы и	1	1
336	творчества и	1	1
337	ведь это	1	1
338	как они	1	1
339	в своих	3	1
340	борьбу с	3	1
341	является и	2	1
342	или прямо	1	1
343	связи с	11	1
344	не ясно	1	1
345	обработке и	1	1
346	этой точки	2	1
347	представляет собою	3	1
348	если бы	2	1
349	конечно и	1	1
350	столь же	1	1
351	так было	1	1
352	в конкретной	1	1
353	а во-вторых	1	1
354	пути и	1	1
355	в свои	2	1
356	и сам	5	1
357	от своего	1	1
358	пока только	1	1
359	имеет значение	1	1
360	с ней	3	1
361	и можно	6	1
362	жизнь в	3	1
363	что его	4	1
364	на волю	1	1
365	в сознании	3	1
366	но эта	2	1
367	это мы	2	1
368	любовь и	3	1
369	дело в	4	1
370	и начинается	1	1
371	что угодно	1	1
372	но не	12	1
373	в ходу	1	1
374	форму и	2	1
375	быть только	6	1
376	как его	1	1
377	в эпоху	5	1
378	гармонии в	1	1
379	а то	2	1
380	времени и	1	1
381	в конце	10	1
382	ясно из	1	1
383	общем можно	1	1
384	случае не	2	1
385	в корне	2	1
386	в сновидениях	1	1
387	случае нельзя	1	1
388	в связи	11	1
389	сознавая этого	1	1
390	зависит от	1	1
391	и они	3	1
392	случае только	1	1
393	не подлежит	1	1
394	поведения и	1	1
395	что по	1	1
396	страха и	2	1
397	душу и	1	1
398	в порядке	1	1
399	с теми	3	1
400	чем иным	3	1
401	в мире	1	1
402	все же	12	1
403	даже тогда	1	1
404	художественных образов	3	1
405	обречены на	1	1
406	жизни в	7	1
407	почти во	1	1
408	том смысле	2	1
409	не что	3	1
410	перейти к	3	1
411	в следующем	1	1
412	науки в	1	1
413	как ее	1	1
414	от этого	4	1
415	на все	1	1
416	не имеет	3	1
417	и со	1	1
418	остановимся на	2	1
419	и жизнь	1	1
420	или что	1	1
421	них мы	1	1
422	века в	1	1
423	привели бы	1	1
424	его жизни	1	1
425	выше мы	1	1
426	по его	2	1
427	эти основные	1	1
428	и мало	1	1
429	это было	2	1
430	со стороны	1	1
431	идеи и	1	1
432	на его	4	1
433	человеческое сознание	1	1
434	мы считаем	1	1
435	в смысле	8	1
436	свой основной	1	1
437	выводы в	1	1
438	творчества эти	1	1
439	но особенно	1	1
440	говорит об	1	1
441	и по-своему	1	1
442	вовсе не	18	1
443	будет только	1	1
444	но к	2	1
445	уже не	12	1
446	основные тенденции	1	1
447	умру я	1	1
448	к тому	7	1
449	это самое	1	1
450	успехом в	1	1
451	в буржуазной	2	1
452	не входит	2	1
453	жизни мы	1	1
454	всем его	1	1
455	на одном	2	1
456	которые были	2	1
457	а для	1	1
458	не был	1	1
459	той или	5	1
460	а вместе	2	1
461	однако не	2	1
462	а потом	4	1
463	первый взгляд	1	1
464	этот мотив	4	1
465	и отсюда	1	1
466	что эти	1	1
467	сам же	4	1
468	его мать	1	1
469	без всякой	1	1
470	нет ничего	3	1
471	не давая	1	1
472	абсолютного духа	1	1
473	достаточно для	1	1
474	наконец и	1	1
475	сказали бы	1	1
476	человека в	3	1
477	он был	5	1
478	для его	1	1
479	а с	4	1
480	в данном	6	1
481	и быть	1	1
482	только путем	1	1
483	вопрос о	2	1
484	каких бы	1	1
485	себе все	2	1
486	имеет очень	1	1
487	как акт	2	1
488	с первым	1	1
489	об ее	1	1
490	работы но	1	1
491	мы увидим	1	1
492	отсюда и	1	1
493	его теле	1	1
494	даже и	11	1
495	то и	7	1
496	оно едва	1	1
497	она не	1	1
498	с нами	1	1
499	образ не	1	1
500	в свою	4	1
501	входит в	1	1
502	даже самое	1	1
503	и почти	1	1
504	его не	3	1
505	но даже	6	1
506	того чтобы	3	1
507	себе но	2	1
508	одной стороны	5	1
509	и ни	4	1
510	очень близко	1	1
511	почти исключительно	1	1
512	ничто не	1	1
513	здесь только	1	1
514	в другом	6	1
515	то ни	4	1
516	уже у	6	1
517	для того	4	1
518	в каких	3	1
519	это только	1	1
520	но всегда	2	1
521	ли будет	1	1
522	в ней	4	1
523	а сын	1	1
524	у меня	2	1
525	человека как	1	1
526	что представляет	2	1
527	в борьбу	1	1
528	не всегда	5	1
529	значение и	2	1
530	общего не	1	1
531	пусть в	2	1
532	резкое и	1	1
533	когда он	3	1
534	на чем	1	1
535	что если	1	1
536	а не	7	1
537	и стали	1	1
538	имеем в	1	1
539	в которую	1	1
540	только одним	1	1
541	всего как	1	1
542	хотя в	1	1
543	и что	9	1
544	как он	2	1
545	и об	2	1
546	же что	1	1
547	для человека	2	1
548	отношений между	1	1
549	других людей	1	1
550	так чтобы	1	1
551	в истинном	1	1
552	в нашей	3	1
553	еще в	6	1
554	на другой	1	1
555	и жизни	2	1
556	уже и	4	1
557	цель которых	1	1
558	можно ли	2	1
559	не место	1	1
560	добраться до	1	1
561	от того	1	1
562	местах и	1	1
563	осталось и	1	1
564	даже с	1	1
565	и общества	1	1
566	человека и	4	1
567	на всю	1	1
568	более механического	1	1
569	всей его	1	1
570	мы здесь	2	1
571	входить в	3	1
572	в землю	1	1
573	или наконец	1	1
574	на это	2	1
575	с другой	8	1
576	на которые	1	1
577	нем и	2	1
578	свое отношение	1	1
579	ничего общего	6	1
580	я в	4	1
581	истории и	1	1
582	как на	1	1
583	его интересует	1	1
584	вторая часть	3	1
585	же самое	2	1
586	знает все	1	1
587	что здесь	8	1
588	в эту	1	1
589	золотого века	1	1
590	без всякого	3	1
591	заметить что	1	1
592	под ним	1	1
593	наконец что	1	1
594	всех областях	1	1
595	ее не	1	1
596	однако в	4	1
597	общего с	2	1
598	году в	1	1
599	что для	2	1
600	главным образом	1	1
601	и самого	3	1
602	для всей	1	1
603	друг другу	1	1
604	только одна	1	1
605	своем месте	1	1
606	которые в	3	1
607	часто и	1	1
608	что я	1	1
609	что может	1	1
610	в нашем	5	1
611	с этими	1	1
612	под названием	5	1
613	только при	1	1
614	действительно не	1	1
615	мы сейчас	3	1
616	с которым	2	1
617	все время	5	1
618	в духе	4	1
619	или иной	4	1
620	же в	4	1
621	что она	2	1
622	в атмосфере	2	1
623	не сразу	1	1
624	и прежде	2	1
625	себя с	1	1
626	говорить об	1	1
627	иной раз	4	1
628	любви к	2	1
629	иным как	3	1
630	же мы	1	1
631	искусства в	2	1
632	в период	4	1
633	право на	1	1
634	наконец все	1	1
635	этот момент	1	1
636	бы ни	1	1
637	по поводу	2	1
638	на место	1	1
639	его к	2	1
640	их на	1	1
641	всем мире	2	1
642	были в	1	1
643	для достижения	1	1
644	коем случае	3	1
645	сказать о	2	1
646	это просто	2	1
647	силы с	1	1
648	это в	2	1
649	это уже	4	1
650	к этим	1	1
651	ему это	1	1
652	который только	1	1
653	что иное	3	1
654	жизни таким	1	1
655	мы должны	1	1
656	из него	1	1
657	но так	2	1
658	не случайно	1	1
659	до времени	1	1
660	чем это	1	1
661	в м	2	1
662	работе мы	2	1
663	тот же	6	1
664	вообще нет	2	1
665	ничего не	3	1
666	на путях	2	1
667	было с	1	1
668	иное как	3	1
669	и самый	1	1
670	на пользу	1	1
671	человека но	2	1
672	из этой	1	1
673	к нему	3	1
