N	2gram	Losev_Vesc	Sovremen
1	не может	44	17
2	может быть	37	12
3	точки зрения	10	12
4	таким образом	16	11
5	мы не	8	9
6	в этом	17	7
7	и в	44	7
8	не можем	3	7
9	мы можем	4	6
10	в результате	9	6
11	только одна	1	6
12	как и	15	6
13	ничего не	12	6
14	и не	57	6
15	с точки	6	5
16	прежде всего	17	5
17	что же	17	5
18	все эти	5	5
19	и наконец	1	5
20	в дальнейшем	1	4
21	а в	6	4
22	так как	17	4
23	вопрос о	6	4
24	это не	9	4
25	не только	48	4
26	мы должны	5	4
27	как бы	19	4
28	нет и	4	4
29	если мы	12	4
30	в зависимости	1	4
31	их в	6	4
32	жизни и	6	4
33	вместе с	4	4
34	в целом	3	4
35	же это	5	4
36	в том	15	4
37	зависимости от	1	4
38	из них	7	4
39	мы видели	3	4
40	и к	1	3
41	и потому	8	3
42	видели что	3	3
43	на этой	2	3
44	и мы	5	3
45	с самого	1	3
46	когда мы	6	3
47	уже в	2	3
48	то же	12	3
49	при этом	1	3
50	мы получаем	1	3
51	не в	14	3
52	а не	34	3
53	в системе	1	3
54	для нас	2	3
55	все это	7	3
56	мы получим	3	3
57	как он	2	3
58	в одном	6	3
59	к действию	1	3
60	у нас	9	3
61	в конце	3	3
62	ведь это	1	3
63	было бы	24	3
64	в первом	2	3
65	ли мы	2	3
66	у всех	3	3
67	в этой	4	3
68	из двух	1	3
69	и все	6	3
70	на две	2	3
71	в себе	23	3
72	ясно что	10	3
73	что она	23	3
74	одна из	6	3
75	состоит из	3	3
76	все же	18	3
77	может не	4	3
78	отличается от	8	3
79	между собой	2	3
80	отнюдь не	8	3
81	в нем	6	3
82	но мы	1	3
83	но в	8	3
84	еще не	12	3
85	с этим	4	2
86	о принципиальной	1	2
87	что в	11	2
88	этих двух	2	2
89	тем не	11	2
90	в самом	13	2
91	совершенно не	11	2
92	мы видим	5	2
93	значение в	1	2
94	и что	22	2
95	отличие от	1	2
96	друг с	2	2
97	ее на	2	2
98	и пр	10	2
99	то и	7	2
100	о значении	2	2
101	самый вопрос	2	2
102	с одной	3	2
103	теперь же	2	2
104	принципиально не	3	2
105	в отличие	1	2
106	в свою	5	2
107	из этих	1	2
108	в его	5	2
109	во всяком	4	2
110	мы знаем	1	2
111	не дает	1	2
112	еще более	4	2
113	можно назвать	1	2
114	то ни	13	2
115	только так	1	2
116	с совершенно	1	2
117	что это	18	2
118	быть и	5	2
119	в некоторых	1	2
120	только одну	1	2
121	из которых	3	2
122	только один	3	2
123	что такое	20	2
124	если же	5	2
125	говорить о	9	2
126	в науке	3	2
127	все те	1	2
128	конечно в	1	2
129	в живом	1	2
130	в третьем	1	2
131	на их	2	2
132	у него	3	2
133	для его	2	2
134	не могут	1	2
135	в виде	3	2
136	со всеми	1	2
137	а на	1	2
138	свою очередь	5	2
139	и даже	12	2
140	самом деле	7	2
141	в которой	5	2
142	но все	3	2
143	к чему	2	2
144	же самое	1	2
145	ли оно	2	2
146	тот или	1	2
147	возможность и	1	2
148	как мы	6	2
149	она может	4	2
150	тем же	2	2
151	и во	3	2
152	той же	2	2
153	теперь необходимо	1	2
154	могут быть	1	2
155	и будет	1	2
156	в таком	1	2
157	уже не	15	2
158	не знаем	2	2
159	и есть	40	2
160	и они	2	2
161	что все	2	2
162	научного исследования	1	2
163	или иной	1	2
164	на этот	1	2
165	говорить об	2	2
166	специальных вопросов	1	2
167	на этом	4	2
168	не менее	11	2
169	же мы	2	2
170	этой стадии	1	2
171	приводит к	2	2
172	и по	1	2
173	времени и	1	2
174	в и	4	2
175	на котором	1	2
176	форма в	1	2
177	с другом	2	2
178	свою собственную	1	2
179	в один	1	2
180	на другом	1	2
181	тот же	4	2
182	жизни мы	2	2
183	всяком случае	2	2
184	он должен	1	2
185	данной области	2	1
186	же просто	1	1
187	во всех	5	1
188	только одно	2	1
189	живом организме	1	1
190	готовыми и	1	1
191	бы то	12	1
192	та самая	2	1
193	они все	1	1
194	к которому	1	1
195	именно к	1	1
196	это и	12	1
197	его и	4	1
198	этом случае	1	1
199	реагирует на	1	1
200	в свое	2	1
201	необходимо сказать	1	1
202	и составляет	1	1
203	только не	5	1
204	но можно	3	1
205	а потому	2	1
206	во втором	2	1
207	то он	2	1
208	и все-таки	1	1
209	человека в	1	1
210	но как	3	1
211	то они	1	1
212	чем же	5	1
213	не является	3	1
214	одну определенную	1	1
215	из многих	1	1
216	в данном	6	1
217	это конечно	1	1
218	до сих	1	1
219	только к	2	1
220	этот свой	1	1
221	бы к	2	1
222	какая-нибудь другая	1	1
223	еще раз	1	1
224	и более	4	1
225	угодно и	2	1
226	та же	1	1
227	по преимуществу	2	1
228	же они	3	1
229	и иначе	1	1
230	в действительности	7	1
231	в любом	1	1
232	действия в	1	1
233	от его	2	1
234	есть такой	1	1
235	что иное	12	1
236	от неживого	1	1
237	деталях и	1	1
238	видим что	2	1
239	данном случае	2	1
240	может ведь	1	1
241	в очень	1	1
242	время из	1	1
243	ли это	9	1
244	не имеют	1	1
245	помним что	1	1
246	связи с	1	1
247	раз и	2	1
248	и такие-то	1	1
249	если в	1	1
250	и эту	2	1
251	на язык	3	1
252	указать на	1	1
253	должно быть	8	1
254	мы уже	3	1
255	мы получили	3	1
256	почти не	1	1
257	с и	1	1
258	случае и	1	1
259	для ее	2	1
260	назвать ее	1	1
261	его с	1	1
262	идет о	1	1
263	а ту	1	1
264	она не	9	1
265	в течение	1	1
266	на ее	3	1
267	но еще	3	1
268	ним и	1	1
269	ровно ничего	1	1
270	что уже	1	1
271	одной стороны	3	1
272	и ни	3	1
273	этот метод	3	1
274	рассмотрение и	1	1
275	ничто не	2	1
276	мы имеем	8	1
277	и у	4	1
278	быть в	1	1
279	если у	1	1
280	и речи	1	1
281	в другом	3	1
282	конечно для	1	1
283	совсем не	2	1
284	несмотря на	6	1
285	это только	2	1
286	том как	4	1
287	не быть	4	1
288	в ней	14	1
289	из всех	1	1
290	ни было	12	1
291	уже к	1	1
292	что эта	2	1
293	мы опять	1	1
294	самому своему	1	1
295	отвлекаясь от	1	1
296	это значит	30	1
297	науки совершенно	1	1
298	хотя и	5	1
299	можем иметь	3	1
300	с другой	8	1
301	и тогда	7	1
302	а это	5	1
303	с ним	8	1
304	этот третий	1	1
305	она уже	3	1
306	это уже	2	1
307	он не	4	1
308	кроме того	5	1
309	мы без	1	1
310	они принципиально	1	1
311	раз мы	1	1
312	же необходимо	1	1
313	раз она	2	1
314	себя самого	4	1
315	когда этот	1	1
316	никакому сомнению	1	1
317	одной и	1	1
318	совершенно достаточно	1	1
319	какой бы	1	1
320	нужно взять	1	1
321	не будет	13	1
322	ни другое	1	1
323	что с	1	1
324	между двумя	1	1
325	те или	5	1
326	а затем	2	1
327	мы в	1	1
328	и вся	1	1
329	эта сторона	1	1
330	поэтому в	2	1
331	только на	3	1
332	но они	2	1
333	в отдельном	1	1
334	и их	11	1
335	или иные	1	1
336	и всегда	1	1
337	бы так	1	1
338	что явления	2	1
339	нужно сказать	2	1
340	остановиться на	3	1
341	все что	3	1
342	не приходится	1	1
343	и та	2	1
344	для своего	1	1
345	если нет	1	1
346	можем ли	1	1
347	совершенно невозможно	2	1
348	это или	1	1
349	на самом	1	1
350	одному и	1	1
351	только тот	1	1
352	что каждый	1	1
353	эта система	1	1
