N	4gram	Trubetskoy	Formalny
1	в то же время	2	20
2	и не может быть	1	7
3	бы то ни было	3	7
4	нет и не может	1	4
5	мы уже знаем что	1	3
6	вместе с тем и	1	3
7	в том числе и	1	3
8	с этой точки зрения	1	2
9	и до сих пор	1	2
10	что в данном случае	1	2
11	что же касается до	2	2
12	в самом деле ведь	1	2
13	может быть и не	1	2
14	не говоря уже о	1	2
15	и с точки зрения	1	2
16	не в том что	1	2
17	в том или ином	1	2
18	не только с точки	1	1
19	в том случае если	4	1
20	в широком смысле слова	1	1
21	одно и то же	1	1
22	и ко всем вообще	1	1
23	каких бы то ни	1	1
24	дело в том что	1	1
25	только в том случае	1	1
26	мы уже говорили что	1	1
27	но и помимо этого	1	1
28	одной и той же	1	1
29	в том что они	1	1
30	так и для другой	1	1
31	тем не менее в	1	1
32	только в этом случае	1	1
33	той так и для	1	1
34	только с точки зрения	1	1
35	но и с точки	1	1
36	как для той так	1	1
37	и так или иначе	1	1
38	одного и того же	3	1
39	между этими двумя крайними	1	1
40	лишь в том случае	2	1
41	но вместе с тем	2	1
42	в каждый данный момент	3	1
43	но и ко всем	1	1
44	для той так и	1	1
45	и в конце концов	1	1
46	о которых идет речь	3	1
47	и в том же	1	1
48	с точки зрения одной	1	1
49	и для другой стороны	1	1
