N	3gram	Losev_Vesc	Myshleni
1	в том что	9	133
2	с точки зрения	6	89
3	для того чтобы	2	78
4	заключается в том	3	51
5	по сравнению с	7	45
6	так же как	2	39
7	с одной стороны	3	39
8	друг с другом	2	35
9	то же самое	1	31
10	в этом отношении	2	30
11	можно было бы	3	28
12	в этом случае	1	27
13	в собственном смысле	3	26
14	вместе с тем	3	26
15	с другой стороны	3	26
16	на то что	7	25
17	о том что	4	25
18	не может быть	22	23
19	смысле этого слова	1	22
20	в то время	4	22
21	к тому что	2	22
22	в зависимости от	1	22
23	не только не	4	21
24	можно сказать что	3	21
25	то время как	4	20
26	в самом деле	7	19
27	из того что	3	19
28	во всяком случае	2	18
29	в этом смысле	2	18
30	до сих пор	1	17
31	и того же	1	17
32	этой точки зрения	3	17
33	в связи с	1	17
34	одного и того	1	17
35	с этой точки	3	16
36	бы сказать что	2	15
37	и то что	5	15
38	в данном случае	2	15
39	потому что он	1	14
40	мы видели что	3	14
41	в свою очередь	5	14
42	подобно тому как	5	14
43	это значит что	25	13
44	то и другое	6	13
45	и то же	5	12
46	таким образом что	1	12
47	в том чтобы	2	12
48	один и тот	1	12
49	и тот же	1	12
50	тем не менее	11	12
51	на первый план	1	12
52	одно и то	5	12
53	видим таким образом	1	11
54	мы не можем	3	11
55	то обстоятельство что	1	11
56	только тогда когда	2	11
57	мы видим таким	1	11
58	одной стороны и	1	10
59	не иначе как	1	10
60	то что в	1	10
61	от того что	4	10
62	по своей природе	1	10
63	в самом начале	1	10
64	вместо того чтобы	1	10
65	не в состоянии	1	10
66	все что мы	1	10
67	так как она	1	9
68	сама по себе	7	9
69	ни в какой	1	9
70	с тем что	1	9
71	на вопрос о	1	9
72	более или менее	4	9
73	том что он	2	9
74	само по себе	4	9
75	то что он	2	8
76	только в том	1	8
77	сам по себе	4	8
78	речь идет о	1	8
79	к одному и	1	8
80	независимо от того	1	8
81	что он не	1	8
82	вопрос об отношении	1	8
83	что и в	1	8
84	о том как	4	7
85	то в чем	1	7
