N	4gram	Bakhtin_Pr	PoTuStor
1	и в этом смысле	2	2
2	и в высшей степени	1	1
3	с этой точки зрения	1	1
4	переносит центр тяжести в	1	1
5	и форму и содержание	1	1
6	было до сих пор	1	1
7	те же что и	1	1
8	бы оно ни было	1	1
9	с точки зрения сознания	1	1
10	в его целом это	1	1
11	до сих пор еще	1	1
12	мы должны перейти к	1	1
13	дело в том что	1	1
14	и быть не может	1	1
15	бы то ни было	2	1
16	говорить о том что	1	1
17	так же как и	3	1
18	мы имеем в виду	2	1
19	теперь мы должны перейти	1	1
20	во всяком случае не	1	1
21	мы можем сказать что	2	1
22	совершенно так же как	2	1
23	одного и того же	1	1
24	но несмотря на это	1	1
