N	4gram	Vygotskiy_	Morfolog
1	состоит в том что	3	3
2	в то время как	4	3
3	в собственном смысле слова	4	3
4	связи функций между собой	1	2
5	бы то ни было	1	2
6	которые хотя и не	1	2
7	друг к другу и	1	2
8	в тех случаях когда	1	2
9	говорить о том что	1	2
10	дело не в количестве	1	2
11	с этой точки зрения	1	1
12	или во всяком случае	2	1
13	если это так то	1	1
14	в коем случае не	1	1
15	в том что он	1	1
16	указанием на то что	1	1
17	вопрос о том как	1	1
18	одно и то же	2	1
19	лишь постольку поскольку это	1	1
20	все более и более	3	1
21	в то же время	1	1
22	какого бы то ни	1	1
23	один и тот же	1	1
24	мы видим таким образом	4	1
25	приводит к тому что	1	1
26	а для того чтобы	1	1
27	ни в коем случае	1	1
28	по отношению к которой	1	1
29	видим таким образом что	3	1
