N	4gram	Voloshinov	EvropaiC
1	до сих пор не	1	5
2	заключается в том что	2	3
3	бы то ни было	2	3
4	в то же время	6	2
5	о которой мы говорили	1	2
6	в более позднее время	1	1
7	в целом ряде других	1	1
8	что в данном случае	1	1
9	только с точки зрения	1	1
10	мы уже знаем что	1	1
11	который как мы видели	1	1
12	которой мы говорили выше	1	1
13	в том что он	2	1
14	одно и то же	1	1
15	каких бы то ни	1	1
16	с точки зрения настоящего	1	1
17	но мы знаем что	2	1
18	дело в том что	1	1
19	и не может быть	3	1
20	в основе их лежит	1	1
21	то направление в котором	1	1
22	к которой он принадлежит	1	1
23	и в голову не	1	1
24	потому не может служить	1	1
25	нет и не может	2	1
26	одной и той же	3	1
27	в самом деле ведь	1	1
28	но именно в этой	1	1
29	в самом деле если	1	1
30	а может быть и	1	1
