N	4gram	Potebnia_M	StatiiOP
1	дело в том что	3	9
2	в то же время	3	9
3	заключается в том что	1	6
4	в то время как	1	5
5	в том что здесь	1	4
6	на то что в	1	4
7	той мере в какой	1	3
8	в том смысле что	2	3
9	в той мере в	1	3
10	во всяком случае не	1	3
11	не говоря уже о	1	3
12	не имеет ничего общего	1	3
13	в том что он	1	3
14	имеет ничего общего с	1	3
15	уже о том что	1	2
16	что не может быть	1	2
17	и т д и	1	2
18	но с другой стороны	2	2
19	все более и более	2	2
20	бы то ни было	1	2
21	и в этом смысле	3	2
22	не в том что	3	2
23	и в этом отношении	1	2
24	и в том что	1	1
25	и в том и	1	1
26	том виде в каком	1	1
27	во что бы то	1	1
28	само по себе не	1	1
29	в том смысле как	1	1
30	и сами по себе	3	1
31	языка не может быть	1	1
32	но даже и в	1	1
33	не только потому что	1	1
34	говоря уже о том	1	1
35	в том смысле в	4	1
36	и т д в	1	1
37	с тем что мы	1	1
38	только тем что в	1	1
39	с этой точки зрения	1	1
40	что бы то ни	1	1
41	к первому из этих	1	1
42	в словах того же	1	1
43	тем не менее в	2	1
44	бы они ни были	2	1
45	в том что именно	1	1
46	только в том что	5	1
47	не только в том	1	1
48	по его словам есть	1	1
49	мы до сих пор	1	1
50	явления до сих пор	1	1
51	потому что не может	1	1
52	в том и другом	2	1
53	одной и той же	3	1
54	но это не так	1	1
55	показать что и в	1	1
56	и та и другая	1	1
57	с другой стороны и	1	1
58	то же время не	1	1
59	ни для кого не	2	1
60	но дело в том	2	1
61	бы то ни стало	1	1
62	том смысле в каком	4	1
63	не в том смысле	2	1
64	тем не менее и	1	1
65	в том виде в	1	1
66	в каждом из этих	1	1
67	а не в том	1	1
68	указание на то что	1	1
69	по мере того как	6	1
70	точно так же как	1	1
71	д и т д	1	1
