N	3gram	Tiupa_Anal	Formalny
1	с точки зрения	6	40
2	не может быть	17	29
3	то же время	7	20
4	в то же	9	20
5	и т п	3	18
6	в связи с	2	16
7	во всяком случае	1	16
8	по отношению к	9	12
9	в самом деле	3	11
10	в этом отношении	5	11
11	бы то ни	3	10
12	в зависимости от	1	10
13	с другой стороны	2	9
14	и не может	4	9
15	для того чтобы	3	8
16	до сих пор	1	8
17	вместе с тем	1	8
18	с одной стороны	6	8
19	в применении к	1	7
20	более или менее	2	7
21	того или иного	3	7
22	сами по себе	3	7
23	то ни было	3	7
24	в свою очередь	1	7
25	а вовсе не	1	7
26	и в этом	4	7
27	в том что	13	6
28	сам по себе	1	6
29	в данном случае	3	6
30	не только не	2	6
31	в художественном произведении	1	6
32	смысле этого слова	1	6
33	в этом смысле	3	5
34	одни и те	2	5
35	в отличие от	8	5
36	к тому что	2	5
37	все без исключения	1	5
38	в значительной степени	1	5
39	до известной степени	1	5
40	и те же	2	5
41	прежде всего в	2	5
42	и не в	4	4
43	химическом соединении с	1	4
44	в той же	1	4
45	тем не менее	3	4
46	не в том	3	4
47	не могут быть	2	4
48	как раз и	2	4
49	а не в	3	4
50	в химическом соединении	1	4
51	но и в	3	4
52	подобно тому как	5	4
53	и не могут	1	4
54	нет и не	2	4
55	по аналогии с	1	4
56	сама по себе	1	4
57	из виду что	1	3
58	на этом фоне	1	3
59	и тот же	2	3
60	то или иное	1	3
61	в том числе	3	3
62	так или иначе	1	3
63	друг с другом	2	3
64	не только на	1	3
65	не сводится к	2	3
66	том числе и	1	3
67	то же самое	3	3
68	самом же деле	1	3
69	на самом же	1	3
70	науки о литературе	2	3
71	равно как и	1	3
72	в том смысле	1	3
73	в том чтобы	7	3
74	один и тот	1	3
75	в литературном произведении	2	3
76	во всех своих	1	3
77	и в частности	1	3
78	то и другое	1	3
79	в самом произведении	1	3
80	в противном случае	1	3
81	но в то	2	3
82	как мы увидим	1	3
83	с установкой на	1	3
84	что же касается	1	3
85	мере в какой	2	2
86	соединении с художественной	1	2
87	литературное произведение в	1	2
88	о том как	1	2
89	том смысле что	1	2
90	в той мере	2	2
91	отнюдь не является	1	2
92	том что искусство	1	2
93	в собственном смысле	1	2
94	между которыми располагается	1	2
95	одной из своих	1	2
96	хотя бы и	1	2
97	говоря уже о	1	2
98	с этой точки	2	2
99	произведение в его	1	2
100	не совпадает с	1	2
101	произведения так и	1	2
102	в том случае	1	2
103	в такой же	1	2
104	в отношении к	1	2
105	в его художественной	1	2
106	между тем как	2	2
107	тех или иных	3	2
108	и тем самым	2	2
109	те же слова	1	2
110	в том или	3	2
111	не было и	1	2
112	той мере в	2	2
113	как если бы	1	2
114	иметь место в	1	2
115	в таком случае	5	2
116	творчества и восприятия	1	2
117	из того что	3	2
118	в широком смысле	2	2
119	и все же	2	2
120	именно в этом	2	2
121	и тем же	1	2
122	это не так	1	2
123	как это было	1	2
124	говорить не приходится	1	2
125	так и не	5	2
126	один из возможных	1	2
127	имеем в виду	1	2
128	в процессе его	1	2
129	этой точки зрения	2	2
130	том или ином	4	2
131	и нисколько не	1	2
132	как и в	2	2
133	какой бы то	2	2
134	как один из	1	2
135	по себе в	1	2
136	на этот вопрос	1	2
137	не говоря уже	1	2
138	со всех сторон	1	2
139	еще в самом	1	2
140	в какой это	1	2
141	одним и тем	1	2
142	в отрыве от	2	2
