N	3gram	Propp_Russ	Myslijsy
1	в том что	27	47
2	по отношению к	1	26
3	не может быть	1	19
4	тем не менее	3	18
5	только тогда когда	3	17
6	и т д	12	15
7	там же с	1	15
8	в свою очередь	2	14
9	а между тем	1	13
10	более или менее	1	12
11	и в этом	2	12
12	во всяком случае	1	12
13	для того чтобы	6	11
14	и т п	1	11
15	подобно тому как	3	11
16	в то время	3	10
17	но тем не	2	10
18	с одной стороны	1	10
19	потому что в	1	9
20	в таком случае	1	9
21	одного и того	1	9
22	и того же	1	9
23	на то что	2	9
24	но и в	1	9
25	о том что	6	9
26	мы не можем	5	9
27	что и в	1	9
28	вместе с тем	10	8
29	на самом деле	1	8
30	только потому что	1	8
31	в этом случае	9	8
32	с тем что	1	8
33	можно думать что	1	7
34	и в том	2	7
35	с точки зрения	3	7
36	как и в	1	7
37	можно сказать что	1	7
38	не только в	1	7
39	и как бы	1	6
40	после того как	3	6
41	может быть назван	1	5
42	тем и другим	1	5
43	с тем и	3	5
44	и таким образом	1	5
45	к тому что	4	5
46	не только по	2	5
47	в одно целое	1	5
48	то что в	1	5
49	таким образом в	1	5
50	мы видели что	1	4
51	в том же	1	4
52	но и по	1	4
53	и в таком	1	4
54	в собственном смысле	1	4
55	по его мнению	1	4
56	в данном случае	7	4
57	быть не может	1	4
58	в том чтобы	2	4
59	что не только	1	4
60	на этот вопрос	1	4
61	в противном случае	1	4
62	не что иное	3	4
63	так что в	1	4
64	и то и	1	4
65	не более как	1	4
66	что иное как	3	4
67	в этом отношении	1	4
68	вопрос о том	1	4
69	то время как	1	4
70	точно так же	1	3
71	в одном и	1	3
72	в применении к	1	3
73	в большинстве случаев	2	3
74	связи с другими	1	3
75	это не значит	2	3
76	ничего общего с	1	3
77	можно заключить что	1	3
78	и том же	1	3
79	во многих случаях	4	3
80	потому что всякое	1	3
81	потому что на	1	3
82	в связи с	4	3
83	одном и том	1	3
84	но это не	3	3
85	но так как	1	3
86	в одном из	1	3
87	из того что	1	3
88	потому что он	2	3
89	можно было бы	2	3
90	в таком виде	2	3
91	на первый взгляд	1	3
92	в разное время	1	3
93	а так как	1	3
94	тогда как в	1	3
95	мы увидим что	1	3
96	а может быть	1	2
97	состоять в том	1	2
98	во многих других	1	2
99	том что это	2	2
100	но вместе с	3	2
101	по его словам	1	2
102	и многие другие	2	2
103	в г д	1	2
104	у нас в	1	2
105	вне связи с	1	2
106	на нее как	1	2
107	и все это	1	2
108	и во многих	1	2
109	на этом основании	1	2
110	но не только	1	2
111	этого слова в	1	2
112	одно из них	1	2
113	мы должны будем	2	2
114	и в других	7	2
115	отсюда видно что	1	2
116	связанные с этим	1	2
117	состоит в том	16	2
118	но все же	2	2
119	имея в виду	1	2
120	так как в	2	2
121	не без основания	1	2
122	мы можем предположить	1	2
123	в этих случаях	1	2
124	друг к другу	2	2
125	не только для	1	2
126	для нас не	2	2
127	и потому что	2	2
128	каждый из этих	2	2
129	не потому что	1	2
130	вероятно что в	1	2
131	в некоторых случаях	1	2
132	а следовательно и	1	2
133	при этом не	1	2
134	и та же	1	2
135	так же как	5	2
136	существует независимо от	1	2
137	как мы видели	1	2
138	всяком случае не	1	2
139	в связь с	1	2
140	одна и та	1	2
141	так как при	1	2
142	что в истории	1	2
143	мы должны признать	1	2
144	во всем этом	1	2
145	и не только	1	2
146	мы можем судить	1	2
147	вероятно потому что	1	1
148	имеет ничего общего	1	1
149	о котором речь	1	1
150	в ту сторону	1	1
151	это приводит к	1	1
152	на том основании	1	1
153	в других случаях	2	1
154	том что этот	2	1
155	не только потому	1	1
156	этого слова с	1	1
157	этом мы можем	1	1
158	но этого мало	1	1
159	для обозначения одного	1	1
160	во всех этих	1	1
161	не все в	1	1
162	что дело в	1	1
163	не было ни	1	1
164	один из них	3	1
165	это для нас	1	1
166	того или другого	1	1
167	тот же корень	1	1
168	ни одно из	2	1
169	до недавнего времени	1	1
170	нее как на	1	1
171	только о том	1	1
172	ни в одном	1	1
173	мы начнем с	1	1
174	главным образом из	1	1
175	потому что она	1	1
176	в значении этого	1	1
177	решить вопрос о	2	1
178	на поверхности воды	1	1
179	как мы уже	2	1
180	все что я	1	1
181	примыкает к нему	1	1
182	во многих отношениях	2	1
183	не только из	1	1
184	на доску и	1	1
185	сказать что в	1	1
186	того же явления	1	1
187	потому что по	1	1
188	именно тогда когда	1	1
189	не отличаются от	1	1
190	иметь в виду	2	1
191	как мы видим	1	1
192	но ни одна	1	1
193	легко заметить что	1	1
194	бросается в глаза	3	1
195	а к тем	1	1
196	мы однако не	1	1
197	все силы природы	1	1
198	один из основных	1	1
199	там же в	3	1
200	есть та же	1	1
201	не может считаться	1	1
202	и в нашем	1	1
203	этим объясняется почему	1	1
204	в отличие от	4	1
205	можно говорить о	1	1
206	в глаза что	1	1
207	приписывалось влияние на	1	1
208	не имеет смысла	1	1
209	предположить что в	1	1
210	замечается и в	1	1
211	и не позже	1	1
212	что именно в	1	1
213	не только на	3	1
214	так как это	2	1
215	не имеет ничего	1	1
216	также что в	1	1
217	это показывает что	4	1
218	из всего этого	1	1
219	с этим в	1	1
220	что они были	1	1
221	можно сослаться на	1	1
222	почвы на которой	1	1
223	по этому поводу	3	1
224	то увидим что	1	1
225	все же не	2	1
226	что в первый	2	1
227	который в них	1	1
228	о том чтобы	1	1
229	можно сделать из	2	1
230	в этой теории	1	1
231	имеет смысла но	1	1
232	можно найти в	1	1
233	что во время	1	1
234	и теперь еще	1	1
235	значении этого слова	1	1
236	хотя и не	1	1
237	т д и	1	1
238	обозначения одного и	1	1
239	том основании что	1	1
240	в народной поэзии	1	1
241	всего этого видно	1	1
242	такое же значение	1	1
243	покажет нам что	1	1
244	как это часто	1	1
245	слов для обозначения	1	1
246	то что и	1	1
247	следует обратить внимание	1	1
248	этого видно что	1	1
249	а вместе с	1	1
250	нечто совсем другое	1	1
251	друг с другом	1	1
252	к другому и	1	1
253	то что по	1	1
254	то же значение	1	1
255	с одним из	1	1
256	утверждает что у	1	1
257	несмотря на все	1	1
258	в это время	3	1
259	что от них	1	1
260	но и потому	1	1
261	на некоторое время	1	1
262	со старой теорией	1	1
263	что для этого	1	1
264	в настоящее время	3	1
265	здесь мы имеем	2	1
266	тем более что	1	1
267	что именно эти	1	1
268	же значение как	1	1
269	в нашем сознании	1	1
270	что в некоторых	1	1
271	все следующие за	1	1
272	в древнерусском языке	1	1
273	с а а	1	1
274	в природе растение	1	1
275	а нечто совсем	1	1
276	на ней в	1	1
277	же значение что	1	1
278	кроме того в	3	1
279	то есть когда	1	1
280	что мы имеем	1	1
281	это не что	1	1
282	об этом можно	1	1
283	тому как в	1	1
284	и должны служить	1	1
285	следует представлять себе	1	1
286	ни с одним	1	1
287	те или другие	1	1
288	с места и	1	1
289	человека там же	1	1
290	можем судить по	1	1
291	в них в	1	1
292	же как и	3	1
293	так и из	1	1
294	можем предположить что	1	1
295	это не объясняет	1	1
296	по меньшей мере	1	1
297	что их не	1	1
298	во второй половине	1	1
299	такой взгляд на	1	1
300	этот вопрос можно	1	1
301	что его окружает	1	1
302	привело к тому	2	1
303	видели в ней	1	1
304	в чем именно	1	1
305	не принадлежат к	1	1
306	встречаются и в	1	1
307	выводы можно сделать	2	1
308	с этим связано	1	1
309	потому что они	1	1
310	в виду что	2	1
311	и связанные с	2	1
312	том что ее	1	1
313	может быть и	3	1
