N	2gram	Losev_Vesc	TeoriaLi
1	в качестве	4	33
2	– это	4	33
3	не только	48	24
4	и в	44	24
5	в частности	3	23
6	то есть	2	22
7	может быть	37	22
8	при этом	1	20
9	– в	13	20
10	в том	15	20
11	тогда как	3	18
12	я в	3	18
13	и не	57	17
14	а в	6	15
15	но и	19	14
16	а не	34	14
17	так и	4	14
18	в себе	23	14
19	но не	9	13
20	в этом	17	12
21	сводится к	4	12
22	но в	8	12
23	в его	5	12
24	то же	12	12
25	том что	13	11
26	точки зрения	10	11
27	и его	4	11
28	что в	11	10
29	как это	4	10
30	лишь в	1	10
31	только в	23	9
32	в данном	6	9
33	с другой	8	9
34	не в	14	9
35	в то	11	9
36	в своей	6	8
37	же время	4	8
38	как бы	19	8
39	– с	2	8
40	по своей	3	8
41	не может	44	8
42	в самом	13	7
43	в принципе	1	7
44	не столько	2	7
45	или иной	1	7
46	в отличие	1	7
47	в своем	9	7
48	себя в	11	7
49	мы имеем	8	7
50	а также	1	7
51	отличие от	1	7
52	отношение к	4	7
53	однако в	3	7
54	в нем	6	7
55	другой стороны	3	6
56	более или	4	6
57	как и	15	6
58	не менее	11	6
59	приводит к	2	6
60	еще не	12	6
61	в основе	4	6
62	то что	47	6
63	со стороны	9	6
64	уже не	15	6
65	с его	2	6
66	в ее	8	6
67	с другими	8	6
68	или иначе	5	6
69	между ними	6	6
70	или менее	4	6
71	того или	1	6
72	тем самым	2	6
73	в первой	2	6
74	ни в	11	5
75	в виду	2	5
76	так или	5	5
77	не предполагает	4	5
78	как в	3	5
79	а а	2	5
80	можно сказать	8	5
81	не является	3	5
82	того чтобы	4	5
83	для того	3	5
84	жизни как	1	5
85	за пределами	1	5
86	на почве	6	5
87	как к	5	5
88	по преимуществу	2	5
89	данном случае	2	5
90	для него	8	5
91	а и	13	5
92	того что	16	5
93	в себя	13	5
94	он не	4	5
95	и тем	7	5
96	в пределах	1	5
97	и о	4	5
98	могут быть	1	5
99	не случайно	2	5
100	в отношении	7	4
101	не на	2	4
102	не следует	1	4
103	и сам	3	4
104	в этих	1	4
105	отношения к	3	4
106	что он	7	4
107	в слове	2	4
108	языка в	1	4
109	в другом	3	4
110	говорить о	9	4
111	отношении к	4	4
112	и а	3	4
113	сказать что	21	4
114	к тому	3	4
115	этого слова	1	4
116	никогда не	5	4
117	– на	1	4
118	и того	2	4
119	это не	9	4
120	хотя и	5	4
121	слова в	2	4
122	в их	4	4
123	его в	8	4
124	но он	2	4
125	так в	1	4
126	а только	3	4
127	личности в	1	4
128	– не	11	4
129	личности и	1	4
130	субъекта и	1	4
131	в свою	5	4
132	и что	22	4
133	далеко не	2	4
134	того же	5	4
135	одного и	1	4
136	в силу	4	4
137	с ее	10	4
138	в целом	3	4
139	и ее	19	4
140	и к	1	3
141	к действительности	2	3
142	и составляет	1	3
143	во втором	2	3
144	в таком	1	3
145	на меня	3	3
146	для себя	6	3
147	с этой	6	3
148	даже в	1	3
149	была бы	3	3
150	о чем	2	3
151	только не	5	3
152	подобно тому	5	3
153	однако при	1	3
154	если бы	8	3
155	все эти	5	3
156	а именно	1	3
157	именно в	2	3
158	в жизни	5	3
159	в порядке	1	3
160	к его	2	3
161	их в	6	3
162	– только	4	3
163	никто не	1	3
164	из которого	1	3
165	тем не	11	3
166	перед нами	3	3
167	свою очередь	5	3
168	– может	1	3
169	между собой	2	3
170	своей природе	1	3
171	в противоположность	1	3
172	потому что	25	3
173	одной стороны	3	3
174	искусства и	1	3
175	между двумя	1	3
176	или иных	2	3
177	в одном	6	3
178	вслед за	1	3
179	не обязательно	2	3
180	на две	2	3
181	мог бы	7	3
182	это отношение	1	3
183	во всей	1	3
184	не все	3	3
185	от себя	1	3
186	и внешней	1	3
187	из этих	1	3
188	и для	13	3
189	о ней	5	3
190	таким образом	16	3
191	и то	14	3
192	– все	2	3
193	мышления и	1	3
194	с одной	3	3
195	и вот	4	3
196	и потому	8	3
197	с точки	6	3
198	ни к	3	3
199	к которому	1	3
200	как раз	16	3
201	есть в	4	3
202	прежде всего	17	3
203	и –	16	3
204	а на	1	3
205	и притом	4	3
206	связи с	1	3
207	или в	3	3
208	без остатка	1	3
209	одним из	1	3
210	объекта и	1	3
211	в связи	1	3
212	и как	12	3
213	вовсе не	11	3
214	той или	3	3
215	во всех	5	3
216	а с	3	3
217	тот или	1	3
218	однако если	1	3
219	тому как	5	3
220	в которой	5	3
221	не будет	13	3
222	он должен	1	3
223	не с	8	3
224	этом смысле	2	3
225	в этой	4	3
226	что можно	1	3
227	человеческой жизни	1	3
228	и по	1	3
229	тех или	6	3
230	отнюдь не	8	3
231	как совокупность	1	3
232	в той	6	2
233	более не	1	2
234	и другие	2	2
235	образом и	4	2
236	для всех	1	2
237	один из	5	2
238	и здесь	5	2
239	и мира	2	2
240	– то	3	2
241	и на	2	2
242	если в	1	2
243	жизни а	1	2
244	которая в	1	2
245	и который	2	2
246	своей является	1	2
247	об искусстве	1	2
248	строго говоря	1	2
249	на этом	4	2
250	из которых	3	2
251	а затем	2	2
252	мы в	1	2
253	но чтобы	1	2
254	жизни –	1	2
255	по себе	22	2
256	не могут	1	2
257	вещами и	3	2
258	в них	1	2
259	оно не	6	2
260	и даже	12	2
261	этой точки	3	2
262	здесь мы	1	2
263	самом деле	7	2
264	– всегда	1	2
265	заключается в	3	2
266	имеет дело	1	2
267	в одно	2	2
268	с ними	4	2
269	вместе с	4	2
270	жизни в	3	2
271	не вполне	2	2
272	никем не	1	2
273	себя и	8	2
274	говоря и	1	2
275	отличается от	8	2
276	собою в	1	2
277	в каком	6	2
278	к другому	3	2
279	о том	11	2
280	в аспекте	1	2
281	казалось бы	3	2
282	при всем	2	2
283	сам же	1	2
284	это и	12	2
285	еще и	11	2
286	– и	2	2
287	к нему	3	2
288	имеет в	1	2
289	на основе	1	2
290	не всегда	1	2
291	своей внутренней	1	2
292	и больше	13	2
293	для меня	3	2
294	только на	3	2
295	речь идет	1	2
296	говорит что	1	2
297	и это	17	2
298	превращается в	3	2
299	времени и	1	2
300	самом начале	1	2
301	если мы	12	2
302	тем же	2	2
303	имеем дело	3	2
304	что она	23	2
305	здесь не	2	2
306	коем случае	1	2
307	на котором	1	2
308	он и	2	2
309	в системе	1	2
310	не просто	23	2
311	в самой	3	2
312	только о	2	2
313	для такого	2	2
314	речи а	1	2
315	бы то	12	2
316	то в	4	2
317	что они	12	2
318	но на	2	2
319	основе своей	2	2
320	в коем	1	2
321	на вопрос	2	2
322	в последней	1	2
323	одной из	1	2
324	только лишь	1	2
325	к смыслу	1	2
326	что сама	1	2
327	несмотря на	6	2
328	ни было	12	2
329	к нашему	1	2
330	внутренней и	1	2
331	что такое	20	2
332	ее в	1	2
333	все это	7	2
334	что и	11	2
335	у нас	9	2
336	или иную	3	2
337	что каждый	1	2
338	с их	1	2
339	у него	3	2
340	за кантом	1	2
341	от всех	5	2
342	к чему	2	2
343	дело в	6	2
344	этих двух	2	2
345	на себя	5	2
346	не могли	1	2
347	в конце	3	2
348	я и	8	2
349	сама по	7	2
350	тому что	2	2
351	случае не	3	2
352	в какой	1	2
353	я не	7	2
354	– как	8	2
355	данный момент	1	2
356	зрения и	2	2
357	только и	8	2
358	жизнь –	1	2
359	это было	2	2
360	в чем	10	2
361	об этом	5	2
362	должен быть	5	2
363	это тоже	2	2
364	тем более	3	2
365	к одному	3	2
366	могли бы	1	2
367	но как	3	2
368	могут служить	1	2
369	определенным образом	6	2
370	ту или	3	2
371	то ни	13	2
372	суть то	1	2
373	дело не	4	2
374	в случае	1	2
375	и весьма	1	2
376	есть как	3	2
377	быть и	5	2
378	в первом	2	2
379	однако эта	1	2
380	но она	3	2
381	одно и	6	2
382	и является	1	2
383	это может	3	2
384	человека и	3	2
385	с человеком	1	2
386	относится как	1	2
387	собственно говоря	5	2
388	тем или	2	2
389	идет о	1	2
390	могла бы	3	2
391	так же	4	2
392	что может	1	2
393	для обозначения	1	2
394	тот кто	1	2
395	не сама	2	2
396	– несколько	1	2
397	в имени	21	2
398	но –	5	2
399	с чем	7	2
400	и прежде	2	2
401	как будто	2	2
402	в данный	1	2
403	может и	3	2
404	чем и	1	2
405	– уже	2	2
406	чтобы не	2	2
407	самим собою	2	2
408	могло быть	1	2
409	действительности –	2	1
410	в особенности	3	1
411	к такому	2	1
412	другой –	2	1
413	однако и	1	1
414	является в	2	1
415	все что	3	1
416	бы вбирает	1	1
417	каждой из	2	1
418	можно говорить	2	1
419	узко и	1	1
420	одном случае	1	1
421	вещи в	10	1
422	же и	2	1
423	героев и	1	1
424	имя как	10	1
425	и свою	1	1
426	также что	1	1
427	вещей но	5	1
428	своего собственного	1	1
429	тех кто	2	1
430	имени –	1	1
431	его с	1	1
432	на ее	3	1
433	таком понимании	1	1
434	случае мы	1	1
435	перестают быть	1	1
436	теперь в	1	1
437	дело с	1	1
438	образа и	1	1
439	можно назвать	1	1
440	есть для	2	1
441	с вещами	3	1
442	в обыденной	1	1
443	вопросу о	1	1
444	и дает	2	1
445	думаю что	1	1
446	что это	18	1
447	содержит в	11	1
448	с ним	8	1
449	это уже	2	1
450	в сущности	7	1
451	никак не	7	1
452	относится не	2	1
453	или –	3	1
454	предстают перед	1	1
455	не требует	1	1
456	какой бы	1	1
457	говорит о	3	1
458	ибо без	1	1
459	не как	2	1
460	с ума	1	1
461	смысл не	2	1
462	из того	3	1
463	сама жизнь	1	1
464	впрочем и	1	1
465	основной закон	1	1
466	дается в	1	1
467	и делает	2	1
468	в результате	9	1
469	все суть	1	1
470	то с	3	1
471	чистом виде	1	1
472	с личностным	1	1
473	быть может	3	1
474	с собой	2	1
475	и само	3	1
476	свое имя	2	1
477	отдельно от	1	1
478	смысла в	1	1
479	понимается как	1	1
480	внутренняя форма	1	1
481	и первый	1	1
482	со всеми	1	1
483	не сможет	2	1
484	должен был	1	1
485	или для	1	1
486	же я	1	1
487	читателя и	1	1
488	стоит в	1	1
489	все то	2	1
490	превращая его	2	1
491	новое время	1	1
492	от одного	2	1
493	такими же	1	1
494	в собственном	3	1
495	а во-вторых	1	1
496	имеет значение	1	1
497	с ней	2	1
498	жизнь в	1	1
499	смысла и	8	1
500	самом общем	1	1
501	его носителя	1	1
502	мы говорим	6	1
503	вещи но	16	1
504	оно –	6	1
505	значение в	1	1
506	языкового сознания	1	1
507	можно даже	1	1
508	пусть это	1	1
509	тем что	7	1
510	от всего	15	1
511	этого в	1	1
512	по числу	1	1
513	из всего	1	1
514	и будет	1	1
515	и действительно	1	1
516	и пусть	1	1
517	то время	4	1
518	если он	3	1
519	но самое	2	1
520	том или	2	1
521	иначе –	1	1
522	и должен	1	1
523	с тем	8	1
524	стороны в	1	1
525	необходимо для	1	1
526	высокое место	1	1
527	к самому	1	1
528	вещей в	3	1
529	с такими	1	1
530	для религиозного	1	1
531	с собою	6	1
532	все же	18	1
533	слов а	2	1
534	смысла к	1	1
535	и вещи	6	1
536	к бытию	3	1
537	участвовать в	1	1
538	своему смыслу	1	1
539	существует не	1	1
540	предмета и	1	1
541	не имеет	2	1
542	а этот	1	1
543	но у	1	1
544	да и	5	1
545	с максимальной	1	1
546	состоит как	1	1
547	о котором	2	1
548	другому человеку	1	1
549	зависимости от	1	1
550	бесконечно и	1	1
551	быть определена	1	1
552	себя не	2	1
553	эта внутренняя	1	1
554	в это	2	1
555	на их	2	1
556	которая не	1	1
557	свою собственную	1	1
558	которой не	1	1
559	личность как	2	1
560	действительность в	2	1
561	на первый	1	1
562	по крайней	10	1
563	это требует	1	1
564	свое время	2	1
565	с этим	4	1
566	только одно	2	1
567	и я	1	1
568	нам не	2	1
569	себя смысл	2	1
570	совершенно не	11	1
571	все и	1	1
572	не существует	4	1
573	ее к	2	1
574	в котором	4	1
575	из других	1	1
576	зависит от	1	1
577	в действительности	7	1
