N	4gram	Losev_Dial	StatiiOP
1	в то же время	3	9
2	заключается в том что	1	6
3	в то время как	6	5
4	в том что в	1	4
5	в том отношении что	1	4
6	в том смысле что	1	3
7	это не значит что	1	3
8	не говоря уже о	6	3
9	если принять во внимание	1	3
10	и тем не менее	2	3
11	не говорю уже о	1	2
12	до тех пор пока	1	2
13	в данном случае в	1	2
14	уже о том что	2	2
15	внимание на то что	1	2
16	и т д на	1	2
17	и в то же	2	2
18	одних и тех же	2	2
19	но в то же	1	2
20	и т д и	8	2
21	бы то ни было	1	2
22	что мы имеем в	1	2
23	и в этом смысле	1	2
24	не в том что	4	2
25	что здесь идет речь	1	1
26	и в том что	1	1
27	и т д как	1	1
28	ни в каком случае	2	1
29	во что бы то	1	1
30	что с точки зрения	2	1
31	одно из двух или	3	1
32	что это есть не	1	1
33	поскольку речь идет о	1	1
34	заключается вовсе не в	1	1
35	и во всяком случае	1	1
36	говоря уже о том	2	1
37	и т д в	2	1
38	обратил внимание на то	1	1
39	ни в каком смысле	5	1
40	с этой точки зрения	4	1
41	что бы то ни	1	1
42	в связи с этим	1	1
43	в каком смысле не	3	1
44	понимать в том смысле	1	1
45	тем не менее в	1	1
46	независимо от того что	1	1
47	то время как в	1	1
48	иметь в виду что	1	1
49	говорю уже о том	1	1
50	мы до сих пор	1	1
51	вовсе не в том	2	1
52	одной и той же	4	1
53	т д и т	7	1
54	одно и то же	2	1
55	во внимание что это	1	1
56	он не может быть	1	1
57	бы то ни стало	1	1
58	и т д все	1	1
59	так же как и	1	1
60	вы говорите что я	1	1
61	но я не стану	1	1
62	в каждый отдельный момент	1	1
63	на тему о том	1	1
64	д и т д	7	1
