N	2gram	Medvedev_F	UchenyiS
1	и в	54	14
2	формальный метод	19	11
3	не только	14	10
4	а не	11	10
5	формального метода	29	9
6	и не	34	8
7	прежде всего	34	8
8	то что	14	7
9	вот почему	1	7
10	в этом	39	7
11	не может	26	7
12	может быть	30	6
13	в искусстве	6	6
14	перестает быть	3	5
15	хотя бы	10	5
16	то же	16	5
17	художественного творчества	1	5
18	в художественном	5	5
19	и только	5	5
20	все это	11	5
21	художественное произведение	8	5
22	с другой	8	4
23	в этой	10	4
24	в россии	4	4
25	конечно не	5	4
26	что такое	2	4
27	но и	18	4
28	литературной науки	3	4
29	формалистическое мировоззрение	1	4
30	в их	16	4
31	к сожалению	2	3
32	бы то	4	3
33	было бы	10	3
34	не о	7	3
35	и то	1	3
36	истории литературы	18	3
37	о формальном	3	3
38	как такового	8	3
39	этой области	1	3
40	для этого	6	3
41	очевидно что	2	3
42	формализм как	1	3
43	произведения искусства	4	3
44	это не	4	3
45	как и	18	3
46	то ни	5	3
47	вряд ли	2	3
48	для него	9	3
49	в своей	16	3
50	все же	8	3
51	ни было	2	3
52	в области	6	3
53	в частности	4	3
54	в то	14	3
55	не как	7	3
56	у нас	6	3
57	пришлось бы	1	3
58	другой стороны	5	3
59	не следует	5	3
60	но в	9	3
61	же время	13	3
62	этого термина	2	2
63	литературы и	6	2
64	все они	1	2
65	художественной формы	2	2
66	таким образом	28	2
67	в самом	17	2
68	если не	1	2
69	же не	1	2
70	не приходится	4	2
71	материал для	1	2
72	должна была	2	2
73	в противном	2	2
74	его и	2	2
75	если бы	8	2
76	самом деле	12	2
77	могут быть	7	2
78	является в	2	2
79	в шкловский	8	2
80	не в	16	2
81	это было	3	2
82	бы и	1	2
83	для всех	2	2
84	и с	17	2
85	в противовес	2	2
86	до сих	7	2
87	и прием	1	2
88	художественном творчестве	1	2
89	в шкловского	3	2
90	поэтики на	3	2
91	очень показательна	1	2
92	одним из	1	2
93	крайней мере	1	2
94	как таковой	8	2
95	но не	5	2
96	по существу	8	2
97	мы и	1	2
98	тем что	6	2
99	в себе	4	2
100	в его	30	2
101	искусства как	2	2
102	в конце	2	2
103	даже и	5	2
104	должна быть	11	2
105	мы не	6	2
106	мы получаем	1	2
107	именно как	14	2
108	ничего не	5	2
109	всех этих	6	2
110	материала и	7	2
111	между тем	4	2
112	не есть	4	2
113	художественного произведения	27	2
114	прием в	1	2
115	что он	8	2
116	в широком	5	2
117	конце концов	2	2
118	на эту	1	2
119	при таком	5	2
