N	3gram	Vinokur_Ku	VrazhdaK
1	и все же	1	5
2	то же время	4	4
3	в то же	4	4
4	в связи с	4	3
5	в том что	23	2
6	не может быть	5	2
7	в письме к	1	2
8	с точки зрения	16	2
9	в году в	1	2
10	что к этому	1	1
11	но ведь не	1	1
12	ни тот ни	1	1
13	в свою очередь	4	1
14	у целого ряда	1	1
15	лет тому назад	1	1
16	в конце концов	3	1
17	одно и то	1	1
18	речь идет о	3	1
19	еще один пример	2	1
20	тот ни другой	1	1
21	о том как	3	1
22	точно так же	4	1
23	так же как	3	1
24	но это не	1	1
25	что в ней	1	1
26	в своем дневнике	1	1
27	уже на пороге	1	1
28	на то что	3	1
29	и в то	1	1
30	в соответствии с	5	1
31	не только от	1	1
32	это дает нам	1	1
33	по крайней мере	11	1
34	не забудем что	1	1
35	в этом смысле	8	1
36	и с первого	1	1
37	заключается в том	2	1
38	а с другой	3	1
39	в их отношениях	1	1
40	это не было	1	1
41	имеется в виду	1	1
42	и то что	1	1
43	о том что	6	1
44	до сих пор	5	1
45	в это время	1	1
46	на этот раз	1	1
47	с тех пор	1	1
48	во всяком случае	8	1
49	а следовательно и	2	1
50	тем не менее	9	1
51	пишущий эти строки	1	1
52	все равно не	1	1
53	к вопросу о	3	1
54	но нас интересует	1	1
55	и в самом	4	1
56	это состояло в	1	1
57	едва ли не	1	1
58	с другой стороны	12	1
59	в литературе и	1	1
60	целого ряда других	1	1
61	то что они	1	1
62	всего то что	1	1
63	тем более что	1	1
64	что для нас	1	1
65	и то же	1	1
66	тем что он	1	1
67	но не менее	1	1
68	в этом отношении	8	1
69	ответ на это	1	1
70	может быть и	1	1
