N	2gram	Savitsky_P	BTomashe
1	все это	2	2
2	в ней	6	2
3	и не	12	2
4	вопрос о	1	1
5	говорить о	2	1
6	творчества и	2	1
7	и о	5	1
8	было и	1	1
9	не только	17	1
10	не было	2	1
11	в эпоху	1	1
12	прежде всего	3	1
13	и в	14	1
14	во всяком	1	1
15	и потому	4	1
16	также что	1	1
17	говорить об	1	1
18	с другой	5	1
19	ней только	1	1
20	не о	2	1
21	другой стороны	1	1
22	всяком случае	1	1
23	было бы	6	1
24	и ее	1	1
25	в значительной	2	1
26	в пределах	8	1
27	в данном	1	1
28	более что	1	1
29	должна быть	1	1
30	в области	11	1
31	далеко не	1	1
32	тем более	2	1
33	не вполне	1	1
34	и более	1	1
35	что все	1	1
36	не все	1	1
37	никак не	2	1
38	а не	2	1
39	отнюдь не	2	1
40	и на	1	1
41	еще не	1	1
42	не свести	1	1
43	все же	1	1
44	что в	4	1
