N	2gram	Tiupa_Hudo	Analitik
1	не только	20	71
2	тогда как	15	67
3	и в	23	66
4	в качестве	31	61
5	литературного произведения	13	58
6	но и	14	57
7	в том	20	52
8	может быть	19	52
9	в этом	12	51
10	в частности	18	51
11	как и	3	50
12	и не	16	48
13	а не	13	42
14	в тексте	13	42
15	художественной реальности	5	41
16	при этом	19	40
17	том что	9	40
18	то есть	26	35
19	так и	12	35
20	художественного впечатления	4	34
21	в мире	24	31
22	представляет собой	11	30
23	своего рода	9	30
24	состоит в	20	30
25	коммуникативного события	9	30
26	отнюдь не	2	29
27	как бы	11	29
28	не может	9	29
29	а в	13	28
30	в его	11	27
31	и его	12	27
32	не в	9	26
33	но не	13	26
34	текста в	3	26
35	всего лишь	6	24
36	в себе	13	24
37	не случайно	3	24
38	художественного целого	3	24
39	иначе говоря	5	23
40	что в	7	22
41	и даже	1	22
42	к тому	4	22
43	в этой	2	22
44	лишь в	7	21
45	о том	2	20
46	и т.п	7	20
47	я в	13	20
48	в самом	7	19
49	то же	12	19
50	в своей	7	19
51	по отношению	10	19
52	с его	6	19
53	но в	10	19
54	в данном	4	18
55	произведения в	1	18
56	в то	8	18
57	отношению к	10	18
58	эстетического объекта	4	17
59	тем самым	5	17
60	с другой	9	17
61	только в	7	17
62	со стороны	5	17
63	такого рода	12	17
64	или иной	9	17
65	в целом	3	17
66	плотность акцентуации	1	16
67	что и	2	16
68	могут быть	5	16
69	то что	5	16
70	в пределах	3	16
71	и на	3	15
72	ритмических рядов	1	15
73	не есть	1	15
74	между тем	4	15
75	уже не	6	15
76	художественного текста	13	15
77	прежде всего	5	15
78	в сущности	1	15
79	в их	5	15
80	в рамках	13	15
81	литературное произведение	1	15
82	в принципе	8	14
83	не менее	5	14
84	того же	3	14
85	себя в	8	14
86	я и	7	14
87	в себя	4	14
88	той или	5	14
89	мы имеем	6	14
90	же время	7	14
91	в отличие	7	14
92	факторов художественного	4	14
93	столь же	2	14
94	отличие от	7	14
95	далеко не	4	14
96	эстетического отношения	11	14
97	ритмического ряда	3	13
98	по себе	2	13
99	точки зрения	11	13
100	как правило	3	13
101	внутреннего зрения	7	13
102	объектной организации	6	13
103	тому же	1	13
104	в случае	2	13
105	он не	4	13
106	о блудном	1	13
107	этого слова	2	13
108	как раз	3	13
109	для него	5	13
110	а также	6	13
111	произведение искусства	12	13
112	на уровне	1	13
113	и к	3	12
114	и сам	3	12
115	никогда не	2	12
116	внутренней речи	14	12
117	как это	7	12
118	сводится к	11	12
119	блудном сыне	1	12
120	как в	2	12
121	еще не	4	12
122	в эпизоде	1	12
123	произведения как	3	12
124	в конечном	5	12
125	есть не	1	12
126	в той	3	11
127	художественная реальность	2	11
128	даже в	3	11
129	конечном счете	5	11
130	имеем дело	2	11
131	по своей	7	11
132	в свою	3	11
133	сочетании с	1	11
134	той же	1	11
135	в сочетании	1	11
136	это не	4	11
137	можно сказать	6	11
138	и как	4	11
139	в проекции	1	11
140	не с	2	11
141	не следует	4	11
142	нуждается в	1	11
143	именно в	2	10
144	все же	1	10
145	едва ли	1	10
146	с одной	3	10
147	в произведении	3	10
148	в конце	1	10
149	было бы	1	10
150	однако в	4	10
151	в миропорядке	8	10
152	подобно тому	3	10
153	текста и	1	10
154	и одновременно	5	10
155	отношения к	4	10
156	перед лицом	3	10
157	совпадает с	2	10
158	здесь не	2	10
159	со своей	4	10
160	того или	4	10
161	один из	2	10
162	говорить о	4	9
163	говорит о	1	9
164	не столько	7	9
165	в результате	1	9
166	другой стороны	6	9
167	художественное целое	2	9
168	на фоне	1	9
169	художественного восприятия	4	9
170	и того	3	9
171	повести белкина	1	9
172	одной стороны	3	9
173	свою очередь	2	9
174	в своем	4	9
175	по поводу	1	9
176	крайней мере	1	9
177	таким образом	3	9
178	во всех	3	9
179	в русской	3	9
180	за пределы	2	9
181	или иного	4	9
182	только не	1	9
183	имеет место	3	9
184	уединенного сознания	4	9
185	особого рода	8	9
186	значении этого	4	9
187	вместе с	1	9
188	по крайней	1	9
189	автора и	3	9
190	вступает в	2	9
191	присутствия в	9	9
192	тому как	3	9
193	того что	5	9
194	субъектной организации	5	9
195	как уже	3	9
196	что касается	1	9
197	личности в	4	9
198	блудного сына	1	9
199	организации текста	1	9
200	дело с	1	8
201	о чем	3	8
202	роль в	2	8
203	воспринимающего сознания	4	8
204	не всегда	2	8
205	между двумя	2	8
206	я с	5	8
207	одной из	2	8
208	в контексте	3	8
209	художественности в	6	8
210	внутреннего я	6	8
211	уже говорилось	2	8
212	коммуникативное событие	2	8
213	эстетический объект	4	8
214	в сторону	2	8
215	о его	2	8
216	с ним	2	8
217	если бы	3	8
218	лирического героя	2	8
219	что он	5	8
220	перед нами	1	8
221	не является	5	8
222	в основе	7	8
223	с точки	3	8
224	хотя и	4	8
225	человеческого я	3	8
226	времени и	2	8
227	дело не	2	8
228	он и	2	8
229	в ходе	5	8
230	в финале	2	7
231	в году	2	7
232	текста но	1	7
233	в противоположность	3	7
234	в другом	4	7
235	времени в	2	7
236	в одном	3	7
237	как мы	1	7
238	в нашем	2	7
239	кадров внутреннего	3	7
240	который в	2	7
241	одна из	2	7
242	от себя	3	7
243	по преимуществу	3	7
244	внимание на	1	7
245	несмотря на	2	7
246	в ее	6	7
247	у него	2	7
248	в таком	3	7
249	жизненной позиции	1	7
250	как говорит	3	7
251	модус художественности	6	7
252	героя и	5	7
