N	3gram	Bakhtin_Fr	RusskieA
1	в том что	6	49
2	в этом случае	1	12
3	в других местах	1	10
4	о том что	3	10
5	и в других	2	9
6	в том чтобы	1	9
7	для того чтобы	2	8
8	но это не	1	8
9	подобно тому как	2	8
10	в настоящее время	1	7
11	не может быть	5	6
12	в это время	2	6
13	как мы видели	2	6
14	в эти дни	1	5
15	в связи с	1	5
16	мы видели что	1	5
17	на новый год	2	5
18	и многие другие	1	4
19	как мы уже	8	4
20	бросается в глаза	1	4
21	новый год и	1	4
22	в отличие от	4	4
23	не только на	1	4
24	во всяком случае	2	4
25	один из них	1	4
26	по улицам и	1	3
27	по отношению к	2	3
28	еще далеко не	2	3
29	в какой степени	1	3
30	до сих пор	7	3
31	в этих песнях	1	3
32	до некоторой степени	1	3
33	самом же деле	3	3
34	в своей книге	3	3
35	на самом же	3	3
36	которые имели место	1	3
37	и в том	2	3
38	на то что	1	3
39	с точки зрения	6	3
40	новый год в	1	3
41	в течение года	1	3
42	некоторые из них	1	2
43	в большинстве случаев	2	2
44	но и на	2	2
45	может быть только	1	2
46	друг с другом	2	2
47	потому что он	1	2
48	но все же	3	2
49	с другой стороны	1	2
50	в тех случаях	1	2
51	во многих отношениях	1	2
52	одна из основных	1	2
53	как и в	1	2
54	можно сказать что	3	2
55	на самом деле	2	2
56	они ничего не	1	2
57	не только в	5	2
58	во всех этих	2	2
59	всяком случае не	1	2
60	тех случаях когда	1	2
61	и в некоторых	1	2
62	а за ним	1	2
63	на части и	1	2
64	с одной стороны	2	2
65	в этом отношении	5	2
66	не только как	1	2
67	и связанные с	1	2
68	с этого момента	1	2
69	целом ряде других	1	1
70	время от времени	1	1
71	эта как мы	1	1
72	это приводит к	1	1
73	год в день	1	1
74	мы наблюдаем в	1	1
75	все же она	1	1
76	очень интересный и	1	1
77	были связаны с	3	1
78	и по другим	1	1
79	в заключение нужно	1	1
80	во время этого	1	1
81	в начале xvii	1	1
82	во всей их	1	1
83	этом мы можем	1	1
84	одно из наиболее	1	1
85	что он умеет	1	1
86	время этого праздника	1	1
87	для него не	1	1
88	в xix веке	2	1
89	имели место в	1	1
90	в определенные дни	1	1
91	до наших дней	1	1
92	так например в	1	1
93	они были связаны	1	1
94	и все это	1	1
95	жизни в этом	1	1
96	далеко не всегда	1	1
97	потому что в	1	1
98	только потому что	1	1
99	они как бы	1	1
100	все то что	1	1
101	и пр и	1	1
102	это следовательно не	1	1
103	эти и подобные	1	1
104	все же в	2	1
105	этой же цели	1	1
106	слово для обозначения	1	1
107	но не только	2	1
108	мы знаем что	1	1
109	в день св	2	1
110	в течение первых	1	1
111	а между тем	1	1
112	вряд ли можно	1	1
113	в царстве мертвых	1	1
114	прямо или косвенно	1	1
115	в один из	1	1
116	тому же в	1	1
117	в своем роде	1	1
118	можно говорить о	1	1
119	и у других	2	1
120	на тот же	1	1
121	к тому же	1	1
122	из них не	1	1
123	с которой они	1	1
124	на этот вопрос	2	1
125	и других праздников	1	1
126	мы видим что	1	1
127	это означает что	1	1
128	и пр в	1	1
129	не входит в	2	1
130	веселья и смеха	1	1
131	в другом месте	2	1
132	во всех других	2	1
133	оно все же	1	1
134	или во всяком	1	1
135	в применении к	3	1
136	и других аналогичных	1	1
137	имея в виду	1	1
138	идет не о	1	1
139	в значительной степени	4	1
140	что здесь на	1	1
141	все это позволяет	1	1
142	остановимся на некоторых	1	1
143	связан с будущим	1	1
144	он так и	1	1
145	уже в xix	1	1
146	прежде всего как	1	1
147	во второй половине	2	1
148	и в городах	1	1
149	в одном из	1	1
150	его значении и	1	1
151	следовательно не только	1	1
152	но он не	1	1
153	далеко не во	1	1
154	веселье и смех	1	1
155	на тех же	1	1
156	в некоторых других	1	1
157	так как он	1	1
158	еще и в	1	1
159	к ней как	1	1
160	человек как бы	1	1
161	и может быть	1	1
162	но и в	5	1
163	мы здесь имеем	1	1
164	только в свете	1	1
165	от земли и	1	1
166	главным образом на	2	1
167	не потому что	1	1
168	в целом ряде	2	1
169	для дальнейшего развития	1	1
170	там же с	2	1
171	сказать что в	1	1
172	не связанных с	1	1
173	всякой связи с	1	1
174	иногда и в	1	1
175	между прочим в	1	1
176	таким образом в	1	1
177	о чем свидетельствует	1	1
178	может быть правильно	1	1
179	но все это	2	1
180	дело в том	2	1
181	и до сих	1	1
182	них как бы	1	1
183	и та же	1	1
184	но и во	1	1
185	несколько иной характер	1	1
186	из этих элементов	1	1
187	это и не	1	1
188	не во всем	2	1
189	в них в	1	1
190	на весь мир	1	1
191	к этому типу	1	1
192	в разные сроки	1	1
193	год и в	1	1
194	в первую очередь	1	1
195	что в нем	1	1
196	в собственном смысле	3	1
197	влияние и на	1	1
198	в иванов день	1	1
199	в новое время	4	1
200	одна и та	1	1
201	здесь все же	1	1
202	только с этого	1	1
203	со смертью и	1	1
204	при всем разнообразии	1	1
205	и подобные им	1	1
206	вне связи с	1	1
207	и не только	1	1
208	в себе и	2	1
209	как римские сатурналии	1	1
210	это прежде всего	1	1
211	но от этого	1	1
212	греков и римлян	1	1
213	в основе своей	2	1
214	потому что по	1	1
215	сводится к тому	1	1
