N	4gram	Trubetskoy	Istorich
1	но вместе с тем	2	8
2	совершенно так же как	1	8
3	но тем не менее	1	6
4	с этой точки зрения	2	6
5	точно так же как	2	6
6	и вместе с тем	3	5
7	состоит в том что	1	4
8	в том что они	1	3
9	один и тот же	1	3
10	до сих пор не	1	3
11	бы то ни было	2	3
12	мы должны прежде всего	1	2
13	похожи друг на друга	1	2
14	указывает на то что	1	2
15	в том числе и	4	2
16	между человеком и животным	1	2
17	во всяком случае не	3	1
18	при ближайшем рассмотрении оказывается	1	1
19	с нашей точки зрения	1	1
20	свидетельствует о том что	1	1
21	широком смысле этого слова	1	1
22	а с точки зрения	1	1
23	до сих пор были	1	1
24	котором здесь идет речь	1	1
25	надо иметь в виду	1	1
26	во всяком случае в	1	1
27	и у многих других	1	1
28	невозможно но все же	1	1
29	о котором здесь идет	1	1
30	как бы то ни	2	1
31	все что связано с	1	1
32	вместе с тем и	1	1
33	здесь идет речь есть	1	1
34	но при ближайшем рассмотрении	1	1
35	а в том что	1	1
36	что мы знаем о	1	1
37	в широком смысле этого	1	1
38	с тем что в	1	1
39	но этим дело не	1	1
40	ближайшем рассмотрении оказывается что	1	1
41	и есть то самое	1	1
42	и даже там где	1	1
43	в то же время	2	1
