N	4gram	Bakhtin_Fr	Vladivir
1	дело в том что	2	11
2	в то же время	5	9
3	и в то же	2	5
4	на самом же деле	3	3
5	как мы уже сказали	4	3
6	в том что он	1	3
7	и в том что	2	2
8	содержит в себе и	2	2
9	второй половины xix века	1	2
10	но дело в том	1	2
11	свидетельствуют о том что	1	2
12	не подлежит никакому сомнению	2	2
13	но в то же	2	2
14	в этом отношении он	1	2
15	мы находим уже в	1	1
16	о том что только	1	1
17	но как раз в	1	1
18	выходит далеко за пределы	1	1
19	нет и не может	1	1
20	одной и той же	1	1
21	потому что в нем	1	1
22	не чем иным как	1	1
23	он так и не	1	1
24	бороться за свое существование	1	1
25	в конце концов с	1	1
26	не может быть никакой	1	1
27	и не может быть	2	1
