N	4gram	Medvedev_F	Analitik
1	в то же время	13	14
2	не что иное как	1	6
3	есть не что иное	1	5
4	и не может быть	4	4
5	в том или ином	1	4
6	бы то ни было	1	3
7	той мере в какой	1	2
8	с этой точки зрения	1	2
9	в той мере в	1	2
10	нет и не может	2	2
11	не говоря уже о	1	2
12	то же время в	1	2
13	но в то же	3	2
14	и в том что	1	1
15	в химическом соединении с	2	1
16	идет уже не о	1	1
17	которая сама по себе	1	1
18	мы имеем в виду	1	1
19	и в этом случае	1	1
20	в том случае если	1	1
21	том или ином типе	1	1
22	в свою очередь является	2	1
23	не для того чтобы	1	1
24	том и заключается что	1	1
25	не сам по себе	1	1
26	в том смысле что	2	1
27	в большей или меньшей	1	1
28	большей или меньшей степени	1	1
29	на самом же деле	1	1
30	в том и заключается	1	1
31	тем не менее в	1	1
32	которое не может быть	1	1
33	в противном случае мы	1	1
34	еще в самом начале	1	1
35	в том числе и	1	1
36	состоит в том чтобы	1	1
37	в этом отношении он	1	1
38	соединении с художественной идеологемой	1	1
39	лишь в том случае	1	1
40	химическом соединении с художественной	2	1
41	это было в первом	1	1
42	как это было в	1	1
43	не в том что	1	1
44	в целом все это	1	1
