N	4gram	Bakhtin_Fr	TeoriaLi
1	в то же время	13	8
2	одного и того же	1	4
3	мы имеем в виду	2	3
4	в том числе и	3	2
5	ни в коем случае	1	2
6	бы то ни было	1	2
7	но в то же	7	2
8	и в то же	2	2
9	только то что может	1	1
10	как это делает например	1	1
11	по своему смыслу и	1	1
12	не что иное как	1	1
13	с одной стороны и	2	1
14	в том случае если	1	1
15	дело в том что	2	1
16	что в отличие от	1	1
17	они существенно связаны с	1	1
18	в той или иной	2	1
19	то же время оно	1	1
20	одним и тем же	1	1
21	то же время они	1	1
22	какой бы то ни	1	1
23	в связи с этим	1	1
24	есть не что иное	1	1
