N	2gram	Losev_Dial	Komedia
1	и в	35	77
2	и не	51	47
3	в том	20	44
4	том что	18	42
5	о том	8	33
6	т е	49	33
7	но и	17	32
8	может быть	30	30
9	из них	5	29
10	таким образом	5	29
11	в то	10	28
12	и его	6	28
13	в этом	18	27
14	потому что	23	27
15	что он	16	26
16	к тому	6	26
17	тому же	3	25
18	не только	26	25
19	вместе с	3	25
20	так как	24	24
21	как и	10	23
22	ни в	20	23
23	что в	19	23
24	в самом	6	22
25	что и	7	22
26	если бы	12	22
27	то же	21	21
28	ясно что	11	21
29	в конце	5	21
30	так и	18	21
31	а в	8	21
32	в его	4	20
33	к этому	2	19
34	во время	2	19
35	со стороны	2	19
36	в этой	3	18
37	тем что	2	17
38	же время	9	17
39	в нем	25	17
40	и здесь	1	17
41	и т	31	17
42	еще не	4	17
43	при этом	2	16
44	все же	9	16
45	не менее	5	16
46	у него	2	16
47	сих пор	4	16
48	он не	5	16
49	и сам	1	16
50	до сих	4	16
51	тот же	1	16
52	не в	12	15
53	в своем	7	15
54	точки зрения	25	15
55	его в	3	15
56	в которой	3	15
57	на себя	1	15
58	между тем	3	15
59	один из	3	15
60	было бы	14	15
61	прежде всего	14	15
62	и с	10	14
63	столь же	1	14
64	к нему	12	14
65	все это	14	14
66	об этом	7	14
67	только что	5	13
68	самом деле	6	13
69	о чем	4	13
70	в них	4	13
71	в одном	4	13
72	что она	18	13
73	того же	1	13
74	как раз	7	13
75	мы можем	5	13
76	так что	21	13
77	то что	25	13
78	того чтобы	1	13
79	но в	8	13
80	в котором	5	12
81	для того	2	12
82	так же	6	12
83	с другой	10	12
84	на сцене	3	12
85	несмотря на	12	12
86	хотя и	4	12
87	в качестве	2	12
88	как это	8	12
89	т п	3	12
90	из которых	1	12
91	как в	3	12
92	уже в	5	12
93	в истории	1	12
94	не по	2	12
95	нового времени	1	12
96	не может	16	12
97	но не	9	12
98	и даже	23	11
99	с тем	2	11
100	наряду с	1	11
101	с ним	9	11
102	то время	3	11
103	речь идет	2	11
104	как мы	5	11
105	и для	2	11
106	в их	5	11
107	в частности	4	11
108	к ней	4	11
109	одного из	1	11
110	с этим	5	10
111	сразу же	2	10
112	он был	1	10
113	на него	2	10
114	тут же	2	10
115	с одной	4	10
116	в чем	9	10
117	как бы	19	10
118	и что	17	10
119	ничуть не	2	10
120	в отношении	5	10
121	и все	11	10
122	ничего не	19	10
123	мы не	1	10
124	на его	1	10
125	тем более	2	10
126	что касается	3	10
127	еще в	2	10
128	отношение к	5	10
129	же в	2	10
130	в целом	1	10
131	все что	2	9
132	но все	5	9
133	в своей	9	9
134	больше чем	1	9
135	одной стороны	3	9
136	говорить о	9	9
137	и еще	4	9
138	тому что	4	9
139	время как	7	9
140	только в	7	9
141	друг друга	1	9
142	в тех	2	9
143	даже не	4	9
144	и по	5	9
145	независимо от	2	9
146	в образе	1	9
147	того как	3	9
148	а также	1	9
149	вовсе не	19	9
150	отличие от	1	9
151	в ней	4	9
152	с этой	3	8
153	другой стороны	7	8
154	что ни	3	8
155	то это	6	8
156	что у	3	8
157	не было	7	8
158	не знает	2	8
159	бы в	3	8
160	во всех	3	8
161	в облаках	2	8
162	можно было	5	8
163	что для	3	8
164	первую очередь	1	8
165	если не	1	8
166	в которых	2	8
167	да и	11	8
168	тех пор	2	8
169	связи с	3	8
170	меньше всего	4	8
171	по своему	4	8
172	и других	1	8
173	с самого	2	8
174	как он	5	8
175	при всем	1	8
176	идет о	1	8
177	и ее	1	8
178	место в	1	8
179	и к	8	7
180	мы найдем	1	7
181	в результате	2	7
182	в этих	6	7
183	равно как	1	7
184	если в	5	7
185	себе в	1	7
186	во всяком	5	7
187	в первую	2	7
188	вопрос о	3	7
189	хотя бы	6	7
190	в другом	6	7
191	в руках	1	7
192	самого начала	2	7
193	что они	8	7
194	ни было	2	7
195	в связи	3	7
196	и это	6	7
197	в других	1	7
198	так или	3	7
199	перед лицом	2	7
200	в себе	23	7
201	и у	2	7
202	к его	2	7
203	это время	3	7
204	не имеет	15	7
205	не является	3	7
206	из этих	2	7
207	и поэтому	1	7
208	мы знаем	1	7
209	и во	1	7
210	но если	6	7
211	всяком случае	3	7
212	и вот	10	7
213	для нас	1	7
214	или иначе	3	7
215	отнюдь не	13	7
216	у того	1	7
217	тех же	1	7
218	и о	4	7
219	конце концов	4	7
220	говоря уже	1	6
221	еще более	3	6
222	даже в	6	6
223	в виду	9	6
224	в своих	1	6
225	в дальнейшем	6	6
226	уже о	1	6
227	не зная	2	6
228	и он	6	6
229	с точки	18	6
230	что не	13	6
231	о которых	2	6
232	больше всего	2	6
233	на этом	4	6
234	не дает	1	6
235	и тем	2	6
236	не приходится	1	6
237	могут быть	6	6
238	в силу	6	6
239	всего в	1	6
240	в сущности	2	6
241	никто не	2	6
242	как из	3	6
243	а не	24	6
244	нет и	2	6
245	главным образом	2	6
246	в области	2	6
247	тем не	3	6
248	так в	1	6
249	здесь в	3	6
250	или в	2	6
251	в какой	3	6
252	и как	14	6
253	на то	5	6
254	это было	4	6
255	не говоря	1	6
256	когда он	2	6
257	а по	1	6
258	на это	1	6
259	как будто	7	6
260	надо было	1	6
261	больше того	5	6
262	в изображении	2	5
263	на сцену	2	5
