N	3gram	Berdyaev_O	Stilisti
1	для того чтобы	3	7
2	заключает в себе	1	4
3	прежде всего в	1	4
4	но и в	2	3
5	как бы в	1	3
6	в самом деле	1	2
7	не может быть	2	2
8	о том что	1	2
9	не так как	1	2
10	смысле этого слова	1	2
11	в этом отношении	1	2
12	в том что	1	1
13	и характер его	1	1
14	мужчины и женщины	1	1
15	с кем и	1	1
16	но почему же	1	1
17	в другом месте	1	1
18	как и в	1	1
19	все еще не	1	1
20	по сравнению с	1	1
21	бросается в глаза	1	1
22	само по себе	1	1
23	между этими двумя	1	1
24	ведь может быть	1	1
25	но в этой	1	1
26	даже и в	1	1
27	и никогда не	2	1
28	человека не только	1	1
29	и все же	1	1
30	раскрывается до конца	1	1
31	должен был бы	1	1
32	все что было	1	1
33	нужно отметить что	1	1
34	и не может	1	1
35	и в этом	2	1
