N	4gram	Vinokur_Ku	Psycholo
1	заключается в том что	2	23
2	и в самом деле	4	19
3	одной и той же	1	12
4	с этой точки зрения	3	10
5	одно и то же	1	7
6	в том случае если	3	7
7	в том что она	1	7
8	в том что он	3	7
9	до тех пор пока	1	6
10	только в том случае	2	6
11	не что иное как	2	6
12	сводится к тому что	1	5
13	а с другой стороны	2	4
14	в зависимости от того	1	4
15	все более и более	1	4
16	одного и того же	2	4
17	в собственном смысле слова	1	4
18	совершенно ясно что в	1	4
19	ни в какой мере	1	4
20	состоит в том что	4	4
21	в силу того что	2	4
22	точно так же как	3	4
23	никак не может быть	1	4
24	и в том что	1	3
25	в то же время	4	3
26	о том что он	1	3
27	и вместе с тем	1	3
28	несмотря на то что	1	3
29	не в том чтобы	4	3
30	ответ на этот вопрос	1	3
31	в том смысле что	1	3
32	и т п с	1	3
33	дело в том что	1	3
34	в том или ином	1	3
35	само по себе не	1	2
36	мы должны признать что	1	2
37	что с точки зрения	1	2
38	и т п все	2	2
39	и т п в	2	2
40	поскольку речь идет о	1	2
41	вовсе не в том	1	2
42	для того чтобы с	1	2
43	том случае если бы	1	2
44	именно в силу того	1	2
45	в центр своего внимания	1	2
46	заключается не в том	1	2
47	т д все это	1	2
48	в том что оно	2	2
49	из того факта что	1	2
50	а если так то	1	2
51	совершенно справедливо указывает что	1	2
52	можно было бы сказать	2	2
53	и есть в сущности	1	2
54	что это действительно так	1	2
55	только в том что	1	2
56	все дело в том	1	2
57	есть в сущности говоря	1	2
58	в том что мы	1	2
59	и т д все	1	2
60	и тем не менее	4	2
61	и т д и	3	2
62	т д и т	3	2
63	в том что на	1	2
64	смысле этого слова и	1	2
65	бы то ни было	1	2
66	только для того чтобы	2	2
67	прав когда указывает на	1	2
68	не в том что	1	2
69	д и т д	2	2
70	есть не что иное	1	2
71	и с точки зрения	1	1
72	той обстановки в которой	1	1
73	той мере в какой	6	1
74	уже не может быть	2	1
75	что же касается до	1	1
76	в той мере в	6	1
77	станем на точку зрения	1	1
78	социальной жизни в его	1	1
79	в широком смысле слова	1	1
80	с другой стороны к	1	1
81	и т п и	2	1
82	не для того чтобы	1	1
83	в том смысле как	1	1
84	с более или менее	1	1
85	но все дело в	1	1
86	том или ином виде	1	1
87	это еще не все	1	1
88	когда речь идет о	1	1
89	преувеличения можно сказать что	1	1
90	и то обстоятельство что	2	1
91	лишь тогда когда он	1	1
92	не только в поэзии	1	1
93	и мы увидим как	1	1
94	которым приходится иметь дело	1	1
95	в последней части романа	1	1
96	только о том что	1	1
97	в каждый данный момент	1	1
98	того чтобы мы могли	1	1
99	с другой стороны слова	1	1
100	свой смысл и свое	1	1
101	и в той мере	1	1
102	в чем здесь дело	1	1
103	и т п так	2	1
104	в этом отношении и	1	1
105	в таких словах как	1	1
106	что в самом деле	1	1
107	в узком смысле слова	1	1
108	но для того чтобы	1	1
109	худо ли хорошо ли	1	1
110	в том виде какой	1	1
111	и то же слово	1	1
112	того что в них	1	1
113	то это потому что	1	1
114	совершенно прав когда указывает	1	1
115	сводится к тому чтобы	1	1
116	и т п но	1	1
117	ответить на этот вопрос	1	1
118	я имею в виду	2	1
119	в каждом данном случае	1	1
120	по существу она не	1	1
121	в самом деле это	1	1
122	вовсе не то что	1	1
123	не может и не	1	1
124	можно было бы назвать	1	1
125	для того чтобы дать	2	1
126	есть contradictio in adjecto	1	1
127	чтобы ответить на этот	1	1
128	по крайней мере в	1	1
129	одном и том же	1	1
130	для того чтобы мы	1	1
131	во всяком случае все	1	1
132	свидетельствуют о том что	1	1
133	в самом деле в	1	1
134	это можно было бы	1	1
135	того как мы можем	1	1
136	получить некоторое знание о	1	1
137	что само по себе	1	1
138	только потому что оно	1	1
139	для того только чтобы	1	1
140	свидетельствует о том что	1	1
141	дело не в том	1	1
142	какой бы то ни	1	1
143	самого по себе и	1	1
144	и т п эта	1	1
