N	3gram	Medvedev_V	Dialekti
1	и т д	16	75
2	сама по себе	1	26
3	по крайней мере	2	26
4	в том что	5	25
5	не может быть	8	18
6	то же время	5	15
7	в то же	5	14
8	в таком случае	1	14
9	только тогда когда	1	13
10	и то же	1	12
11	с другой стороны	8	12
12	о том что	3	12
13	одно и то	1	12
14	есть то что	1	11
15	на то что	1	11
16	в самом деле	1	10
17	т е в	2	10
18	иметь в виду	2	9
19	подобно тому как	3	9
20	то или иное	1	9
21	это и есть	3	9
22	не значит что	1	8
23	не только не	2	8
24	только то что	2	8
25	в то время	1	8
26	то время как	1	8
27	та или иная	3	8
28	в этом смысле	1	8
29	можно сказать что	4	7
30	говоря уже о	1	7
31	значит что он	1	7
32	не в том	2	7
33	так или иначе	1	7
34	сами по себе	1	7
35	т е не	1	7
36	в связи с	4	7
37	той или иной	1	7
38	не говоря уже	1	7
39	для того чтобы	3	6
40	более или менее	6	6
41	в зависимости от	5	6
42	и в то	3	6
43	выйти за пределы	1	6
44	как и все	1	6
45	во всяком случае	2	6
46	с одной стороны	2	6
47	может быть и	1	6
48	имеет ничего общего	1	5
49	по сравнению с	1	5
50	того или другого	1	5
51	не отличается от	1	5
52	ничего общего с	1	5
53	в конце концов	2	5
54	не имеет ничего	1	5
55	к тому что	4	5
56	от того что	2	5
57	в том смысле	1	5
58	до сих пор	2	5
59	в виду что	1	5
60	одной стороны и	2	4
61	том смысле что	1	4
62	и т п	9	4
63	с этой точки	1	4
64	так же как	1	4
65	но даже и	1	4
66	уже по одному	2	4
67	этой точки зрения	2	4
68	одному тому что	2	4
69	в данном случае	1	4
70	к тому же	1	4
71	не может не	2	4
72	то же самое	1	4
73	а не только	1	4
74	равно как и	4	4
75	и может быть	1	4
76	может быть в	1	4
77	и тем более	1	4
78	можно было бы	2	4
79	по одному тому	2	4
80	не могут быть	4	4
81	т д но	1	4
82	в этом отношении	14	4
83	в той или	1	3
84	тех или иных	1	3
85	как будто бы	1	3
86	от обычного хода	1	3
87	один из видов	1	3
88	и есть то	1	3
89	в силу этого	4	3
90	это и значит	1	3
91	это вовсе не	1	3
92	но все же	1	3
93	все это не	1	3
94	даже и не	1	3
95	уже о том	1	3
96	и не может	2	3
97	того или иного	1	3
98	если так то	1	3
99	в чем же	2	3
100	ни в какой	1	3
101	ту или иную	1	3
102	о том как	3	3
103	хотя и не	1	3
104	и значит что	1	3
105	не было бы	4	3
106	но в то	1	3
107	не только в	2	3
108	же как и	1	3
109	лежит в основе	1	3
110	что он не	1	2
111	но ведь это	1	2
112	время никогда не	1	2
113	некоторые из них	1	2
114	бы и не	3	2
115	т е чисто	1	2
116	у гете и	1	2
117	из них и	1	2
118	хотя бы и	5	2
119	дело не в	1	2
120	т е от	1	2
121	далеко не всегда	1	2
122	того что не	1	2
123	как это мы	1	2
124	уже сама по	1	2
125	прежде всего необходимо	1	2
126	и не должна	1	2
127	и вместе с	1	2
128	в ней не	1	2
129	значит только то	1	2
130	мы видим что	1	2
131	и не быть	1	2
132	говорить не о	2	2
133	в свою очередь	1	2
134	утверждает что все	1	2
135	это значит только	1	2
136	как это было	1	2
137	как один из	1	2
138	идеи и образа	1	2
139	тот или иной	1	2
140	ли это что	1	2
141	другой стороны в	1	2
142	есть одно и	1	2
143	не рождается из	2	2
144	вопрос о том	1	2
145	значит ли это	1	2
146	хотя бы в	3	2
147	мы только что	1	2
148	никогда не может	1	2
149	мы имеем дело	1	2
150	никак не могут	1	1
151	в частности к	2	1
152	все это мы	1	1
