N	3gram	Tiupa_Teor	Istorich
1	в этих случаях	1	47
2	с другой стороны	6	46
3	в этом случае	1	29
4	с одной стороны	3	28
5	так же как	1	27
6	в том что	10	25
7	не может быть	5	24
8	тем не менее	3	23
9	точно так же	1	22
10	о том что	1	22
11	мы имеем в	3	19
12	здесь мы имеем	1	17
13	в связи с	3	17
14	в данном случае	5	15
15	по отношению к	10	14
16	в то время	1	13
17	не что иное	1	11
18	что иное как	1	11
19	как и в	2	10
20	более или менее	6	9
21	в таких случаях	1	9
22	то же самое	1	8
23	таким образом и	1	8
24	подобно тому как	3	8
25	в зависимости от	1	8
26	в большинстве случаев	1	7
27	дело не в	1	7
28	в одном случае	1	7
29	что он не	1	7
30	на первый взгляд	1	7
31	и здесь мы	1	6
32	к тому же	1	6
33	этой точки зрения	2	6
34	с этой точки	2	6
35	том что в	1	5
36	на задний план	1	5
37	для того чтобы	5	5
38	в отличие от	7	5
39	со всех сторон	1	5
40	мы видим в	1	5
41	в том числе	3	5
42	есть не что	1	5
43	так или иначе	5	4
44	не только на	1	4
45	в чистом виде	1	4
46	только то что	1	4
47	с точки зрения	3	4
48	состоит в том	6	4
49	в одной из	1	4
50	содержит в себе	1	4
51	иметь в виду	1	4
52	случаи когда герой	1	4
53	можно сказать что	3	4
54	это и есть	1	4
55	одной стороны и	1	3
56	все то что	1	3
57	как один из	1	3
58	никак не может	1	3
59	и то же	2	3
60	не только не	2	3
61	в иных случаях	1	3
62	и тем самым	2	3
63	к тому что	2	3
64	это своего рода	2	3
65	но в отличие	1	3
66	дело в том	1	3
67	один из видов	1	3
68	из этих двух	1	3
69	это происходит в	1	3
70	как это происходит	1	3
71	в соответствии с	2	3
72	не могло быть	2	3
73	то ни было	2	3
74	бы то ни	2	3
75	но он не	2	3
76	в противоречие с	1	3
77	не в состоянии	1	3
78	может быть назван	1	2
79	по себе а	1	2
80	в себя и	1	2
81	в самом деле	2	2
82	и тем более	1	2
83	обращает на себя	1	2
84	но в таком	1	2
85	друг от друга	1	2
86	в таком случае	2	2
87	так что она	1	2
88	в особенности в	1	2
89	том числе и	2	2
90	а в том	1	2
91	сама по себе	2	2
92	а не с	1	2
93	из того что	1	2
94	а не только	1	2
95	мы имеем дело	2	2
96	при этом они	1	2
97	и потому что	1	2
98	дает ключ к	1	2
99	в виду что	1	2
100	если он не	1	2
101	могли бы быть	1	2
102	не могут быть	2	2
103	легко может быть	1	2
104	и глубже чем	1	2
105	мы имеем не	1	2
