N	2gram	Voloshinov	slovoVRo
1	и в	13	92
2	может быть	8	59
3	и его	12	59
4	в нем	2	59
5	и не	8	51
6	не только	6	44
7	не может	8	41
8	но и	3	39
9	до конца	1	37
10	литературного языка	2	37
11	в этом	2	36
12	а не	2	34
13	точки зрения	7	30
14	так и	3	30
15	языка и	5	29
16	могут быть	2	29
17	и др	2	29
18	в пределах	3	29
19	в его	7	27
20	языка в	1	25
21	все это	4	25
22	как бы	6	24
23	слова и	2	24
24	слово в	3	24
25	то же	4	23
26	как в	2	21
27	не в	3	21
28	вовсе не	2	21
29	в процессе	5	20
30	в то	1	20
31	прежде всего	9	19
32	как и	3	18
33	же время	1	18
34	таким образом	6	17
35	все же	5	17
36	в основе	1	17
37	в истории	1	17
38	все эти	2	17
39	при этом	2	16
40	в них	2	16
41	отличие от	1	16
42	но в	4	16
43	с точки	5	15
44	там где	2	15
45	только в	6	14
46	в отличие	1	14
47	узком смысле	1	14
48	в узком	1	14
49	в особенности	1	13
50	на фоне	4	13
51	с другой	2	13
52	с его	1	13
53	и следовательно	2	13
54	и для	3	13
55	и к	2	12
56	в отношении	2	12
57	еще не	1	12
58	никогда не	3	12
59	или в	1	12
60	а в	2	12
61	отношение к	1	12
62	и наконец	5	12
63	один из	1	11
64	с ними	2	11
65	языкового сознания	1	11
66	для него	2	11
67	с одной	2	11
68	языка как	3	11
69	одной стороны	2	11
70	в языке	2	10
71	и их	7	10
72	и все	3	10
73	языковой жизни	1	10
74	лишь в	4	10
75	в своем	1	10
76	в том	2	10
77	в себе	3	10
78	далеко не	1	10
79	более или	1	9
80	в своей	4	9
81	конечно не	1	9
82	сказать что	1	9
83	так как	3	9
84	его в	1	9
85	одна из	1	9
86	в их	3	9
87	или менее	1	9
88	героя и	2	9
89	и других	1	9
90	быть и	1	9
91	одним из	1	9
92	но не	1	9
93	с ее	1	9
94	к нему	1	9
95	более того	2	9
96	в самом	2	8
97	не на	2	8
98	может стать	2	8
99	зависимости от	2	8
100	в поэтическом	1	8
101	в значительной	1	8
102	все время	1	8
103	для понимания	1	8
104	с этим	3	8
105	в зависимости	2	8
106	языка но	2	8
107	чужого языка	1	8
108	входит в	2	8
109	в одной	1	8
110	человека и	1	8
111	и часто	1	8
112	в ней	2	8
113	во всем	2	7
114	от него	1	7
115	например в	1	7
116	связанные с	2	7
117	том что	2	7
118	автора и	1	7
119	и иных	1	7
120	того же	1	7
121	о слове	1	7
122	не было	1	7
123	связи с	1	7
124	слова могут	1	7
125	мы уже	2	7
126	также и	1	7
127	ту же	1	7
128	за пределы	3	7
129	в целом	2	7
130	что в	3	6
131	и здесь	1	6
132	в одном	3	6
133	другой стороны	2	6
134	по себе	1	6
135	и язык	1	6
136	подхода к	1	6
137	роль в	2	6
138	себя и	1	6
139	наконец в	2	6
140	говорить о	3	6
141	слов и	4	6
142	и там	1	6
143	в контексте	1	6
144	как к	1	6
145	слово не	1	6
146	лежит в	1	6
147	а также	2	6
148	на этом	1	6
149	например у	1	6
150	хотя бы	5	6
151	между тем	2	6
152	точку зрения	3	6
153	в языковом	2	6
154	в чисто	1	6
155	и при	2	5
156	не как	3	5
157	и чисто	1	5
158	они не	1	5
159	по отношению	3	5
160	вместе с	1	5
161	не менее	2	5
162	его и	1	5
163	не является	4	5
164	в данном	2	5
165	и более	1	5
166	мы не	4	5
167	для того	1	5
168	с помощью	2	5
169	только на	1	5
170	каждое слово	2	5
171	связанных с	2	5
172	речи в	1	5
173	отношению к	3	5
174	поэтического языка	2	5
175	а вовсе	1	5
176	в дальнейшем	1	5
177	в поэзии	5	5
178	уже в	2	5
179	этом отношении	1	5
180	с их	1	5
181	или даже	1	5
182	из существеннейших	1	5
183	особенно в	1	5
184	в каждом	4	5
185	а как	2	5
186	стилистического анализа	1	5
187	не знает	1	5
188	и может	2	5
189	борьба с	1	5
190	и языка	1	5
191	оно может	1	5
192	слушателя и	1	5
193	для этого	1	5
194	языка его	1	4
195	языке и	1	4
196	или иные	1	4
197	в некоторых	1	4
198	в другой	1	4
199	те же	2	4
200	не столько	3	4
201	в виду	1	4
202	для всех	1	4
203	со всеми	1	4
204	слове в	1	4
205	если бы	2	4
206	его на	2	4
207	что он	1	4
208	так же	2	4
209	к тому	2	4
210	зрения и	1	4
211	входя в	1	4
212	даже и	1	4
213	того чтобы	1	4
214	в другом	2	4
215	и уже	3	4
216	те или	1	4
217	с этой	2	4
218	в различных	1	4
219	в чем	2	4
220	пределах того	1	4
221	материал в	2	4
222	и речи	1	4
223	к предмету	2	4
224	но это	1	4
225	в системе	1	4
226	формы и	1	4
227	истории литературы	2	4
228	одной из	1	4
229	в виде	1	4
230	а на	1	4
231	в которой	3	4
232	это слово	1	4
233	и как	1	4
234	же как	1	4
235	так в	1	4
236	только и	4	4
237	в условиях	1	4
238	в себя	1	4
239	из одного	1	4
240	может иметь	2	4
241	выражение в	1	4
242	разрыв между	2	4
243	стилистики и	1	4
244	эти слова	1	4
245	с языком	1	4
246	одно и	3	4
247	из него	1	4
248	или как	1	4
249	художественного слова	1	4
250	и о	1	4
251	в понимании	1	4
252	речи и	1	4
253	не всегда	1	4
254	очень трудно	1	4
255	и ее	2	4
256	собственном смысле	1	3
257	же слово	2	3
258	переходит в	1	3
259	слову в	1	3
260	смысле слова	2	3
261	в разных	1	3
262	не приходится	1	3
263	и языком	1	3
264	не исчерпывается	2	3
265	и то	3	3
266	в связи	2	3
267	и стилистики	1	3
268	этого процесса	1	3
269	тем что	2	3
270	или на	1	3
271	в собственном	1	3
272	где она	1	3
273	от этого	2	3
274	было бы	4	3
275	и социальной	1	3
276	высказывания и	1	3
277	связана с	3	3
278	языка от	1	3
279	как это	1	3
280	не должно	1	3
281	и стиль	2	3
282	слово для	1	3
283	или иных	1	3
284	в этой	1	3
285	людей и	1	3
286	и до	1	3
287	отметить что	1	3
288	а лишь	1	3
289	произведения и	1	3
290	в сознании	4	3
291	этого слова	1	3
292	и связанных	1	3
293	только с	1	3
294	внутренней речи	1	3
295	форм и	2	3
296	идеологической жизни	1	3
297	выходит за	1	3
298	произведения как	4	3
299	должно быть	1	3
300	на том	1	3
301	такого рода	1	3
302	материала и	3	3
303	высказывание на	1	3
304	ситуациях и	1	3
305	и экспрессивную	1	3
306	между языком	1	3
307	здесь уже	1	3
308	не знаем	1	3
309	в широком	1	3
310	тому что	1	3
311	с одним	1	3
312	данного языка	1	3
313	является лишь	1	3
314	на все	1	3
315	и это	1	3
316	данную эпоху	1	3
317	в данную	1	3
318	к слову	1	3
319	стиля в	1	3
320	может и	1	3
321	в такой	1	3
322	потому что	1	3
323	следовательно в	1	3
324	и тем	2	3
325	на нем	1	3
326	философия языка	1	3
327	конечно в	2	3
328	и вне	1	3
329	лишь как	1	3
330	на всю	1	3
331	стиль и	1	3
332	к этому	1	3
333	данном случае	2	3
334	такой же	1	3
335	эта категория	1	3
336	включает в	1	3
337	и стилистически	1	3
338	менее всего	1	3
339	тех или	1	3
340	нуждается в	2	3
341	или иного	2	3
342	ведь и	1	3
343	того или	2	3
344	как для	1	3
345	науки о	1	2
346	представителей этой	1	2
347	можно говорить	1	2
348	в последнем	1	2
349	системы общих	1	2
350	эти три	1	2
351	тем как	1	2
352	связанное с	1	2
353	его стилистического	1	2
354	стиля не	1	2
355	которое может	2	2
356	для них	1	2
357	в едином	1	2
358	математических и	1	2
359	связанная с	1	2
360	связь с	1	2
361	этой точки	1	2
362	в открытой	1	2
363	все то	1	2
364	ни о	1	2
365	для осуществления	1	2
366	заключается в	1	2
367	как о	1	2
368	возможности в	1	2
369	человеческой речи	2	2
370	да и	3	2
371	не пытается	1	2
372	и социально	2	2
373	но мы	4	2
374	на материале	1	2
375	моменты в	1	2
376	это и	1	2
377	и глубоко	1	2
378	и отчасти	2	2
379	то что	6	2
380	во все	1	2
381	драматических диалогов	1	2
382	в течение	2	2
383	о которых	1	2
384	в двух	4	2
385	речи не	2	2
386	время в	1	2
387	и т.п	7	2
388	в руках	2	2
389	мы все	1	2
390	может лишь	1	2
391	вступает в	1	2
392	в новых	1	2
393	при анализе	3	2
394	самого начала	2	2
395	синтаксические и	1	2
396	он весь	1	2
397	несмотря на	2	2
398	нет и	1	2
399	темы в	1	2
400	и у	1	2
401	значение имеет	1	2
402	в образе	1	2
403	во всей	2	2
404	разговорного языка	1	2
405	однако этот	1	2
406	стилистика и	1	2
407	предшествующей главе	1	2
408	не из	1	2
409	то или	1	2
410	в ее	3	2
411	и становится	1	2
412	своего развития	1	2
413	рождается и	1	2
414	языком как	2	2
415	самое слово	1	2
416	такой степени	1	2
417	речь в	1	2
418	мы видим	2	2
419	не можем	1	2
420	на язык	2	2
421	указать на	1	2
422	того как	1	2
423	с известным	1	2
424	в художественной	1	2
425	языке но	1	2
426	наблюдения над	1	2
427	тем не	1	2
428	в предшествующей	1	2
429	на самом	1	2
430	системы и	1	2
431	разрыва между	1	2
432	и есть	1	2
433	слова есть	1	2
434	работы и	1	2
435	от всех	2	2
436	и всякое	1	2
437	что она	1	2
438	и эта	5	2
439	при изучении	1	2
440	где нет	1	2
441	что язык	1	2
442	наконец даже	1	2
443	себя как	1	2
444	социальной группы	4	2
445	в области	2	2
446	при таком	1	2
447	к единству	3	2
448	и оно	1	2
449	язык с	1	2
450	об этом	1	2
451	что они	2	2
452	для анализа	1	2
453	его вне	2	2
454	к одному	3	2
455	поскольку она	1	2
456	материалом для	2	2
457	мы можем	4	2
458	как ни	1	2
459	вообще в	1	2
460	с самого	2	2
461	в своих	2	2
462	в самых	1	2
463	и стилистические	1	2
464	является уже	2	2
465	своего времени	1	2
466	иного конкретного	1	2
467	нужно сказать	1	2
468	и что	1	2
469	но такое	2	2
470	можно было	1	2
471	иметь в	1	2
472	в начале	1	2
473	косвенной речи	1	2
474	по своей	1	2
475	или иное	1	2
476	ведь в	1	2
477	как известно	1	2
478	только о	1	2
479	xvii века	1	2
480	стилей в	1	2
481	и особенно	1	2
482	языковых форм	2	2
483	произведения не	1	2
484	материала в	4	2
485	столь же	1	2
486	бы быть	1	2
487	ощущаем в	1	2
488	на то	1	2
489	осмысления и	1	2
490	и ценностных	1	2
491	есть не	2	2
492	место каждого	1	2
493	и самый	1	2
494	поэтического произведения	3	1
495	в оценке	1	1
496	к сожалению	2	1
497	системой языка	1	1
498	в категории	1	1
499	богаче и	1	1
500	области поэтики	1	1
501	особенности и	1	1
502	до завершенного	1	1
503	всего в	1	1
504	но может	1	1
505	семантики и	1	1
506	этой проблемы	2	1
507	в конце	1	1
508	которые не	1	1
509	или только	1	1
510	если он	1	1
511	он только	2	1
512	для себя	2	1
