N	3gram	Trubetskoy	KulturaY
1	для того чтобы	6	38
2	с точки зрения	9	36
3	в том что	7	33
4	в самом деле	1	29
5	можно было бы	3	25
6	тем не менее	1	19
7	во всяком случае	6	19
8	до сих пор	5	14
9	в том чтобы	1	14
10	по отношению к	1	13
11	по крайней мере	1	13
12	в связи с	1	12
13	не может быть	4	11
14	в этом отношении	1	11
15	о том что	2	10
16	вместе с тем	3	9
17	того или иного	2	9
18	на самом деле	6	8
19	в этом случае	3	8
20	в том случае	4	7
21	в свою очередь	1	7
22	только в том	2	7
23	к тому же	1	6
24	то же время	10	6
25	той или иной	3	6
26	в то же	10	6
27	речь идет о	1	5
28	более или менее	4	5
29	в данном случае	3	5
30	и в этом	1	5
31	но все же	1	5
32	тем более что	1	5
33	на этот вопрос	1	5
34	лишь в том	2	4
35	но вряд ли	1	4
36	смысле этого слова	1	4
37	и того же	1	4
38	а в том	1	4
39	к тому что	2	4
40	к вопросу о	3	4
41	состоит в том	1	4
42	одного и того	1	4
43	в том и	2	4
44	на то что	4	4
45	заключается в том	1	4
46	только то что	1	4
47	точно так же	2	4
48	так же как	1	4
49	тот или иной	1	4
50	чтобы понять что	2	3
51	русского языка и	1	3
52	естественно поэтому что	1	3
53	совершенно ясно что	1	3
54	в конце концов	3	3
55	не трудно видеть	1	3
56	о котором идет	2	3
57	и вместе с	2	3
58	тех или иных	1	3
59	точки зрения в	1	3
60	том случае когда	1	3
61	сама по себе	2	3
62	не только для	1	3
63	от того что	1	3
64	сплошь и рядом	1	3
65	к тому чтобы	4	3
66	на точку зрения	1	3
67	в настоящее время	2	3
68	в противном случае	1	3
69	в лучшем случае	3	3
70	от этого не	1	3
71	только для того	1	3
72	именно в силу	1	3
73	с тем чтобы	3	3
74	том случае если	3	3
75	что он не	2	2
76	таким образом при	1	2
77	и прежде всего	1	2
78	есть ничто иное	1	2
79	в применении к	1	2
80	а следовательно и	2	2
81	в большинстве случаев	2	2
82	котором идет речь	2	2
83	несмотря на то	1	2
84	и в другом	2	2
85	в совершенно ином	1	2
86	в том числе	1	2
87	что все это	1	2
88	и в других	1	2
89	друг от друга	2	2
90	но даже и	1	2
91	в силу этого	1	2
92	но для этого	1	2
93	что же это	1	2
94	каждый данный момент	1	2
95	что с точки	1	2
96	по сравнению со	1	2
97	бы то ни	4	2
98	и в том	2	2
99	тем что он	1	2
100	быть не может	1	2
101	лишь тогда когда	1	2
102	в каждый данный	1	2
103	потому что так	1	2
104	в другом месте	1	2
105	на ряду с	1	2
106	прежде всего в	1	2
107	в результате этого	1	2
108	когда речь идет	1	2
109	мы не знаем	1	2
110	за последнее время	2	2
111	это потому что	2	2
112	сводится к тому	1	2
113	потому что они	1	2
114	должны были бы	1	1
115	к мысли что	1	1
116	от того чтобы	1	1
117	которая как мы	1	1
118	убедимся что в	1	1
