N	4gram	Trubetskoy	Komedia
1	в то же время	2	16
2	бы то ни было	2	7
3	как бы то ни	2	3
4	один и тот же	1	3
5	в том числе и	4	3
6	до сих пор не	1	3
7	так или иначе связанные	1	2
8	состоит в том что	1	2
9	с этой точки зрения	2	2
10	и в то же	1	2
11	мы имеем в виду	1	2
12	или иначе связанные с	1	2
13	лицом к лицу с	1	1
14	то же время он	1	1
15	мы можем составить себе	1	1
16	но вместе с тем	2	1
17	не представляется возможным но	1	1
18	в этом отношении представляет	1	1
19	по тому же пути	1	1
20	прежде всего отдать себе	1	1
21	что и те и	2	1
22	потому что и те	2	1
23	в том что они	1	1
24	на пути к достижению	1	1
25	до сих пор были	1	1
26	а с точки зрения	1	1
27	в одном из своих	1	1
28	и те и другие	2	1
29	одного и того же	1	1
30	до сих пор еще	2	1
31	ничем не отличаются от	1	1
32	во всяком случае еще	1	1
33	во всяком случае в	1	1
34	с точки зрения того	1	1
