N	4gram	Savitsky_E	Formalny
1	в то же время	14	20
2	бы то ни было	4	7
3	и в то же	8	6
4	с одной стороны и	6	5
5	в связи с этим	1	5
6	один и тот же	1	3
7	в том числе и	1	3
8	и то и другое	1	3
9	то же время не	1	3
10	но в то же	2	3
11	с этой точки зрения	5	2
12	в том смысле что	1	2
13	и до настоящего времени	1	2
14	так и со стороны	1	2
15	не говоря уже о	1	2
16	и с точки зрения	1	2
17	в их отношении к	3	1
18	как не может быть	1	1
19	с точки зрения этих	1	1
20	в пределах одного и	1	1
21	и прежде всего в	1	1
22	в том случае если	1	1
23	так и в характере	1	1
24	мы можем сказать что	1	1
25	большей или меньшей степени	1	1
26	о котором мы говорили	1	1
27	каких бы то ни	2	1
28	от этого отнюдь не	1	1
29	в гораздо большей степени	1	1
30	дело в том что	1	1
31	в большей или меньшей	1	1
32	что как бы ни	1	1
33	только в том случае	1	1
34	с другой стороны в	1	1
35	рассматривать с точки зрения	1	1
36	например с точки зрения	2	1
37	то же время в	1	1
38	пределах одного и того	1	1
39	совершенно очевидно что в	1	1
40	как и всякая иная	1	1
41	как бы ни была	1	1
42	котором мы говорили в	1	1
43	из всего этого следует	1	1
44	одного и того же	1	1
45	поскольку дело идет о	1	1
46	в этом отношении в	1	1
