N	3gram	Tiupa_Anal	VrazhdaK
1	и все же	1	5
2	то же время	7	4
3	в то же	7	4
4	в русской литературе	5	3
5	в связи с	1	3
6	в начале года	1	2
7	в том что	12	2
8	не может быть	2	2
9	как раз в	1	2
10	с точки зрения	2	2
11	по нашему убеждению	3	2
12	писал об этом	1	1
13	войне и мире	2	1
14	в ответ на	2	1
15	в свою очередь	7	1
16	в глубине души	2	1
17	а между тем	1	1
18	в войне и	2	1
19	в то время	1	1
20	героя нашего времени	3	1
21	в конце концов	1	1
22	речь идет о	2	1
23	уже говорилось выше	1	1
24	от мая года	1	1
25	точно так же	1	1
26	а тем более	2	1
27	в соответствии с	2	1
28	и во всем	1	1
29	по крайней мере	5	1
30	в этом смысле	1	1
31	и маргариты в	1	1
32	заключается в том	1	1
33	а с другой	1	1
34	они как бы	1	1
35	и то что	2	1
36	не только не	3	1
37	о том что	7	1
38	но и как	1	1
39	при этом он	2	1
40	до сих пор	1	1
41	мы знаем о	1	1
42	в романе достоевского	1	1
43	с тех пор	1	1
44	во всяком случае	6	1
45	между тем это	1	1
46	тем не менее	3	1
47	как бы в	1	1
48	едва ли не	3	1
49	с другой стороны	7	1
50	в известном смысле	2	1
51	то что они	1	1
52	что у него	1	1
53	тем более что	1	1
54	не только как	1	1
55	в этом отношении	3	1
56	от ноября года	1	1
