N	3gram	Berdyaev_O	Analitik
1	в том что	1	25
2	не может быть	2	19
3	о том что	1	15
4	так и не	1	10
5	как и в	1	8
6	в этом отношении	1	8
7	во всяком случае	1	7
8	по природе своей	1	6
9	но и в	2	5
10	в самом начале	1	4
11	в самом деле	1	4
12	для того чтобы	3	4
13	не в том	1	4
14	и не может	1	4
15	и в этом	2	4
16	и не в	1	4
17	и то что	1	3
18	сам по себе	1	3
19	а не в	2	3
20	и в самом	1	3
21	и все же	1	3
22	не могут быть	2	3
23	друг с другом	1	2
24	смысле этого слова	1	2
25	и прежде всего	1	2
26	а не только	1	2
27	на то что	1	2
28	прежде всего в	1	2
29	вообще но и	1	1
30	как будто бы	1	1
31	уже отмечали что	1	1
32	о том как	1	1
33	ни с какой	1	1
34	есть не только	1	1
35	в том-то и	1	1
36	ни у кого	2	1
37	ни к каким	1	1
38	в каждом из	1	1
39	все еще не	1	1
40	не так как	1	1
41	одно из самых	1	1
42	что у него	2	1
43	в том случае	1	1
44	нигде и никогда	1	1
45	там и здесь	1	1
46	может быть осуществлено	1	1
47	само по себе	1	1
48	в этом мире	2	1
49	но он и	1	1
50	как бы и	1	1
51	каждом из них	1	1
52	и в том	1	1
53	отличается в этом	1	1
54	том случае если	1	1
55	он не только	1	1
56	не было и	1	1
57	в виду не	1	1
58	ивана карамазова в	1	1
59	и вот о	1	1
60	тем что у	1	1
61	хотя и не	1	1
62	ничто не может	1	1
63	сказать что они	2	1
64	ли может быть	1	1
65	или лучше сказать	1	1
66	он и не	1	1
67	человек и в	1	1
68	а вовсе не	1	1
69	как бы в	1	1
70	ко всему этому	1	1
71	а в его	1	1
72	все это было	1	1
73	в своей глубине	1	1
74	после того как	1	1
75	и там и	1	1
76	так и против	1	1
