N	3gram	Bakhtin_Pr	StatiiOP
1	в том что	3	47
2	и т д	1	32
3	в этом отношении	2	24
4	для того чтобы	2	19
5	до сих пор	1	19
6	и т п	13	19
7	с точки зрения	6	14
8	с другой стороны	4	13
9	не может быть	11	11
10	в самом деле	3	9
11	то же время	3	9
12	на то что	1	9
13	в то же	3	9
14	дело в том	1	9
15	можно было бы	3	9
16	тем не менее	3	8
17	к тому что	1	8
18	на самом деле	3	8
19	не только в	2	8
20	не в том	1	7
21	в данном случае	4	7
22	в то время	1	7
23	и в этом	1	7
24	по отношению к	19	6
25	в этом смысле	3	6
26	так и в	2	6
27	в том смысле	1	6
28	вопрос о том	1	6
29	то время как	1	5
30	в том же	2	5
31	с тем что	1	5
32	но и в	2	5
33	в свое время	1	5
34	то что в	1	5
35	и в области	2	5
36	в применении к	3	4
37	так например в	1	4
38	сами по себе	1	4
39	с одной стороны	3	4
40	тем или иным	1	4
41	в связи с	1	4
42	того или иного	2	4
43	и в самом	1	4
44	иметь в виду	1	4
45	и в том	1	4
46	в его работе	1	3
47	о том как	1	3
48	том смысле что	1	3
49	в том как	1	3
50	можно сказать что	2	3
51	то или иное	2	3
52	говоря уже о	1	3
53	таким образом в	1	3
54	и пр в	1	3
55	бы то ни	3	3
56	и тем не	1	3
57	а иногда и	1	3
58	и не в	1	3
59	не говоря уже	1	3
60	в лучшем случае	2	3
61	в значительной степени	1	3
62	а вовсе не	1	3
63	и в другом	1	2
64	что в его	1	2
65	здесь совершенно не	1	2
66	хотя бы и	1	2
67	в их борьбе	1	2
68	в иных случаях	3	2
69	а между тем	1	2
70	между тем как	5	2
71	если бы мы	1	2
72	в области изучения	2	2
73	и в то	2	2
74	в отличие от	5	2
75	и в других	1	2
76	то ни было	2	2
77	то же самое	2	2
78	а также и	1	2
79	в свою очередь	1	2
80	и др в	2	2
81	той или иной	2	2
82	вследствие того что	1	2
83	не могли быть	1	2
84	бы все эти	1	2
85	во всей полноте	1	2
86	в настоящее время	1	2
87	на этот вопрос	1	2
88	отметить что в	1	2
89	далеко не все	1	2
90	но в то	1	2
91	в равной мере	1	2
92	вот несколько примеров	1	2
93	имеем дело с	1	2
94	как и в	1	2
95	может быть и	1	2
96	что у нас	1	1
97	другой же стороны	2	1
98	то что называют	1	1
99	на протяжении всего	1	1
100	в этом направлении	1	1
101	и с его	2	1
102	в одинаковой степени	1	1
103	прежде всего от	1	1
104	одной стороны в	1	1
105	в известной степени	2	1
106	в большинстве случаев	5	1
107	и историки литературы	1	1
108	по сравнению с	1	1
109	которой можно было	1	1
110	независимо от их	1	1
111	как бы они	1	1
112	в том и	1	1
113	его отношение к	1	1
114	художественного произведения в	1	1
115	она не могла	1	1
116	а в том	1	1
117	можно и должно	1	1
118	во что бы	1	1
119	что не имеет	1	1
120	ни к одному	1	1
121	на этом основании	1	1
122	ни один культурный	1	1
123	смысле этого слова	1	1
124	не могла бы	1	1
125	и художественного творчества	2	1
126	в этих контекстах	1	1
127	в своем роде	1	1
128	в глазах самого	1	1
129	по себе не	1	1
130	в высшей степени	5	1
131	не входя в	1	1
132	и проч все	3	1
133	вопроса о значении	2	1
134	тем как в	2	1
135	показать что и	1	1
136	какие бы то	1	1
137	самой формой своего	1	1
138	и не может	2	1
139	мы имеем дело	2	1
140	то ни стало	1	1
141	быть не может	1	1
142	отношению к действительности	2	1
143	это находит свое	1	1
144	должна опираться на	1	1
145	правда это не	1	1
146	и теперь еще	1	1
147	на основе общей	1	1
148	и др или	1	1
149	почти все не	1	1
150	и может быть	1	1
151	никакому сомнению что	1	1
152	они ни были	1	1
153	в нем он	1	1
154	только в его	1	1
155	не было этого	1	1
156	к вопросу о	1	1
157	свое отражение в	1	1
158	со всеми его	1	1
159	ни в какой	1	1
160	не выходя за	3	1
161	и именно в	1	1
162	уже не к	1	1
163	в некоторых случаях	1	1
164	не приходится уже	1	1
165	выходя за пределы	2	1
166	к которому относится	1	1
167	к выводу что	1	1
168	что все они	1	1
169	именно то что	1	1
170	только таким путем	1	1
171	точка зрения на	1	1
172	тесно связан с	1	1
173	только прийти в	1	1
174	в узком смысле	1	1
175	прямого отношения к	1	1
176	как материала для	1	1
177	что бы то	1	1
178	в рассмотрение которых	1	1
179	и принципиально не	1	1
180	и в частности	2	1
181	и быть не	1	1
182	но и во	1	1
183	при решении вопроса	1	1
184	с другой же	2	1
185	время в россии	1	1
186	но в большинстве	1	1
187	в той области	1	1
188	если бы все	1	1
189	вовсе не о	1	1
190	языка может быть	1	1
191	бы они ни	1	1
192	именно в том	1	1
193	в этом его	1	1
194	хотя бы в	1	1
195	может быть признана	1	1
196	в обсуждение этого	1	1
197	совершенно независимо от	2	1
198	не могут быть	2	1
199	в процессе работы	1	1
200	словами о том	1	1
201	но эти попытки	1	1
202	отрицательное отношение к	1	1
203	в таких случаях	1	1
204	языка в его	2	1
205	также и в	1	1
206	то есть и	1	1
207	в виду что	1	1
208	ни в чем	2	1
209	в другом случае	1	1
