N	4gram	Tiupa_Disk	TeoriaLi
1	в то же время	7	8
2	состоит в том что	2	5
3	одного и того же	4	4
4	сближение но не слияние	1	3
5	и не могло быть	1	2
6	по своей природе суть	1	2
7	преодолеваемая даль и сближение	1	2
8	в том числе и	3	2
9	они хотят и свершают	1	2
10	даль и сближение но	1	2
11	в том что он	1	2
12	что они хотят и	1	2
13	одно и то же	2	2
14	суть то что они	1	2
15	и сближение но не	1	2
16	то что они хотят	1	2
17	природе суть то что	1	2
18	и в то же	2	2
19	своей природе суть то	1	2
20	случайности полноценная биография возможна	1	1
21	высказывания жанр в свою	1	1
22	они едины судьба выражает	1	1
23	присутствует как правило лишь	1	1
24	смысле домонологично оно объединяет	1	1
25	совершенно иными границами между	1	1
26	самобытно но и характерное	1	1
27	двоякий жизненный опыт запечатлеваемый	1	1
28	индивид чтобы быть субъектом	1	1
29	ни столь пассивным как	1	1
30	в себе ему надлежит	1	1
31	в нем звучит один	2	1
32	пространственно-временных масштабов и соотношений	1	1
33	для притчи иносказательность является	1	1
34	смыслом ни в мире	1	1
35	и возможность иной интонации	1	1
36	в их отношении к	1	1
37	включая разные формы скрытой	1	1
38	когда ни прибавить ни	1	1
39	и не дает позвоночника	1	1
40	приводит к интонации доверительной	1	1
41	до которого анекдот легко	1	1
42	причастности к общему миропорядку	1	1
43	стороны адресата притчи может	1	1
44	ошибка оговорка где слово	1	1
45	персонажем в акте выбора	1	1
46	выготским и н.и жинкиным	2	1
47	того требует авторитетное слово	1	1
48	ни убавить ни изменить	1	1
49	кощунство и непристойность необыкновенное	1	1
50	нами не как объекты	1	1
51	всегда предносится целое нашего	1	1
52	в чистом виде целенаправленно	1	1
53	искусство заинтересовывать судьбой отдельных	1	1
54	мы имеем дело не	2	1
55	к интонации доверительной и	1	1
56	рассеянной чужой речи и	1	1
57	анекдота выбор лексики например	1	1
58	разделение иерархично оно не	1	1
59	сам текст анекдота выбор	1	1
60	есть биография и не	1	1
61	позиции изобразителя жизни повествователя	1	1
62	не есть биография и	1	1
63	реальному человеческому существованию вследствие	1	1
64	необходимости ни в мире	1	1
65	быть осуществлено только самим	1	1
66	то она здесь присутствует	1	1
67	слушателей с содержанием анекдота	1	1
68	исторически продуктивный тип высказывания	1	1
69	в готовом стабильно дифференцированном	2	1
70	оно живет в готовом	2	1
71	здесь обычно является сюжетообразующим	1	1
72	дифференцированном и оцененном мире	2	1
73	прибавить ни убавить ни	1	1
74	новелле есть нарушение запрета	1	1
75	под сводами чужой психики	1	1
76	литературного произведения по своим	1	1
77	в самом общем виде	2	1
78	определенные задания реализуют в	1	1
79	притчевого типа есть монолог	1	1
80	речь включая разные формы	1	1
81	слухи или сплетни то	1	1
82	реализуют в нем определенные	1	1
83	комическая апофегма то есть	1	1
84	в дискурсе речевой акт	1	1
85	образ становящегося человека с	1	1
86	позиции учителя жизни постоянно	1	1
87	монологизированного слова в слове	1	1
88	высказывания и в форме	1	1
89	очередь по отношению к	1	1
90	которого анекдот легко может	1	1
91	иллюзии живого голоса зримого	1	1
92	отношение к своему герою	1	1
93	и соотношений такая возможность	1	1
94	бросает звук в архитектуру	1	1
95	рекоша но от божья	1	1
96	есть принадлежат самой ситуации	1	1
97	анекдот ни притча не	1	1
98	анекдот но без благоговейного	1	1
99	в стилевых формах косвенной	1	1
100	непредубежденное любопытство к реальному	1	1
101	стилевых формах косвенной речи	1	1
102	ни прибавить ни убавить	2	1
103	форме определенной жанровой схемы	1	1
104	моментам родственным анекдотическому дискурсу	1	1
105	и речевой деятельности персонажа	1	1
106	двуголосого слова манифестирующего двоякий	1	1
107	легко может быть редуцирован	1	1
108	но в таком случае	1	1
109	содержания сколько от мастерства	1	1
110	однозначности и прежде всего	1	1
111	не предполагает внутренне свободного	1	1
112	примеряя ее содержание к	1	1
113	форме индивидуального речевого замысла	1	1
114	регулятивная отношение слушателя к	1	1
115	гегель именовал веком героев	1	1
116	это позиция активного приятия	1	1
117	том что он не	1	1
118	ценностно-смысловой позиции в мире	1	1
119	может быть проделано и	1	1
120	их свободного согласия за	1	1
121	осуществляется или преступается не	1	1
122	языком ставят перед ним	1	1
123	бытуют как слухи или	1	1
124	жеста и как бы	1	1
125	задания реализуют в нем	1	1
126	и адресат протороманного коммуникативного	1	1
127	о ней установка не	1	1
