N	3gram	Propp_Isto	formyVre
1	в связи с	5	15
2	с точки зрения	1	15
3	друг с другом	2	13
4	но и в	2	12
5	не только в	3	11
6	до сих пор	7	10
7	мы уже говорили	1	9
8	в большинстве случаев	2	8
9	в том числе	1	8
10	и прежде всего	1	8
11	и т д	30	7
12	не может быть	4	7
13	друг от друга	1	6
14	во всех этих	1	6
15	с одной стороны	2	6
16	в том что	8	5
17	в то время	2	5
18	как и в	2	5
19	мы имеем в	4	5
20	и не только	1	5
21	по отношению к	2	4
22	и в других	3	4
23	как если бы	1	4
24	но все же	5	4
25	с другой стороны	10	4
26	равно как и	1	4
27	в средние века	2	4
28	связи с этим	1	4
29	в этом случае	8	4
30	во всяком случае	2	4
31	то время как	2	4
32	может быть и	1	4
33	с нашей точки	1	3
34	по сравнению с	2	3
35	в себя и	1	3
36	нашей точки зрения	1	3
37	наряду с этим	2	3
38	сами по себе	1	3
39	в зависимости от	1	3
40	что в этом	1	3
41	как мы увидим	2	3
42	то же самое	1	3
43	вместе с тем	1	3
44	в другом месте	1	3
45	же как и	3	3
46	о том что	3	3
47	так же как	7	3
48	с самого начала	1	3
49	об амуре и	1	3
50	также и в	1	3
51	соответствии с этим	1	2
52	с этим в	1	2
53	можно сказать что	2	2
54	здесь не только	1	2
55	совершенно так же	4	2
56	и вместе с	1	2
57	и столько же	1	2
58	в соответствии с	1	2
59	в данном случае	6	2
60	к тому же	4	2
61	но в этом	1	2
62	в буквальном смысле	1	2
63	и в различных	1	2
64	таким образом и	2	2
65	то что было	2	2
66	в свою очередь	1	2
67	но он не	1	2
68	и др в	1	2
69	к тому времени	1	2
70	бросается в глаза	1	2
71	мы здесь не	2	2
72	тем более что	1	2
73	в узком смысле	1	2
74	здесь не можем	1	2
75	и ничего не	1	2
76	к тому что	1	2
77	большую роль в	1	2
78	в соединении с	1	2
79	с тем что	1	2
80	так как нет	1	2
81	что и в	3	2
82	и в большинстве	1	2
83	в его работе	1	1
84	что он не	1	1
85	в этот момент	1	1
86	из него и	1	1
87	но вместе с	1	1
88	они еще не	1	1
89	том что в	2	1
90	на том что	1	1
91	и на весь	1	1
92	и в другом	1	1
93	и никому не	1	1
94	их может быть	1	1
95	этим мы еще	1	1
96	и приходит к	1	1
97	обстоит дело с	1	1
98	с этой точки	1	1
99	тем не менее	6	1
100	их между собой	1	1
101	здесь мы видим	1	1
102	отличает его от	1	1
103	в народных сказках	1	1
104	века но очень	1	1
105	буквальном смысле этого	1	1
106	в них и	1	1
107	но они не	1	1
108	за то что	1	1
109	они основаны на	1	1
110	мифов и легенд	1	1
111	имеется и в	1	1
112	такую большую роль	1	1
113	героем и его	1	1
114	он не имеет	1	1
115	совершенно ясно что	1	1
116	здесь же в	1	1
117	вступают в брак	1	1
118	надо сказать что	1	1
119	все что в	1	1
120	не только на	1	1
121	мы уже знаем	3	1
122	с полной ясностью	1	1
123	в них нет	1	1
124	в своей жизни	1	1
125	брак и т	1	1
126	в целом и	1	1
127	мы увидим дальше	1	1
128	с тех пор	1	1
129	это вовсе не	1	1
130	только то что	1	1
131	то и дело	1	1
132	и в его	1	1
133	не менее связь	1	1
134	и по существу	1	1
135	но не совсем	1	1
136	их силу и	1	1
137	приведем несколько примеров	3	1
138	не то что	1	1
139	так же и	1	1
140	в земле в	1	1
141	принадлежит к тому	2	1
142	он видел и	1	1
143	и в том	1	1
144	так как в	1	1
145	и не может	1	1
146	дело не только	1	1
147	во всем мире	3	1
148	в определенном направлении	1	1
149	сих пор не	1	1
150	все те же	1	1
151	и вступает в	1	1
152	в одном из	2	1
153	и у нас	1	1
154	с этим мы	1	1
155	в дальнейшем в	1	1
156	в человека и	1	1
157	но и это	1	1
158	и может быть	1	1
159	мы видим в	3	1
160	каждый из этих	1	1
161	его таким образом	1	1
162	в пределах этого	1	1
163	здесь еще не	1	1
164	друг друга не	1	1
165	что он видел	1	1
166	до того что	1	1
167	этой точки зрения	1	1
168	руки и ноги	1	1
169	не можем здесь	1	1
170	но и не	1	1
171	но наряду с	1	1
172	по той же	1	1
173	мы будем рассматривать	1	1
174	и той же	2	1
175	одной из них	1	1
176	герой женится на	2	1
177	эта форма как	1	1
178	и с радостью	1	1
179	но и другие	1	1
180	друг другу и	1	1
181	ли она в	1	1
182	мы не будем	2	1
183	хотя и не	1	1
184	его связью с	1	1
185	мы до сих	1	1
186	на самом деле	1	1
187	служит не только	1	1
188	он попадает в	1	1
189	они находятся в	1	1
190	между ними причем	1	1
191	попадает в дом	5	1
192	смысле этого слова	3	1
193	этого мотива но	1	1
194	друг другу но	1	1
195	всех этих случаях	1	1
196	не будем останавливаться	1	1
197	подобно тому как	3	1
198	превращение в человека	1	1
199	что дело здесь	1	1
200	тому времени уже	1	1
201	объясняется тем что	1	1
202	мы уже видели	3	1
203	и в котором	1	1
204	и в быту	1	1
205	при помощи которой	2	1
206	как мы видели	7	1
207	тех случаях когда	2	1
208	на землю и	1	1
209	а не за	1	1
210	по этому вопросу	1	1
211	а так как	1	1
212	в тех случаях	2	1
213	что в нем	1	1
214	заключил союз с	1	1
215	над природой в	1	1
216	в каких формах	1	1
217	один из них	1	1
218	одной и той	2	1
219	т д но	1	1
220	и у них	1	1
221	средних веков и	1	1
222	мертвец и в	1	1
223	один из его	1	1
224	в другом случае	3	1
225	в жизни и	1	1
226	но в греческом	1	1
227	в иной мир	1	1
228	то что происходило	2	1
