1	во всяком случае не	2	3
2	в том виде в	1	2
3	но вместе с тем	1	2
4	точно так же как	1	2
5	и для того чтобы	1	2
6	с этой точки зрения	2	2
7	в то же время	6	2
8	бы то ни было	1	2
9	можно сказать что в	1	1
10	в одном и том	1	1
11	с тем что в	1	1
12	одном и том же	1	1
13	с течением времени в	1	1
14	о котором здесь идет	1	1
15	том виде в каком	1	1
16	состоит в том что	2	1
17	мы имеем в виду	1	1
18	невозможно но все же	1	1
19	в том или ином	2	1
20	и потому что даже	1	1
21	в широком смысле этого	2	1
22	тем не менее совершенно	1	1
23	но в то же	3	1
24	виде в каком он	1	1
25	котором здесь идет речь	1	1
26	еще и потому что	1	1
27	и в этом отношении	1	1
28	одного и того же	2	1
