N	4gram	Medvedev_F	Tvorches
1	в то же время	13	24
2	и в то же	4	6
3	но в то же	3	6
4	и не может быть	4	3
5	нет и не может	2	2
6	в том числе и	1	2
7	идет уже не о	1	1
8	на самом же деле	1	1
9	не что иное как	1	1
10	в этом романе и	1	1
11	не с точки зрения	1	1
12	в том смысле что	2	1
13	сами по себе не	1	1
14	все более и более	3	1
15	с точки зрения их	2	1
16	в чем же выразится	1	1
17	не могут быть поняты	1	1
18	а с точки зрения	1	1
19	мы имеем в виду	1	1
20	то во всяком случае	1	1
21	начала и до конца	2	1
22	бы то ни было	1	1
23	и в конце концов	1	1
24	является в высшей степени	1	1
25	и в свою очередь	1	1
